CTM00000001	$1的控制者是$2
CTM00000810	使用医疗技能[CRLF]（需要50以上）
CTM00000811	杀了它
CTM00000812	多亏了你的帮助，这条狗感觉好多了。
CTM00000813	你没有一个医疗包。
CTM00000814	你的医疗技能不够。[CRLF][CRLF]需要50以上的医疗技能才能治好这条狗。
CTM00000815	也许是感受到了你的坏心思，这条狗趁你没反应过来狠狠地咬了你的腿一口。[CRLF][CRLF]以后别这么混蛋了。
CTM00000816	[%]定居者
CTM00000817	[%]杂货店
CTM00000818	[%]营房
CTM00000819	[%]房屋
CTM00000820	[%]总部 - 一楼
CTM00000821	[%]总部 - 集会层
CTM00000822	[%]总部 - 市长办公室
CTM00000823	[CRLF][CRLF]双六已被炸药帮营救并带去了[%]北部的营地。
CTM00000824	[CRLF][CRLF]双六已被逮捕并押送到[%]。
CTM00000825	宣称地堡：独立
CTM00000826	若要为一个独立的新维加斯宣称这座地堡，你需要决定是留给自己和好好先生，还是选择莫哈维的其它小势力，如钢铁兄弟会或天启追随者。
CTM00000827	[CRLF][CRLF]如果你想自己夺取莫哈维，那你必须先升级并激活在要塞地下的电子保安军队。
CTM00000828	[CRLF][CRLF]如果电子保安没有升级，你就必须寻求其它势力的帮助。当然，是否和另一势力共事取决于你。
CTM00000829	好好先生和电子保安军队
CTM00000830	一个独立的新维加斯
CTM00000831	若要把这座地堡留给自己，你需要先升级并激活在要塞地下的电子保安军队。
CTM00000832	你必须先被兄弟会[%]喜爱[%]，并且兄弟会已经结束隐蔽后才能为他们宣称地堡。
CTM00000833	你必须先被天启追随者[%]喜爱[%]才能为他们宣称地堡。
CTM00000834	大汗帮
CTM00000835	钢铁兄弟会
CTM00000836	天启追随者
CTM00000837	你必须先被大汗帮[%]喜爱[%]才能为他们宣称地堡。
CTM00000838	猫王帮
CTM00000839	你必须先被自由城[%]喜爱[%]才能为猫王帮宣称地堡。
CTM00000840	大炮族
CTM00000841	你必须先被大炮族[%]喜爱[%]才能为他们宣称地堡。
CTM00000842	炸药帮
CTM00000843	你必须先被炸药帮[%]喜爱[%]才能为他们宣称地堡。
CTM00000844	英克雷[CRLF]（西海岸）
CTM00000845	英克雷
CTM00000846	英克雷[CRLF]（东海岸）
CTM00000847	沙漠游骑兵
CTM00000848	大山脉实验
CTM00000849	大山脉
CTM00000850	超级变种人
CTM00000851	智慧死亡爪
CTM00000852	机器人军队
CTM00000853	机器人军队
CTM00000854	马德雷赌场
CTM00000855	马德雷赌场
CTM00000856	超智慧鼹鼠
CTM00000857	东海岸兄弟会[CRLF]（重建首都）
CTM00000858	东海岸钢铁兄弟会
CTM00000859	你必须先完成任务[%]元帅的手册[%]才能为他们宣称地堡。
CTM00000860	兄弟会放逐者
CTM00000861	你和放逐者真不熟。
CTM00000862	兄弟会忙于对抗英克雷，没空到莫哈维探险。
CTM00000863	铆钉城
CTM00000864	一旦净水计划成功启动，铆钉城就可以派一支探险队前往莫哈维。
CTM00000865	监管者
CTM00000866	你不是监管者的一员。
CTM00000867	鹰爪公司
CTM00000868	莱利的游骑兵
CTM00000869	莱利的执法者们无暇宣称这个避难所。
CTM00000870	美利坚人民共和国
CTM00000871	美利坚人民共和国
CTM00000872	沼泽人
CTM00000873	沼泽人
CTM00000874	泽塔人
CTM00000875	泽塔人
CTM00000876	泰伦星舰指挥部
CTM00000877	泰伦星舰指挥部
CTM00000878	十字军[CRLF]（边疆）
CTM00000879	十字军
CTM00000880	蜥蜴人[CRLF]（边疆）
CTM00000881	蜥蜴人
CTM00000882	这道门没有电力。
CTM00000883	军械库
CTM00000884	是否花费[%] [%]解锁军械库？
CTM00000885	[%] - 地下室
CTM00000886	[%] - 设施
CTM00000887	[%] - 实验室
CTM00000888	请等待补给箱补货。
CTM00000889	多于5NCR元才能兑换（2瓶盖）。
CTM00000890	多于1军团银币才能兑换（4瓶盖）。
CTM00000891	[%] NCR元已移除。
CTM00000892	[%] 军团银币已移除。
CTM00000893	[%]棚屋
CTM00000894	斯隆和[%]的控制者是[%]
CTM00000895	[%] - 测试实验室
CTM00000896	[CRLF][CRLF]一个指挥终端已加入你在汇聚节点的卧室，以便在大山脉进行投资决策。
CTM00000897	水泵已启动
CTM00000898	[%]正在加油！
CTM00000899	旅行
CTM00000900	医疗服务
CTM00000901	军械服务
CTM00000902	厨房服务
CTM00000903	侦查地图
CTM00000904	小队招募板
CTM00000905	飞鸟仓库
CTM00000906	遣返飞鸟
CTM00000907	不能在这里呼叫[%]。
CTM00000908	[%]已被部署！
CTM00000909	[%]正在前来！
CTM00000910	飞鸟电台
CTM00000911	要呼叫[%]吗？
CTM00000912	修复的飞鸟已被命名为[%]。[CRLF][CRLF]一个飞鸟电台已被加入你的库存，你可以使用它在莫哈维呼叫飞鸟来返回[%]。
CTM00000913	你没有足够的[%]。
CTM00000914	侦查地图可以收集[%]可能占领的地点的情报。[CRLF][CRLF]你也可以通过指挥官区中的终端来获取这些情报。
CTM00000915	是否花费[%] [%]解锁侦查地图？可用于侦查可供的占领地点。
CTM00000916	营业额的毒瘾
CTM00000917	营业额有很重的杰特瘾。[CRLF][CRLF]如果你有稳定剂，你可以帮他戒断。如果你的科学技能足够高，你可以用他身上的杰特调制出一支强力剂，刺激醒他。[CRLF][CRLF]最后，你也可以给他一些放射线-X，让他死于嗑药过度。
CTM00000918	给稳定剂
CTM00000919	制作一支强剂杰特[CRLF]（需要50以上科学）
CTM00000920	让他过度使用放射线-X
CTM00000921	营业额已经脱离了杰特昏迷，至少现在。
CTM00000922	你没有任何稳定剂。
CTM00000923	你的科学技能不够高。
CTM00000924	你给了营业额一剂足以致命的放射线-X，他磕过头死了。[CRLF][CRLF]没人会想念他的。
CTM00000925	你没有任何放射线-X。
CTM00000926	[%]维护棚屋
CTM00000927	风力发电厂的电力开关已被修复。
CTM00000928	风力发电厂电力开关
CTM00000929	给这个开关供电的裂变电池需要换了。修好它是修复这座废弃的风力发电厂的第一步。
CTM00000930	[CRLF][CRLF]你可以尝试通过应急抢修重新走线来让开关恢复。或者直接换个裂变电池。
CTM00000931	应急抢修（修理）
CTM00000932	你成功修复了电力开关。这座风力发电厂距离再度运行又近了一步。等某个派系占据此处后很快就能完成。
CTM00000933	你触电了。下次乱试之前多练练。
CTM00000934	更换聚变电池
CTM00000935	裂变电池已被更换，这座风力发电厂距离再度运行又近了一步。等某个派系占据此处后很快就能完成。
CTM00000936	你没有裂变电池。
CTM00000937	你用尽全身力气拧动了阀门，现在水井可以运作了。
CTM00000938	你拧断了个扳手，好在阀门被拧动了。现在水井可以运作了。
CTM00000939	你不够强壮，拧不动。
CTM00000940	你需要一个扳手来拧动阀门。
CTM00000941	水井水泵
CTM00000942	水泵上的阀门卡住了，无法泵水。你可以用一个扳手拧动它。
CTM00000943	使用体力[CRLF]（力量7）
CTM00000944	使用扳手
CTM00000945	[%]农场房屋
CTM00000946	[%]塔
CTM00000947	天启追随者们在[%]建立了一个救济营，[%]会帮助保护他们。
CTM00000948	守望锡安公园
CTM00000949	投资了所有护林员分站后，你在锡安国家公园内获得[%]的暴击率加成。
CTM00000950	=长街=
CTM00000951	[CRLF][CRLF]第二次胡佛水坝战役已结束，独立的维加斯成为了现实。[%]可以帮助确保长街。
CTM00000952	[CRLF][CRLF]长街发生的任何暴乱都将平息。
CTM00000953	天启追随者长街哨站
CTM00000954	长街营房
CTM00000955	维加斯长街正在[%]的控制下。
