DLC20000001	GREETING
DLC20001078	Let's do it.
DLC20001079	God be with you.
DLC20001080	Thank you for this. I know Daniel doesn't approve, but destroying the White Legs is the only way to ensure the Sorrows can remain in Zion.
DLC20001081	You and I will lead a group of Dead Horse warriors and Sorrows hunters into Three Marys from this position.
DLC20001082	Our objective is to find the White Legs' leader, Salt-Upon-Wounds, and prevent him from fleeing.
DLC20001083	Show no quarter to the White Legs we come across. Make no mistake about why we are here. This is an extermination.
DLC20001084	I prefer to travel alone, thanks.
DLC20001085	The lone Bighorner is the most vulnerable to its enemies. In the herd lies strength - if you reconsider your choice, I will be here. Paz patasooba.
DLC20001086	Sounds good. Let's go.
DLC20001087	Before we depart, our shaman, White Bird, asked me to convey his desire to speak with you.
DLC20001088	Certainly. We should make haste, then.
DLC20001089	Hold up, see that log over there? Take a closer look. There might be some good stuff tucked in there.
DLC20001090	What would you suggest I do instead?
DLC20001091	Hmm... you might try luring the baby out with some banana yucca. These Bighorners go crazy for the stuff.
DLC20001092	What do you know about the White Legs?
DLC20001093	Used to be they raided northeast of Caliente, time to time. But then the Desert Rangers fell apart ten years ago, absorbed into the NCR.
DLC20001094	Soon enough the White Legs were swarming all over that stretch of I-15. Folks learned not to head north if they wanted to keep their scalps.
DLC20001095	Eventually the White Legs destroyed the bridges across the Virgin River, over in Arizona. End of discussion.
DLC20001096	Were the 80s a gang, or a tribe?
DLC20001097	What's the difference? Raiders is raiders.
DLC20001098	Bunch of them swept in to town and dragged off two working girls. Deputies and me gave pursuit, straight into 80s territory.
DLC20001099	By the time we caught up with the girls, there wasn't much left of them. So we turned for home.
DLC20001100	Made it back to Caliente without further losses, but we was watched the whole way. Never seen so few people cover so much land. Goddamn creepy.
DLC20001101	If the 80s had wanted to kill us, we would've been dead. Guess they figured we weren't worth the trouble.
DLC20001102	Tell me about Caliente.
DLC20001103	Place lived up to its name, that's for sure.
DLC20001104	When you got fresh water and a trickle of geothermic power, always be some gang of assholes wants to kill you for it.
DLC20001105	Spent more years and took more bullets than I care to admit protecting that hellhole from dangers, within and without.
DLC20001106	If it wasn't the 80s or the White Legs raiding, it was someone from town drunk off his ass trying to win an argument with a shotgun.
DLC20001107	Got tired of shooting the folks I was supposed to protect. So... now I do this.
DLC20001108	What was that like to grow up in New Reno?
DLC20001109	Imagine New Vegas if there was no Mr. House-type fella keeping the peace, then give everybody a gun and a Jet addiction.
DLC20001110	Town's run by a bunch of crime families, no law to speak of. Make trouble, and you wind up buried in Golgotha, outside town.
DLC20001111	The scuzz factor's off the charts. Non-stop whoring and drugs. Couldn't walk down the street without getting asked to star in a porn movie.
DLC20001112	So I got my ass out of there while I still owned it. Guess I figured the answer to every problem was rule of law. Naive, huh?
DLC20001113	What are you doing here?
DLC20001114	Earning my keep. Jed hired me on as a caravan guard for this expedition of his.
DLC20001115	The work suits me. I've tried staying put in one place, but it never works out.
DLC20001116	Grew up in New Reno, and I couldn't put that snakepit behind me fast enough.
DLC20001117	Then I wound up wasting the prime of my life playing Sheriff in Caliente, little town north on the 93. Talk about a pain in the ass.
DLC20001118	You ask me, best to keep moving. At least the scenery changes.
DLC20001119	Fine. What do you need?
DLC20001120	Sorry, but I'm not going on a scavenger hunt for you.
DLC20001121	The choice is yours, of course, but you're not going to find a way back to the Mojave without our help.
DLC20001122	I'll see what I can do.
DLC20001123	Thank you. Follows-Chalk can help you find your way around the valley.
DLC20001124	He's inexperienced, but he knows enough of our language to ignore the taboos about Pre-War buildings.
DLC20001125	Thank you. Now obviously, taboos against Pre-War buildings won't be a matter for you - but take caution when you go rooting around in them.
DLC20001126	Taboo?
DLC20001127	The Sorrows believe in a spirit that lives in the caves, say the spirit punished them once for trespassing.
DLC20001128	They put special marks around the cave entrances to keep people out. It doesn't work on the White Legs, of course, but the Dead Horses are spooked.
DLC20001129	Why don't you or Daniel do it?
DLC20001130	We are responsible for leading and protecting the Sorrows and Dead Horses. They are smart people, but not as worldly as you or I.
DLC20001131	I am preparing the Dead Horses for war and Daniel is preparing the Sorrows for... other things.
DLC20001132	How about I go find dear Daniel and shake the information out of him?
DLC20001133	There are many reasons why that would be a bad idea. I will illuminate three.
DLC20001134	First, do not believe that because Daniel is a missionary he is incapable of or unwilling to defend himself.
DLC20001135	Second, if you harm Daniel or any of the Sorrows or Dead Horses, I will find you. Make no mistake. God willing, you will not leave this valley.
DLC20001136	Lastly, waging war against good people is bad for the soul. This may not seem important to you now, but it's the most important thing I've said.
DLC20001137	Don't try to get me to help you. I'm not interested.
DLC20001138	There are only so many ways you could have entered Zion from the south. You descended by routes that you cannot safely ascend to return to the Mojave.
DLC20001139	I'm not telling you this as a trick. Whether you want to help us or not, you can't get back without Daniel's assistance.
DLC20001140	I'm sure he'll be willing to assist you, but we have other responsibilities at the moment.
DLC20001141	I'm not going to leave without offering to help. What can I do?
DLC20001142	You're a good neighbor to us. We all go through periods of darkness. In such times, we can turn to the Lord, but it's good to have friends.
DLC20001143	Daniel and I need Pre-War tools to help us navigate beyond Zion. Should we need to evacuate, these instruments will be vital to us.
DLC20001144	Normally, we would have some of the Dead Horses or Sorrows look for them, but many Pre-War buildings in the valley are taboo. They won't go inside.
DLC20001145	Nice guns.
DLC20001146	In the Great Basin and Colorado Plateau, all tribes are known for a specific weapon.
DLC20001147	White Legs are known for their big submachine guns, "storm drums." They broke into an armory near Spanish Fork and have been using them for years.
DLC20001148	Of course, the Dead Horses have their wooden war clubs and even the Sorrows have their Yao Guai gauntlets.
DLC20001149	This type of .45 Automatic pistol was designed by one of my tribe almost four hundred years ago. Learning its use is a New Canaanite rite of passage.
DLC20001150	Pray? God? What are you talking about?
DLC20001151	I am a New Canaanite. We believe we are the heirs of a spiritual tradition given to our ancestors thousands of years ago.
DLC20001152	We have made and kept covenants with our Lord, God, to honor his laws. In exchange, we are promised eternal salvation after this life.
DLC20001153	A day will come when our Lord returns to judge us all. Until then, we must honor his laws and start others along the path of salvation if we can.
DLC20001154	That's why we trade with others and work the tribes. We have more than food and medicine to offer. Good news is our most valuable commodity.
DLC20001155	How do I get out of here?
DLC20001156	Even though you made your way in, there's no easy way back. Without a map, you'll die in the wilderness.
DLC20001157	Daniel, one of our missionaries, can help you, but you've caught us at an... inconvenient time. We're under continual threat from the White Legs.
DLC20001158	I came here with the Happy Trails Caravan Company to make contact with the New Canaanites.
DLC20001159	Happy Trails. I remember. They were good friends.
DLC20001160	I have bad news for your employers. New Canaan was destroyed, its citizens scattered. All because of the White Legs. And Caesar, of course.
DLC20001161	The White Legs want to join the Legion. Caesar's rite of passage is the destruction of the New Canaanites, almost assuredly because of me.
DLC20001162	The good news is that we can help you find your way back. Daniel, one of the other New Canaanites, has made many maps of the region.
DLC20001163	The bad news is that we can't help you right now. Not with everything that's going on.
DLC20001164	Well, yeah, okay. You caught me.
DLC20001165	You're lying. You've never been to Vault 22.
DLC20001166	Yeah, so don't bring it up again!
DLC20001167	Sorry - didn't mean to be pushy.
DLC20001168	Well, yeah, okay. You caught me.
DLC20001169	You're lying. You have no idea where Vault 22 is.
DLC20001170	Yeah, so don't bring it up again!
DLC20001171	Sorry - didn't mean to be pushy.
DLC20001172	Carry some of my gear, and I'll keep my mouth shut.
DLC20001173	I travel light on purpose, okay? But fine, I'll tell Jed I'm carrying less so you can carry more. What an asshole.
DLC20001174	What I want is for you to scram. This expedition doesn't need you.
DLC20001175	I'm convincing, you're not. He'll believe me.
DLC20001176	Hey hey hey, why you got to go and be like that! Fuck!
DLC20001177	[SUCCEEDED] Bullshit! Ain't nothing wrong with my Pit-Boy! I mean Pip-Boy!
DLC20001178	Your Pip-Boy isn't working. The screen's locked up, and the reboot button is missing.
DLC20001179	[FAILED] Fat chance! Like I got time to bring you up to speed. Fuck that.
DLC20001180	Any chance you could show me some new ways to use my Pip-Boy?
DLC20001181	Look, this is a sweet gig for me! Don't go fucking it up! What are you after, anyways?
DLC20001182	[SUCCEEDED] Go ahead! Your word against mine, fucko! See what happens!
DLC20001183	I don't think your Pip-Boy works. I'd better go tell Jed.
DLC20001184	[FAILED] Yeah, too bad one of them is worn by a total fucking idiot!
DLC20001185	I guess two Pip-Boys is better than one, anyway.
DLC20001186	Did you notice I'm wearing a Pip-Boy, too?
DLC20001187	Huh? ...Of course I noticed! First thing I noticed about you!
DLC20001188	Me, I'm so used to wearing mine, it's just normal. Don't think you're someone special just because you got one.
DLC20001189	You're lying. I've been to Vault 22. No one's lived there in 150 years.
DLC20001190	You been to Vault two-two, huh?
DLC20001191	I've heard of some strange goings-on at Vault 22. Know any details?
DLC20001192	I know everything! I know all about it! But I ain't about to tell the likes of you!
DLC20001193	I have a sworn vow of secrecy, or something like that, to the people I left behind!
DLC20001194	Where is Vault 22 located?
DLC20001195	I can't tell you that! I have a sworn vow of secrecy, or something like that, to all the people I left behind.
DLC20001196	What do you use your Pip-Boy for?
DLC20001197	Sorry, the shit I do with it is so far over your head, be wasting my time to put it in words you could understand!
DLC20001198	Basically, it makes me badass. More badass, I mean. It's totally mind-blowing shit. It ain't just some bracelet, know what I mean?
DLC20001199	Jed says it's got maps and shit like that, so that's how I'm gonna guide this caravan where it needs to go! Not that I didn't know all that already!
DLC20001200	Where'd you get the Vault suit?
DLC20001201	Where the fuck you think? Vault two-two! That's where I grew up!
DLC20001202	Never mind, I don't want to spend caps on that right now.
DLC20001203	No sweat off my tits, asshole. Guess you better start deciding what gear you're going to leave behind.
DLC20001204	I'll give you 50 caps to make sure Jed lets me carry extra gear.
DLC20001205	You got a deal. You're lucky he trusts me.
DLC20001206	I'll give you 75 caps to make sure Jed lets me carry extra gear.
DLC20001207	You got a deal. You're lucky he trusts me.
DLC20001208	I'll give you 100 caps to make sure Jed lets me carry extra gear.
DLC20001209	You got a deal. You're lucky he trusts me.
DLC20001210	Never mind. It's your problem, not mine.
DLC20001211	Why'd you bring it up, then? When the withdrawal hits and I feel like killing something, I'll know where to start!
DLC20001212	80 caps.
DLC20001213	That much for a dose? Fucking robbery!
DLC20001214	All right, here's your money! Don't spend it all one place!
DLC20001215	Ten hits for 300 caps.
DLC20001216	Ten hits'll last me a good while. Worth every cap. Now fuck off.
DLC20001217	Five hits for 150 caps.
DLC20001218	That'll last me a while! Nice. Now take your caps and fuck off.
DLC20001219	Three hits for 90 caps.
DLC20001220	Three hits? Like that's gonna hold me? Fine, I'll take them.
DLC20001221	Two hits for 60 caps.
DLC20001222	Two hits? Ain't gonna last long. Fine, hand it over.
DLC20001223	One hit for 30 caps.
DLC20001224	One lousy hit? That'll cover me for an hour! Hand it over.
DLC20001225	Yeah, leave now. Before the withdrawal hits you out on the trail, no Psycho for miles.
DLC20001226	Fine! You win, asshole! Enjoy leading the expedition into a fucking ambush! Hope you all die!
DLC20001227	I can sell you a dose of Fixer, but it won't be cheap.
DLC20001228	Fixer? Never said I wanted to kick the habit!
DLC20001229	Guess I can use it when I run out of the good stuff. How much?
DLC20001230	I've got Psycho to sell, but it won't come cheap.
DLC20001231	All right, all right - I am a little light. How many hits you holding?
DLC20001232	How much Psycho you got stashed away? If you run out on the trail... the withdrawal's not pleasant.
DLC20001233	Goddammit, I didn't say nothing about using Psycho!
DLC20001234	But, uh... Just talking hypno-theoretically here... Got any suggestions?
DLC20001235	 for extra gear.
DLC20001236	[FAILED] Ricky travels light on purpose, asshole! If you're looking for a slave, ask someone else!
DLC20001237	Looks like you're traveling light. What would you say to carrying some of my stuff?
DLC20001238	[SUCCEEDED] I travel light on purpose, okay? But if the price is right, I'll tell Jed I'm carrying less - so you can carry more. What's your offer?
DLC20001239	Looks like you're traveling light. Carry some items for me, and I'll make it worth your while.
DLC20001240	Medicine check.
DLC20001241	[SUCCEEDED] Hey hey hey! Fuck you! I didn't say nothing about using Psycho!
DLC20001242	Unwarranted hostility and general agitation. How long have you been a Psycho addict?
DLC20001243	[FAILED] Yeah, Doc, I'm feeling great, fuck you very much. Asshole.
DLC20001244	Are you feeling all right?
DLC20001245	I see you're wearing a Pip-boy and Vault suit.
DLC20001246	Nice job, Eagle Eye! Of course I got a Pit-Boy and a Vault suit! So what?
DLC20001247	Ewww. I think I'll pass.
DLC20001248	I don't think so, honey! You won't be able to resist!
DLC20001249	[SUCCEEDED] Hey! That's - man, what a bitch! I was just being friendly!
DLC20001250	Great, I'll see what I'm shooting at.
DLC20001251	Hey! That's - man, what a bitch! I was just being friendly!
DLC20001252	I'll bring my tweezers and a microscope.
DLC20001253	Do you have any other special skills or abilities?
DLC20001254	Well, I grew up near Dayglow out west, so yeah, I grew a third nut that glows in the dark!
DLC20001255	I'll drop trou for you out on the trail after dark, sis. Let you see what you're working with, know what I mean?
DLC20001256	What a load of crap. The eyeslits of T-series power armor are bullet-proof!
DLC20001257	Then I guess this dumb fucker's armor musta been... D-series or something!
DLC20001258	All I know is, he died up real dead when I killed him, okay?
DLC20001259	[SUCCEEDED] There so is! Or it was a 9mm or a 10, I don't know! Don't care!
DLC20001260	Said I was good at killing shit up! Never said I was good with numbers!
DLC20001261	Too bad there's no such thing as an 11mm submachinegun.
DLC20001262	[FAILED] Whatever. When you're me - a Deadeye - shots like that ain't nothing special. It's just what I do.
DLC20001263	What a shot!
DLC20001264	Please go on. This promises to be entertaining.
DLC20001265	I was walking along, minding my own, and up pops one of them Brotherhoods. He yells "Hand over that laser rifle, asshole!"
DLC20001266	So I hand it over, just to make him think I'm scared! But really I'm not! I never am!
DLC20001267	Before he knows what hit him, I draw my 11mm machinegun and BAM! BAM! Right through the eyeslit in his helmet! D.O.A.!
DLC20001268	You're saying that you killed a Brotherhood of Steel Paladin?
DLC20001269	What's it sound like I'm saying? If I was saying what you said I was saying, then yeah, I said it!
DLC20001270	[SUCCEEDED] No, no, you heard me right. "Deathjaws!" They're like Deathclaws - but bigger teeth!
DLC20001271	"Deathjaws," huh? Did you mean to say "Deathclaws?"
DLC20001272	[FAILED] Just how green are you? Everybody heard of Deathjaws. You better hope I'm around if you run into one.
DLC20001273	"Deathjaws?" I've never heard of those...
DLC20001274	That's quite a story.
DLC20001275	Hell yeah it's quite a story! But I'm quite a man, so stories like that follow me everywhere!
DLC20001276	Or there was the time one of them Steel Brotherhood assholes made the mistake of messing with me! Last mistake he ever made!
DLC20001277	"Deadeye," huh? How did you get that nickname?
DLC20001278	Uh, how you think? I shoot things in the eye, that's how good I am! Yeah, I'm that good!
DLC20001279	Why, uh, once I got jumped by three... Deathjaws! Except actually it was four of them! Imagine that!
DLC20001280	But I didn't panic, because... because I never panic! What I did was become a storm of death! Shot every one of them monsters "pop" in the eye!
DLC20001281	You do anything around here, besides talk too much?
DLC20001282	You want to know what I do, Bud? Anything I fucking want!
DLC20001283	You want to know what I do, Toots? Anything I fucking want!
DLC20001284	You do anything around here, besides make women sick?
DLC20001285	I'm one of a kind! I been places, see? And done things - lots of them!
DLC20001286	And when it's time to kill shit up? Hell yeah, I'm a fucking storm of death!
DLC20001287	Something or someone make the mistake of crossing Ricky? I'll fucking deadeye him, her, or it!
DLC20001288	In fact... yeah, in fact, that's my nickname! "Deadeye" Ricky - that's my name!
DLC20001289	Umm... tell me about this vision quest again?
DLC20001290	You go to cave. Find Ghost of She. Lay ghost to rest. This your quest. Bring peace where was strife. Go!
DLC20001291	Okay then... I guess... I guess I don't have any questions after all.
DLC20001292	Crazy old man. I'm not doing anything for you.
DLC20001293	Spirits guide you whether you listen or not. Smarter to listen, hmm?
DLC20001294	Okay then. I guess I'll just... go then.
DLC20001295	Go! Return maybe yes, return maybe no. But go.
DLC20001296	Wait a minute, what if I don't want to do any of that?
DLC20001297	Let's talk about something else.
DLC20001298	What would you speak of?
DLC20001299	What's with this obsession you seem to have with "civilization?"
DLC20001300	Let me tell you a story. When I was a boy, a man came through the valley with one of the caravans. Tall man, big mustache, carried a guitar.
DLC20001301	I asked what he did for his living, and the interpreter told me he was a singer.
DLC20001302	"What is that?" I asked. The man explained that he went from place to place and sang for people, who gave him food and shelter and care in return.
DLC20001303	I couldn't believe that there was a place in this world where a man could do that. I promised myself then that one day I'd explore that world myself.
DLC20001304	Ya? What did he say?
DLC20001305	I talked to Joshua about your thoughts on civilization.
DLC20001306	For as long as I remember, the Dead Horses have thought that places of the old world were taboo. Doesn't look so spooky to me.
DLC20001307	The Narrows up ahead, that's the Sorrows' territory. They're peaceful enough, but you don't want to make them mad.
DLC20001308	Heads up, this is the Three Marys. White Legs territory. You sure you want to head in there?
DLC20001309	Where do they come from?
DLC20001310	That's the weird part - normally the White Legs keep to the Great Salt Lake. I don't know what brought them down this far south.
DLC20001311	Wait, what? New Canaan was wiped out? How?
DLC20001312	That's what Joshua said. White Legs came down from Great Salt Lake in force - fell on New Canaan before they could mount a defense.
DLC20001313	Joshua found some of the survivors led by a man named Daniel. Most of them have fled the valley, but Daniel stayed on with the Sorrows tribe.
DLC20001314	He and Joshua have been arguing over whether to stand and fight the White Legs or take the Sorrows and the Dead Horses out of the valley.
DLC20001315	You've got a funny idea about what the Mojave's like, but I'll go with you and see your boss.
DLC20001316	Goot sists. Maybe while you're there you can tell me about where you came from, yeah?
DLC20001317	Tell me about Waking Cloud's family.
DLC20001318	What uh... what do you want to know, exactly? I'm sure she could tell you much better than I.
DLC20001319	I ain't feeling good, man. I feel like shit! I got the shakes, got the sweats. This fucking sucks!
DLC20001320	Oh man, yeah! Trigger finger is feeling itch-ay! Come on, assholes! Show yourselves and Deadeye Ricky'll blow your fucking heads off!
DLC20001321	Ah, the Eastern Virgin. What's the phrase? "House sweet house?"
DLC20001322	That's Pine Creek up there. Supposedly it's one of only two ways out of Zion Valley. Of course, without a map, good luck surviving.
DLC20001323	I like your bear glove. Where can I get one?
DLC20001324	A Sorrow's Yao Guai Fist is a sacred symbol. It shows that we belong to the tribe and have willingly undertaken a dangerous quest to aid the tribe.
DLC20001325	Each Sorrow makes his own - and only after hunting and slaying a Yao Guai that threatened our people.
DLC20001326	Our shaman, White Bird, oversees the rites. Perhaps if you spoke to him, he would allow you to undertake such a quest.
DLC20001327	Maybe later, if there's time.
DLC20001328	I do hope you will reconsider. I will point out his cave on your map, should you wish to speak to him later.
DLC20001329	Okay, I'll talk to him.
DLC20001330	Excellent. His cave overlooks the camp - I will show you where.
DLC20001331	Any idea what he wants?
DLC20001332	He did not say. White Bird is notoriously close-lipped. But he is wise, and you would do well to speak to him.
DLC20001333	Wildlife problem? What kind of wildlife?
DLC20001334	All right, let's go.
DLC20001335	Right.
DLC20001336	I'll see you on the other side.
DLC20001337	Go with God, brother.
DLC20001338	Go with God, sister.
DLC20001339	This is taking too long. We can't let Salt-Upon-Wounds escape. I'm going to find a way around. God willing, we will finish this together.
DLC20001340	Maybe later, if there's time.
DLC20001341	As you wish. I will point out his cave on your map, should you wish to speak to him later.
DLC20001342	Okay, I'll talk to him.
DLC20001343	Excellent. His cave overlooks the camp - I will show you where.
DLC20001344	Any idea what he wants?
DLC20001345	He did not say. White Bird is notoriously close-lipped. But he is wise, and you would do well to speak to him.
DLC20001346	Wildlife problem? What kind of wildlife?
DLC20001347	I'll see you on the other side.
DLC20001348	This is taking too long. We can't let Salt-Upon-Wounds escape. I'm going to find a way around. God willing, we will finish this together.
DLC20001349	I could talk to him, maybe he'll open up more to me.
DLC20001350	Perhaps he will. I sometimes feel he thinks he must protect me. If he has news, I would know of it.
DLC20001351	<Lie> Daniel isn't avoiding talking about your family. He's just preoccupied with all of this.
DLC20001352	This is true? You spoke to him? Oh, that is a relief. Grasas, na'ne.
DLC20001353	Follows-Chalk seems like he's interested in seeing more of the world.
DLC20001354	I thought he might. It's been some time since I've visited... civilized places. I don't have fond memories of them.
DLC20001355	But I have always seen these places from the outside. I'd rather not influence him more than I already do. Why don't you talk to him?
DLC20001356	<Lie> That a man must follow his heart no matter where it leads him.
DLC20001357	Really? He said that? Hoo! I'm going to do it. After all this is over, I'm going to go explore civilization!
DLC20001358	Dank ni, ahk iss - I never would have had the growans to ask him myself.
DLC20001359	<Lie> That it's a den of corruption and vice, and the Dead Horses' way of living is better.
DLC20001360	Oh. Well, I guess that's about what I could expect from him. I'd like a minute alone to think about this. Dank ni.
DLC20001361	Really? Maybe I could talk to him about it for you. Be a neutral party.
DLC20001362	You'd do that? Sure, sounds smart to me. He might not get so mad at you.
DLC20001363	What does Joshua think of this?
DLC20001364	I, umm, I haven't told him yet. Never had the growans.
DLC20001365	Enough with the drama. I just want to get home.
DLC20001366	I understand. The safest way for you to resolve this is to help me and the Dead Horses defeat the White Legs.
DLC20001367	Daniel wants to evacuate the Sorrows from the valley. I think this will be much more difficult for everyone, you included.
DLC20001368	You can rationalize, if you'd like. A lucky coincidence of my faith and your pragmatism leading to different goals by the same means.
DLC20001369	But you'll have to help convince Daniel, because I can't do it alone. The good Lord knows I've tried.
DLC20001370	Fair enough. What do you want me to do about it?
DLC20001371	Talk to Daniel about fighting the White Legs. He wants to evacuate the valley, believes it is best for the Sorrows, physically and spiritually.
DLC20001372	He knows I disagree, but believes my desire to fight is the result of my... history of violence.
DLC20001373	Perhaps if he heard an argument from you, he could be convinced. In any case, it's important enough to try.
DLC20001374	I don't know if you've figured this out yet, but I don't believe what you believe.
DLC20001375	Then as a Gentile, you should find this to be even more beneficial. If the Sorrows stay in Zion, you will always have a link to New Canaan.
DLC20001376	If the Sorrows leave Zion, so too do the New Canaanites. What's more, you'll have more White Legs coming farther south.
DLC20001377	You may not be concerned over matters of faith, but this is a case where faith and practicality coincide.
DLC20001378	No one wants the White Legs here. We just need to convince Daniel that it's our responsibility to ensure that doesn't happen.
DLC20001379	Hmm. Okay.
DLC20001380	You're not so certain. Fair enough. We all have doubts.
DLC20001381	Blessed are they that have not seen, and yet have believed. But you can be a Thomas for now. Fight the White Legs enough and you'll see the truth.
DLC20001382	I just hope that by the time you understand, there will still be time to convince Daniel that we have to fight for Zion to save it, and the Sorrows.
DLC20001383	Fair enough, I guess.
DLC20001384	I and the Dead Horses are prepared to do what must be done to protect Zion from the White Legs.
DLC20001385	And though Daniel won't accept it yet, there are many Sorrows who are also prepared. They may not be warriors, but this is their home.
DLC20001386	If you have a chance to speak with Daniel about this, ask him to consider defending Zion instead of abandoning it.
DLC20001387	He has good intentions, but I fear that if we evacuate the Sorrows from this place, it will be lost to them, and us, forever.
DLC20001388	I do. They're little more than raiders, if that.
DLC20001389	Then you must bear witness of this revelation to Daniel. The obviousness of it escapes him.
DLC20001390	We both desire a non-violent solution to this problem. Where we differ is that only one of us believes it is possible.
DLC20001391	Speak your heart to Daniel when the opportunity presents itself. There may yet be time to save Zion.
DLC20001392	And what kind of tribe is that?
DLC20001393	God told Moses that the tribes of Cain would not be welcome in Zion. The White Legs are as close as I have seen, beyond hope, beyond redemption.
DLC20001394	But if the Sorrows die in a state of ignorance, their salvation may be delayed as well, passing from life in this world to a spiritual prison.
DLC20001395	We have a responsibilty to protect this place and those who have come to dwell in it. If you feel the same way, speak with Daniel.
DLC20001396	There may yet be time to save Zion from those who are too ignorant to understand what they have come to destroy.
DLC20001397	Yes, what has to be done is you have to get these tribes out of here.
DLC20001398	The Sorrows need help. We brought the White Legs here, the New Canaanites. This is their home, Zion, God's gift to them.
DLC20001399	In abandoning it, we will gain nothing and will lose more than you realize. Please think about this, and look in your heart.
DLC20001400	The light of the mind alone cannot burn away all darkness.
DLC20001401	I need to think about it.
DLC20001402	Of course. Think on it, and look in your heart. The light of the mind alone cannot dispel the whole world's darkness.
DLC20001403	I'll talk to him about it. Maybe he can be persuaded.
DLC20001404	Thank you. It will be for the best.
DLC20001405	You'll get no argument from me. These White Legs are human garbage.
DLC20001406	They're still God's children, but if they turn against their brothers and sisters, won't listen to reason...
DLC20001407	If they pollute the Lord's temples on Earth, like Zion, who are we to stand by and let them continue?
DLC20001408	Daniel does not yet see things the way we do. He is the John to our Matthew and Mark. When you have a moment, speak with him.
DLC20001409	There may still be time to save Zion from the White Legs, to keep God's children here, in this living temple.
DLC20001410	Why are you talking to me about it?
DLC20001411	Daniel and I don't agree on everything, but in our hearts, we both want what's best for the Sorrows and Dead Horses.
DLC20001412	You've seen what the White Legs do, and I think you know what has to be done. If Daniel hears it from someone other than me, well...
DLC20001413	Zion may not be lost to us after all.
DLC20001414	This conversation just got pretty dark. What was that about happy... dashing the little ones?
DLC20001415	Happy are those who do the work of the Lord. Zion belongs to God and the people of God. It is a natural temple and monument to his glory.
DLC20001416	When our Lord entered the temple and found it polluted by money-changers and beasts, did he ask them to leave? Did he cry? Did he simply walk away?
DLC20001417	No. He drove them out. It is one thing to forgive a slap across my cheek, but an insult to the Lord requires... no, it demands correction.
DLC20001418	You don't want to leave Zion. You'd rather kill every last one of the White Legs.
DLC20001419	Given those two choices, yes. In the best of all possible worlds, they would just leave us in peace. But they won't.
DLC20001420	I don't enjoy killing, but when done righteously, it's just a chore, like any other.
DLC20001421	Practiced hands make for short work. And the good Lord knows there's much to be done here.
DLC20001422	No, and I don't really care.
DLC20001423	Living in willful ignorance is an ugly thing, but God often speaks loudest in the wild places of his creation, like Zion.
DLC20001424	Zion is a place, and a state of being, that has been lost to us several times in the past. Each loss is a new fall of man.
DLC20001425	And after each fall, we weep in strange new lands and dream of Zion, dream of visiting vengeance upon those who took it from us.
DLC20001426	But this is the waking world in which we live. There is no need to cry, no need to dream. We can act now and stop the White Legs here.
DLC20001427	Well, I'm guessing you're pretty mad about something.
DLC20001428	The White Legs didn't just force my people out of New Canaan. They butchered everyone who wasn't fast enough to get away.
DLC20001429	The elderly, the ill, children. Those who stopped to help the wounded. It made no difference to them. They can't be reasoned with, the White Legs.
DLC20001430	Daniel believes that if we leave, if the Sorrows leave, the White Legs will stop. He doesn't understand what this kind of tribe is like.
DLC20001431	Are the New Canaanites really a tribe?
DLC20001432	We wear more clothing than them and understand more about technology, but we're still a tribe, a linked family of families.
DLC20001433	The Boneyard, Phoenix, New Vegas, they're just places, metal and stone. New Canaan dies, but the tribe lives on.
DLC20001434	When the walls come tumbling down, when you lose everything you have, you always have family. And your family always has tribe.
DLC20001435	Why haven't I seen any Sorrows in the valley?
DLC20001436	The Sorrows have many skilled hunters among them, but no warriors. They have not had to deal with war or raiders for decades.
DLC20001437	Even though they can hunt a full-grown Yao Guai, they don't know how to deal with the White Legs. That's why we're here.
DLC20001438	Does the valley belong to the Dead Horses?
DLC20001439	The valley belongs to God, but no. The Dead Horses live at Dead Horse Point, up the Colorado River. They came here because I asked them to.
DLC20001440	Before I... returned to the fold, I visited them years earlier. I looked much different then, but I left an impression on them.
DLC20001441	I taught them how to hunt more efficiently, how to maintain their weapons and Pre-War equipment. When I returned, they showed their appreciation.
DLC20001442	Why did the White Legs attack my caravan?
DLC20001443	They attack everyone who isn't a White Leg, especially caravans. They don't know how to survive on their own, so they have to raid.
DLC20001444	But as for why they are here, they are trying to wipe us out. All of us.
DLC20001445	They want to join Caesar's Legion, and they can only prove their worth by destroying the New Canaanites and everyone we shelter.
DLC20001446	Do you ever "fall?"
DLC20001447	Every day. Some days are... harder than others.
DLC20001448	Ha ha ha! Wait... you don't actually believe that, do you?
DLC20001449	I know it may be hard for you to accept or even to understand. In my heart, I believe that though I am a sinner, I have been saved.
DLC20001450	And I believe there is something beyond this rock and this air and this water around us, something more that is waiting for us.
DLC20001451	I have been baptized twice, once in water, once in flame. I will carry the fire of the holy spirit inside until I stand before my Lord for judgment.
DLC20001452	Huh. If you say so.
DLC20001453	Whether there is a God or not, his existence doesn't depend on what you believe or what I say.
DLC20001454	There is much to be skeptical of in this world, so it no longer surprises me to learn how many people don't really believe in anything.
DLC20001455	But I believe that our Lord was made flesh as Jesus Christ and died to redeem me. And you. And the Sorrows. Even the White Legs. Everyone.
DLC20001456	Sounds like a good deal.
DLC20001457	In a world filled with misery and uncertainty, it is a great comfort to know that, in the end, there is light in the darkness.
