GID00086201	RobcOS v.85
GID00086767	We can only carry on with his work and hope we find a solution, but since he was the mind behind all this, his condition is a real setback for us. Dr Nice thought he had this under control but we must of missed something. We will do what we can.
GID00086768	Senior research Tech
GID00086769	PP Dr Nice
GID00086770	Diary 06: Cpl Sherwood
GID00086771	We have had enough. They were making some of the guys move the barrels of radioactive waste outside into the collapsed chamber. We rounded the captain and all his cronies up and locked them all in the reactor room, so they can see what it feels like. 
GID00086772	They will get out soon enough but the radiation will kill them before long and even if it doesn't we are going to bring the rest of this tunnel down to seal them in.
GID00086773	We have eaten what we wanted and are taking the remaining supplies for ourselves. We are going to head back to try and find our families. Screw the military, screw the government. There is nothing left to fight for, no country left to serve. Its all gone to hell and they sent it there.
GID00086774	Research Memo
GID00086775	Chief
GID00086776	Thank you for your concern regarding the UV lighting used to maintain the flora. I am well aware of the harmful effects photophobia can have on our residents but you must understand that these plants form an important function in our air filtration system and if we switch the lights off permanently they will die.
GID00086777	We can shut the atrium off for periods when the lights are on and suitable eye protection can be worn by anyone who has to go in there. You already have the modified issue security helmets used for external patrols & snatch squads.
GID00086778	Senior research Tech
GID00086779	PP Dr Nice
GID00086780	PS If you handle the current 'visitors' correctly we will have enough livestock so we won't have to venture outside, for a while at least.
GID00086781	Saved Email01
GID00086782	Geoff, I've told you before, I will not generate a timesheet code for robot servicing, its not needed.
GID00086783	Saved Email02
GID00086784	Geoff, stop moaning and get on with it. I see your timesheets every week and I know you have not spent more time on robot servicing than you have on rail maintenance work. They are not a waste of time as our projections indicate they will increase efficiency by 34.7%.
GID00086785	And stop picking on Des. And stop hiding his lucky Dino toy, I really don't have time for this nonsense.
GID00086786	Saved Email03
GID00086787	And talking of timesheets, you’re late again. You know that timesheets have to be submitted by the end of the week, sort it out. And don't you dare do any in more than a week in advance.
GID00086788	Auto generated Email
GID00086789	Current Timesheet status
GID00086790	Baxter, Marcus - 999+ weeks late
GID00086791	Davies, Michael - 999+ weeks late
GID00086792	Evans, Albert - 999+ weeks late
GID00086793	Green, Robert - 999+ weeks late
GID00086794	Muller, Karl - 999+ weeks late
GID00086795	Smith, Geoffrey - Up to date
GID00086796	Tate, Nicholas - 999+ weeks late
GID00086797	Note Name
GID00086798	Trail Log 37 of 43: Beth - Day15
GID00086799	Cracked it! Stone Case, Access code: DH65-HJ2976. Almost there with the security code.
GID00086800	I think its a pre-war facility of sorts, but there's only a place name which I don't recognise. There's no coordinate data.
GID00086801	RobcOS v.85
GID00086802	(C)2076 Robco 
GID00086803	========================
GID00086804	| User Log:
GID00086805	| >> Administrator (RobcoID 2902-C)  
GID00086806	| >> Default Targeting_Param:
GID00086807	| >>> Goverment_userGroup
GID00086808	| >>> Contract Ref:  'Stone Case'
GID00086809	========================
