GID00086809	Trail Log 9 of 43: Spider - Day 3
GID00087373	Normally I would just laugh, every wastelander has a treasure map but Pinky says he knows him. Said his name was Ezra, in his day a prospector and a good one too. Evidently he had some really big scores but then got a taste for Vegas, and hence his new career path as a bum.
GID00087374	It can't be that simple though. Life just isn't like that.
GID00087375	Trail Log 4 of 43: Bernie - Day 2
GID00087376	We're all in apart from Daniel. Says it's fool's gold. I think he has just gone soft in his old age, the old man would just slow us down anyway.
GID00087377	Keep your eye on Spider as well. He's been acting a little weird and I reckon he has an angle somewhere. I'm not worried as he's just a kid and if he pulls a fast one it will be his last, we just need to keep an eye on him, that's all.
GID00087378	Trail Log 5 of 43: JD - Day 2
GID00087379	Jack's such an asshole. Does he honestly think we can just follow the map and take it all for ourselves? And set up a toll? Every fucker we come across will already be doing that. We are gonna have to fight and pay all the way to Zion.
GID00087380	But I've heard some good things about the place, unspoiled. And if the route is viable, well, that's information. And to people like the NCR and Crimson Caravan that's worth hard caps. Legion gold if it comes to that.
GID00087381	First stop is this place on the map called Hayford, I've heard there is a place to re-supply there.
GID00087382	Trail Log 6 of 43: Spencer - Day 2
GID00087383	Spider sprung one on me today. Says that hobo told him of a vault in the canyons. Says it still locked up tight. Came to me because I'm the vault expert and Bernie and Jack are dicks.
GID00087384	Makes sense I suppose, the entire population went underground during the war and there are Vaults, shelters and holes everywhere.
GID00087385	Maybe I shouldn't have mouthed off about Vaults though. Sure I've been to Vault 34, didn't actually go in there, too much radiation. And I did go into Vault 22. Just. Well I looked inside. I thought the sign was just to put people off, but that place was too freaky.
GID00087386	I have been into Vault 19 to make a trade with some Powder Gangers, but I'll be damned if I was going to stick around to look about. Ironically, I then spent half of the caps in the only other Vault I've been in, Vault 21. Not sure if that counts.
GID00087387	The hobo was probably just playing with the kid but then Spider does have a way with people. He's a silver tongued fucker, I've known him to get inside a women's pants in less than 10 minutes. 
GID00087388	But a real deal un-opened Vault? They were meant to keep out nukes, how the hell are we going to get in? But what if we could? And who or what is inside?
GID00087389	Trail Log 7 of 43: Jason - Day 3
GID00087390	They are laughing at me for paying for the hobo's stash. They think I've been taken, but the hobo swears it's where he left an emergency stockpile that he has never been able to get back to. I have a good feeling about it, my luck's gotta turn after Vegas, I'm due. It's buried in the grave of some one called Count Abraham Jefferson III. I thought we killed him at Goodsprings? That's gotta be a sign. It's the big one, I just know it. They won't be laughing then.
GID00087391	Trail Log 8 of 43: JD - Day 3
GID00087392	It all went to shit today. That didn't take long.
GID00087393	Bernie & Jack said Spider fell and was killed by that waterfall, reckon he was trying to climb down to get some water. Some of the others are not buying it, and to be honest neither am I. There has been bad blood between them ever since Spider fucked that piece of tail Bernie had his eye on in Primm.
GID00087394	We checked but Spider was gone, no sign of him. I really don't need this shit right now, it's going to be a long journey and I really need everyone on board.
GID00087395	Spencer was really mad, I didn't realize him and Spider were so tight. I cooled it down, but it's not over. We will camp here tonight, we can hunt some mantises and Spencer wants to do another search for Spider, which is worth a shot I suppose.
