FO300000001	.32 Pistol
FO300016919	It's about dealing with the day-to-day needs out there. Finding food and water, avoiding hazards like radiation and traps. That sort of stuff.
FO300016920	Oh, I'm writing up the second chapter right now. It's called, "Thrive."
FO300016921	It covers the various ways to get ahead and stay ahead of the various predators out there. And how to patch yourself up if you don't!
FO300016922	In the last stretch, now! The last chapter's going to be called, "Revive."
FO300016923	It's all about how we can rebuild society and humanity, learning how to use old tech, preserving knowledge, building communities, and so on.
FO300016924	It's a little ambitious, yeah. But why aim low, right?
FO300016925	Oh, I've been doing a bit of research into ways to communicate with Centaurs. I mean, they should be able to talk, since they're mostly human.
FO300016926	I was considering a new way to make irradiated ground fertile again with some mixture of brahmin dung and crushed rad-away.
FO300016927	Of course, even if that works, the real problem would be irrigating the fields. And that'd require water.
FO300016928	I've been contemplating the possibilities of domesticating Mole Rats. I know it seems a little gross, but milk is milk and meat is meat, right?
FO300016929	I was playing with an idea for an elevated brahmin feeding system, so they don't have to strain their necks so much.
FO300016930	But the caravan master said, "If it ain't broke, don't fix it."
FO300016931	I guess that applies to improvements, too. Oh well.
FO300016932	Just taking care of business, as always.
FO300016933	Sorry, I can't really talk now. I've got lots of work to do. Lots of dull, dull work.
FO300016934	What do you do here?
FO300016935	Why, I'm an inventor, a tinkerer, and a general genius of junk. One person's junk is another's treasure, you know.
FO300016936	And traders bring in lots of junk, so I get dibs on anything particularly nifty. Sure, I don't have as much to sell, but it's more fun this way!
FO300016937	Moira Brown, inventor, tinkerer, and general genius of junk. One person's junk is another's treasure, you know.
FO300016938	My name's Moira Brown. I take care of basics around here. Nothing fancy.
FO300016939	I used to work on all sorts of things, but that seems like it was a long time ago.
FO300016940	So, how's the scavving been? Got the food and medicine from that Super-Duper Mart?
FO300016941	Oh? Feeling a bit under the weather? Or a bit over the Geiger-counter?
FO300016942	How are those hot little potatoes?
FO300016943	Anyway, what's up?
FO300016944	How are those hot little potatoes? Or whatever. You know what I mean.
FO300016945	Oh, I can't wait to hear how the repellent's working!
FO300016946	So, are they intelligent? Do they have a leader? Some sort of king? Or priests? Or some sort of scaly community center?
FO300016947	Well, how do you feel?
FO300016948	Any luck finding out how Rivet City got started?
FO300016949	Fiddle with any interesting technology, lately?
FO300016950	Is it there? Are there books? Can I go borrow some?
FO300016951	Oh. Well, could you get on that? Thanks!
FO300016952	I haven't gotten around to it, yet.
FO300016953	Not even for humanity? Not even for science?
FO300016954	I'm not really comfortable with getting irradiated.
FO300016955	It's not just because they say the place is haunted, is it? Because that's no reason to avoid the place.
FO300016956	Ghosts don't exist. But landmines do. Oh boy, do they. And that's what we need to study!
FO300016957	I haven't been to Minefield yet. Hold on.
FO300016958	Wow, it repels them that much? I can't wait for your full report!
FO300016959	I just haven't found enough Mole Rats.
FO300016960	There's only one way to know for sure. Just slip the observer into a spawning pod at the War Memorial. I'll take care of the rest.
FO300016961	I find this whole "Mirelurk intelligence" thing a bit hard to swallow.
FO300016962	You seriously want me to go out and hurt myself for your book?
FO300016963	Try asking around a bit. You never know who's collected a lot of information, do you?
FO300016964	I can't get a straight answer out of those folks.
FO300016965	Well, why not go over there and make a few friends? Or activate them, I guess.
FO300016966	I haven't been over to the RobCo facility, yet.
FO300016967	Places like that store the collected knowledge of the entire human race. How we began, how we lived, and how we died. Knowledge overwhelming!
FO300016968	I mean, no offense.
FO300016969	Is it really worth risking my life over a bunch of books?
FO300016970	Really? No medicine at all? None? Seriously? Well, I guess I should have expected that. It's been a long time, after all.
FO300016971	But you certainly did research a couple risks of those big stores. Tell me all about it!
FO300016972	Well, I've got the food. But no luck with the medicine.
FO300016973	So, let me do a little examination. How do you feel?
FO300016974	I don't feel well. I think I've got a bit of radiation sickness.
FO300016975	I'll bet you didn't see any ghosts, either. So, tell me about the landmines. Did you get blown up?
FO300016976	But sure, sniper, shooting, yadda, yadda, yadda. Tell me about the landmines. Did you get blown up?
FO300016977	I went in and got back, no problems.
FO300016978	See? I told you it wasn't a ghost. Science, one. Superstition, zero!
FO300016979	But sure, sniper, shooting, yadda, yadda, yadda. Tell me about the landmines. Did you get blown up?
FO300016980	I went in there and a sniper started shooting at me!
FO300016981	Just a few? Well, I'm sure it'll be good enough.
FO300016982	So, how did my chemical repellent work? Safe and clean like a charm, I'll bet!
FO300016983	I tested the Repellent on a few Mole Rats.
FO300016984	Oh, no. You didn't rile them up, did you? Because I'm not getting a very good signal from the observer.
FO300016985	I think they buried it in the mud. Oh, I really hope that was just mud.
FO300016986	Anyway, you saw them, at least a bit. What are your observations about them?
FO300016987	I set the observer, but I don't think they'll forget my visit anytime soon.
FO300016988	Well, lucky for you that I am! At least, pretty good. Good enough to fix this up, at least.
FO300016989	You wouldn't happen to have a broken limb, would you? No? Well, never mind. Now, can you describe how you feel?
FO300016990	You'd better be a good doctor.
FO300016991	Well, if it's all you could find out, I guess it'll have to do. So, what did they say?
FO300016992	I asked a couple people about Rivet City's history, but it may not be reliable.
FO300016993	Oh great! Reactivating long-dormant technology is definitely a good step towards the survival of humanity as a whole.
FO300016994	Then again, maybe it's more dangerous if it's active but uncontrolled. How did it turn out?
FO300016995	I was able to get the robots online again, but I couldn't control them.
FO300016996	Well... That's not really much use for the book, I'm afraid. But thanks for checking.
FO300016997	So, how's the place looking? How long before I can go over and borrow a couple good novels?
FO300016998	I found the library and checked the catalogue, but that's all I could get.
FO300016999	Really? You did? You did! Well, all right! Tell me all about it!
FO300017000	It wasn't easy, but I got the food and the medicine.
FO300017001	Now just hold on and try not to move. Tell me how it feels, and I'll get you fixed right up.
FO300017002	I'm about as irradiated as I can get without burning a hole in the floor.
FO300017003	My very own landmine! Just what I've always wanted. Well, always since I sent you out on this, anyway.
FO300017004	Now, tell me all about it. What was it like going through there? What's it like disarming a landmine?
FO300017005	I got through Minefield alive, and I even brought you a present.
FO300017006	Oh, excellent! Substantial field-testing, precise reports, and such dedication! What more could I ask for in a research assistant?
FO300017007	So, how did my chemical repellent work? Safe and clean like a charm, I'll bet!
FO300017008	I tested the Mole Rat repellent extensively.
FO300017009	I'll bet most people would have just gone in there, guns blazing, without half a thought. But not you! You're the best research assistant ever!
FO300017010	I've been getting a good signal, but what do you think about them from your first-hand observations of them?
FO300017011	I slipped the observer in with the eggs, and they're none the wiser.
FO300017012	Oh, I know it does, dear, but it's for a good cause. Try not to squirm so much while I take notes.
FO300017013	Now how would you describe the pain you're feeling? Any advice for how to keep it from being overwhelming? And remember, this is for posterity.
FO300017014	This really hurts, you know.
FO300017015	A-ha! Not just as easy as asking around, was it? Good information takes real work to uncover, after all.
FO300017016	So, tell me all about it!
FO300017017	After a lot of searching, I've got the real history of Rivet City.
FO300017018	Harnessing the technology of the past and modifying it for your own purposes? That's just the thing!
FO300017019	Tell me all about how it worked out!
FO300017020	I reactivated the robots and was able to modify their programming.
FO300017021	Really? A whole library's worth of data, right there? That's great news!
FO300017022	So, what did you find? Tell me about it!
FO300017023	The library's still standing, and I've got the archives right here.
FO300017024	Guess I wasn't the first to think of checking out a food store for storing food. Huh?
FO300017025	I encountered some Raiders, but they were easily outsmarted.
FO300017026	Well, it's no worse than some folks have it. Right?
FO300017027	Now, let me take a few notes, and I'll handle that nasty radiation with a bit of my own home-made rad-cure concoction.
FO300017028	The headaches certainly make it hard to focus properly.
FO300017029	Oh, I never get to discuss semantics with anyone anymore! People are always like, "No time to debate linguistic constructs, we need to get food."
FO300017030	But you're right, of course. And that sort of attention to detail must help when avoiding landmines.
FO300017031	I know you may not want to see any more explosives for a while, but obviously you know your way around them. Have a couple rainy-day toys of mine.
FO300017032	Technically, it's the landmines that blow up, not me. And no, I didn't.
FO300017033	Explosive, you say? That's kind of impressive, actually. In a horrible sort of way, at least.
FO300017034	I guess it's back to the drawing board for that repellent. I wonder if I can make it into some sort of fuel. Anyway, I'll just take that.
FO300017035	You added too much chemical stimulant. The result was rather explosive.
FO300017036	I wish we could have gotten more information, but this'll have to do for the book. Here's your pay. Maybe they'll help you be sneakier next time.
FO300017037	Their lairs are partially aquatic, so the radiation must not bother them.
FO300017038	Sounds like you know your way around a medkit. You could probably take care of yourself, if I wasn't already here.
FO300017039	Of course, since I am here, I might as well take care of you now. It's the least I could do.
FO300017040	Acute physical trauma and severe lacerations. It's hardly pleasant.
FO300017041	Well, I suppose that sort of thing happens, occasionally. But I guess if that's all that can be uncovered, what else is there to go on?
FO300017042	Oh well. Still, for your help, have a few of these. They may help out next time you need to talk to a few folks.
FO300017043	There's simply too many stories, and not enough evidence to support any of them.
FO300017044	Say what you will about the dead folks of the past, but they designed a lot of their stuff so even idiots could use it. No offense, of course.
FO300017045	It helps to have the right tool for the job. Failing that, go with the right tool to cheat at the job. Like a pulse grenade. Here, have a couple.
FO300017046	Installation was much easier than reaching the mainframe in the first place.
FO300017047	Well, at least it's still there as a monument to knowledge. Shame it's an empty one.
FO300017048	Still, it's good to know it's standing. Maybe I'll inspire someone to take care of the place. Have some caps as payment for that little bit of hope.
FO300017049	The building is there, but the books are all ruined.
FO300017050	Oh, poor research assistant! I'm sorry, I didn't know it'd be so dangerous in there!
FO300017051	Well, don't worry. I'm sure the rest of the research will be safer!
FO300017052	That place was a death trap. It was crawling with Raiders.
FO300017053	Now, let me take a few notes, and I'll handle that nasty radiation with a bit of my own home-made rad-cure concoction.
FO300017054	Why don't you drink a tall glass of wastewater and find out for yourself?
FO300017055	I told you, ghosts don't exist. That sort of attitude really isn't benefiting a research assistant.
FO300017056	But I'm glad you're not dead. That'd be a real downer. Especially for you, I bet.
FO300017057	I know you may not want to see any more explosives for a while, but obviously you know your way around them. Have a couple rainy-day toys of mine.
FO300017058	Yes, I blew up and died. Now I'm haunting you because of that stupid book. Boo.
FO300017059	I guess it's back to the drawing board for that repellent. I wonder if I can make it into some sort of fuel. Anyway, I'll just take that.
FO300017060	It repelled their limbs from their body. Can you make one that works on people?
FO300017061	I'm sure it's an acquired taste. I mean, it wouldn't technically be cannibalism or anything. Just kind of gross.
FO300017062	I wish we could have gotten more information, but this'll have to do for the book. Here's your pay. Maybe they'll help you be sneakier next time.
FO300017063	What's to say? They're crabs. They're delicious and nutritious.
FO300017064	Okay, okay! I'm sorry I even asked. Yeesh.
FO300017065	Well, rest easy and I'll see about fixing you up once I take a few notes.
FO300017066	On a scale of one to ten, I'd say it's a "shut the fuck up and fix me."
FO300017067	Even I'm not sure I can believe that, and I'm downright gullible. Or so I'm told.
FO300017068	But I guess if that's what they said, what else is there to go on?
FO300017069	Oh well. Still, for your help, have a few of these. They may help out next time you need to talk to a few folks.
FO300017070	I guess some people can work with complicated technology, and the actual tools and materials aren't entirely necessary.
FO300017071	I guess you've either got it or you don't.
FO300017072	It helps to have the right tool for the job. Failing that, go with the right tool to cheat at the job. Like a pulse grenade. Here, have a couple.
FO300017073	I didn't even need that tele-thingy unit. I was just that good. <Lie.>
FO300017074	I guess it's good enough just to know it's standing. Here's some caps for that. Jerk.
FO300017075	I may have been able to recover more, but it said to be quiet, so screw that.
FO300017076	That's a mighty callous attitude towards killing. But I guess they'd do the same for the food. Shame there wasn't any medicine.
FO300017077	I got the food and dealt with those pansy Raiders. They couldn't stop me.
FO300017078	More like radiation sickness can MAKE you weak. Don't blow it off like that.
FO300017079	Now, let me take a few notes, and I'll handle that nasty radiation with a bit of my own home-made rad-cure concoction.
FO300017080	I can barely feel it. Radiation sickness is for the weak.
FO300017081	But not exactly useful for those of us who can't handle even one little explosion.
FO300017082	I get blown up a lot. I get better. You got to be hard.
FO300017083	But it seemed to be working so well in informal testing! Anyone I hit with the repellent just left. Sometimes they yelled a bit, but that's all.
FO300017084	I guess it's back to the drawing board for that repellent. I wonder if I can make it into some sort of fuel. Anyway, I'll just take that.
FO300017085	Those dumb Mole Rats just blew up! You should have seen the guts!
FO300017086	Easier to avoid them than to fight them, you mean? Sounds like a good idea. Shame it's apparently hard to do in their den.
FO300017087	I wish we could have gotten more information, but this'll have to do for the book. Here's your pay. Maybe they'll help you be sneakier next time.
FO300017088	Between shells and scales, they're pretty tough. But not tough enough.
FO300017089	If you say so, tough stuff. Glad it's not me in your shoes.
FO300017090	Well, rest easy and I'll see about fixing you up once I take a few notes.
FO300017091	What, these little scratches? Hardly the worst scrape I've been in.
FO300017092	Whoa. From everything I had heard about them, I wouldn't have expected them to be so "hands-on."
FO300017093	But I guess if that's what they said, what else is there to go on?
FO300017094	Oh well. Still, for your help, have a few of these. They may help out next time you need to talk to a few folks.
FO300017095	Those tough upper deck folk built the whole place from the ground up!
FO300017096	It's a bit surprising how sturdy and easy-to-use a lot of the junked tech is. Guess they made it sturdy and simple back then.
FO300017097	It helps to have the right tool for the job. Failing that, go with the right tool to cheat at the job. Like a pulse grenade. Here, have a couple.
FO300017098	The unit went in the computer. Then the robots woke up. Pretty straightforward.
FO300017099	Well, I wouldn't think very highly of you. That's for sure.
FO300017100	Still, it's good to know it's standing. Maybe I'll inspire someone to take care of the place. Have some caps as payment for that little bit of hope.
FO300017101	Most of the books would make better burning than reading.
FO300017102	So, you're saying that they acquired a well-protected stash? I wonder how many other places are hiding treasures behind monsters, hrm?
FO300017103	Well, keep what you got. Just traded for a big food shipment, myself. Here, take a bit, my treat - the taste kind of grates after a while.
FO300017104	The Raiders were using the pharmacy as a place to store their best gear.
FO300017105	So, you're experiencing delusions, too? Fascinating!
FO300017106	Now, after taking a few notes, I'll take care of that nasty radiation with a bit of my own home-made concoction.
FO300017107	I've never had a chance to test it out on someone so heavily dosed, but I'm sure it'll work out fine. Exciting, isn't it?
FO300017108	If I listen closely, I can hear my genes crying.
FO300017109	That's so true. For all of life, really. But especially the parts involving landmines.
FO300017110	I know you may not want to see any more explosives for a while, but obviously you know your way around them. Have a couple rainy-day toys of mine.
FO300017111	And looking at this landmine, it gives me an idea. It's a terrible device that does terrible things, of course. But it's easy to make your own, too.
FO300017112	Watch the details and look for broken patterns. That's where the traps are.
FO300017113	It appears that Mole Rats have a most fatal allergy to it. Explosively so.
FO300017114	That's very scientific of you! Personally, I wasn't sure if they were crabs or if they came from some sort of brine shrimp, perhaps.
FO300017115	Some of these observations about their armor and camouflage gave me an idea for reinforced, neutral-colored headgear.
FO300017116	Here, consider it thanks for not interfering with them. Oh, speaking of which, take these. So you can continue to avoid them in the future.
FO300017117	They descended from local crabs. I'd call them "Scylla Serrata Horrendus."
FO300017118	That's a very enlightened attitude you've got! Shame it doesn't stop bullets, huh?
FO300017119	Luckily, I'm here to patch you up. Now, hold still and quit fidgeting.
FO300017120	Pain's an abstract. I stay focused on the definable things, like survival.
FO300017121	Hrm. With the protected location and resources that came from those scientific advances, I can definitely see how it grew so quickly!
FO300017122	A bit of smarts leads to a big reward, huh? Speaking of which, in thanks, have a few of these, for the next time you've got to be quick on your wits.
FO300017123	Oh, and I'll let the Rivet City traders know they'll be favorably mentioned in the book. You'll get a discount buying gear from them in the future.
FO300017124	It began as a research station, which is why it's still a scientific haven.
FO300017125	Seems like a good thing to watch for when dealing with tech of any age. And it helps to pack a few pulse grenades, just in case. Here, have a few.
FO300017126	Even after reprogramming, the robots were of questionable value as allies.
FO300017127	I suspect you and I are two of the only people who really appreciate its value, yes!
FO300017128	Oh my goodness, when I'm done with this, I'll have to work on copying all of this information. It could take a while, you know.
FO300017129	Oh, but here's a book of mine and some caps for your research. Think of it as pay for a civilization worth of overdue books.
FO300017130	This is an entire library's archives. You know how valuable that is, right?
FO300017131	You do what you need to do to get food and medicine, I guess. It's not pretty, but I guess that's the way it's got to be, right?
FO300017132	Well, keep what you got. Just traded for a big food shipment, myself. Here, take a bit, my treat - the taste kind of grates after a while.
FO300017133	Those Raiders must've shot me twenty times. But who's counting?
FO300017134	Oh, sure you can, you tough ol' survivor. Now sit down before you fall down.
FO300017135	Now, after taking a few notes, I'll take care of that nasty radiation with a bit of my own home-made concoction.
FO300017136	I've never had a chance to test it out on someone so heavily dosed, but I'm sure it'll work just as well. Exciting, isn't it?
FO300017137	Well, it itches a little, but I can walk it off.
FO300017138	Oh. Well, if that's all! I'll just study this and hope there aren't any more explosions, shall I?
FO300017139	I know you may not want to see any more explosives for a while, but obviously you know your way around them. Have a couple rainy-day toys of mine.
FO300017140	And looking at this landmine, it gives me an idea. It's a terrible device that does terrible things, of course. But it's easy to make your own, too.
FO300017141	There may have been an explosion or two. Oh, and a sniper. No big deal.
FO300017142	What? You're kidding, right? Wait, you aren't kidding. Probably a metabolic reaction to the chemicals.
FO300017143	It gives them quite a kick, like too much Jet or something.
FO300017144	Oh, really? Maybe their leader figures are bred, sort of like ant queens? I wonder if relocating a Mirelurk "king" would prompt the others to move.
FO300017145	Some of these observations about their armor and camouflage gave me an idea for reinforced, neutral-colored headgear.
FO300017146	Consider it thanks for not interfering with them. Oh, speaking of which, take these. So you can continue to avoid them in the future.
FO300017147	They don't seem to fight each other. So no struggle for leadership.
FO300017148	Luckily, I'm here to patch you up. Now, hold still and quit fidgeting.
FO300017149	I hardly even feel pain anymore, honestly.
FO300017150	I'll bet they used some sort of chemical device to drive off the Mirelurks. Or a sonic device? Anyway, I guess it worked pretty well!
FO300017151	A bit of smarts leads to a big reward, huh? Speaking of which, in thanks, have a few of these, for the next time you've got to be quick on your wits.
FO300017152	Oh, and I'll let the Rivet City traders know they'll be favorably mentioned in the book. You'll get a discount buying gear from them in the future.
FO300017153	They cleared out the Mirelurks. Then science folks and the rest moved in.
FO300017154	Well, I wouldn't have guessed you had it in you, but I suppose it worked out anyway.
FO300017155	Of course, I'll bet it helps to pack a few pulse grenades, just in case. Here, have a few.
FO300017156	I just hacked the mainframe so the robots would be a challenge.
FO300017157	You'd have laughed if you knew the words "card catalogue." I wonder if there'll be one down there once I tell the world about it?
FO300017158	Oh, and here's a book of mine and some caps for your research. Think of it as pay for a civilization worth of overdue books.
FO300017159	Now you can protect and catalogue all of the information it once had.
FO300017160	Bonus Snide Response
FO300017161	Well, keep what you got. Just traded for a big food shipment, myself. Here, take a bit, my treat - the taste kind of grates after a while.
FO300017162	I had a fun party with some Raiders. Then a guard robot jumped out of a cake.
FO300017163	Well, maybe if you're lucky, you'll end up looking like me, too!
FO300017164	Now, after taking a few notes, I'll take care of that nasty radiation with a bit of my own home-made concoction.
FO300017165	I've never had a chance to test it out on someone so heavily dosed, but I'm sure it'll work out fine. Exciting, isn't it?
FO300017166	I feel about as bad as you look.
FO300017167	You're a lucky one, you know. At this level, most people don't make it. But then again, most people don't have my experimental tricks!
FO300017168	Now, after taking a few notes, I'll take care of that nasty radiation with a bit of my own home-made concoction.
FO300017169	I've never had a chance to test it out on someone so heavily dosed, but I'm sure it'll work out fine. Exciting, isn't it?
FO300017170	Do you think I'm an idiot? I may be a little impulsive, but not an idiot. I'll just take a look at this on my own, then.
FO300017171	I know you may not want to see any more explosives for a while, but obviously you know your way around them. Have a couple rainy-day toys of mine.
FO300017172	And looking at this landmine, it gives me an idea. It's a terrible device that does terrible things, of course. But it's easy to make your own, too.
FO300017173	Oh, disarming it's real easy. Just jump up and down on it. You go first.
FO300017174	That's horrible! You're horrible! This thing is horrible! Everything's horrible! Argh!
FO300017175	With that much testing, I guess it's beyond correction. Go ahead and keep it. Maybe you can find a nicer use for it. But I doubt it.
FO300017176	It's like explosive whack-a-Mole Rat. Can I get it in bullet form? For people?
FO300017177	Really? Are you kidding me? No, really. Are you? Huh. Guess I'll have to wait to see what I get from the observer.
FO300017178	Some of these observations about their armor and camouflage gave me an idea for reinforced, neutral-colored headgear.
FO300017179	Here, consider it thanks for not interfering with them. Oh, speaking of which, take these. So you can continue to avoid them in the future.
FO300017180	They've got a little, bubbling castle and they spend all day circling it. <Lie>
FO300017181	Luckily, I'm here to patch you up. Now, hold still and quit fidgeting.
FO300017182	My only solace is thinking about inflicting this pain on people like you.
FO300017183	Well, this data looks legitimate. An outgrowth of a science station, huh? Just goes to show what I always say about cleverness!
FO300017184	A bit of smarts leads to a big reward, huh? Speaking of which, in thanks, have a few of these, for the next time you've got to be quick on your wits.
FO300017185	Oh, and I'll let the Rivet City traders know they'll be favorably mentioned in the book. You'll get a discount buying gear from them in the future.
FO300017186	Some old coot says he took these notes. They seem reasonable enough.
FO300017187	Well, I guess one thing about using the old tech is that it can feel a bit like playing God. But you're probably not supposed to. I think.
FO300017188	Seems like a good thing to watch for when dealing with tech of any age. And it helps to pack a few pulse grenades, just in case. Here, have a few.
FO300017189	It was robotic carnage. But I caused it, so it was the okay sort of carnage.
FO300017190	What, like it was never touched? Well, that's the way it should be! Nothing can overcome the power of knowledge, after all!
FO300017191	Thank goodness it's safe! I'll make sure to tell people that they can find more information there. It'll become a holy place for the educated!
FO300017192	Here's a book of mine and some caps for your research. Think of it as pay for a civilization worth of overdue books.
FO300017193	The librarian's on duty. I'd have brought you a present, but I forgot my card.
FO300017194	MS03TaskBegin
FO300017195	Well, I think the first chapter will have to be about surviving day-to-day dangers.
FO300017196	Things like where it is and isn't safe to find food, the dangers of radiation, and how to avoid and even profit from dangerous landmines.
FO300017197	Ooh, sounds like fun, doesn't it? Which do you want to do first?
FO300017198	I'm ready to begin researching the book, now.
FO300017199	The last chapter's a bit more esoteric. It's about the survival of humanity as a whole, and how to rebuild society. Deep stuff, huh?
FO300017200	We need to know how large settlements are formed, how to harness the old technology, and I'll need you to get ancient history from a nearby library.
FO300017201	We're in the last stretch, now, so let's finish it up strong! What first?
FO300017202	I'm ready to start researching the last chapter.
FO300017203	The second chapter's going to be a bit trickier, I think. It'll cover how to handle creatures out there, for better or for worse.
FO300017204	For example, repelling Mole Rats, learning about Mirelurks, and when all else fails, how to handle being injured.
FO300017205	So, let's buckle down and get to work on this chapter. What first?
FO300017206	I'm ready to start researching the next chapter.
FO300017207	I still need to study a living specimen with radiation poisoning.
FO300017208	I need someone to research how to travel through a minefield.
FO300017209	And that'll cover the first section of the book. Which strikes your fancy?
FO300017210	I'm ready to continue research on the first chapter.
FO300017211	I've got to see how safe it is to scavenge food from one of those huge stores out there.
FO300017212	I need someone to research how to travel through a minefield.
FO300017213	And that'll cover the first section of the book. Which strikes your fancy?
FO300017214	I'm ready to continue research on the first chapter.
FO300017215	I've got to see how safe it is to scavenge food from one of those huge stores out there.
FO300017216	I still need to study a living specimen with radiation poisoning.
FO300017217	And that'll cover the first section of the book. Which strikes your fancy?
FO300017218	I'm ready to continue research on the first chapter.
FO300017219	But I need to see how radiation effects normal, not-so-gooey humans. I never seem to get a live example to study. Not for long, anyway.
FO300017220	The last part of this chapter is about radiation, right?
FO300017221	Yes, that's what I need your help on. I know lots about it from books, but I never seem to get a live example. Not for long, anyway.
FO300017222	The last part of this chapter is about radiation, right?
FO300017223	Well, food and medicine. Everyone needs them once in a while, right? So they need a good place to find them!
FO300017224	There's an old Super-Duper Mart not far from here. I need to know if a place like that still has any food or medicine left in it.
FO300017225	The last task for this chapter is getting food, right?
FO300017226	Landmines are one of the few dangers out there that you can profit from. Disarm one before it blows, and you can sell it for plenty of caps.
FO300017227	I've heard stories about a ghost town that's just full of mines. Traders just call the place "Minefield."
FO300017228	Sounds like the place for some fieldwork! Get in there, get back, and tell me all about it. And could you bring back a mine for my studies?
FO300017229	Let's finish up the chapter with that landmine research.
FO300017230	Landmines are one of the few dangers out there that you can profit from. Disarm one before it blows, and you can sell it for plenty of caps.
FO300017231	I've heard stories about a ghost town that's just full of mines. Traders just call the place "Minefield."
FO300017232	Sounds like the place for some fieldwork! Get in there, get back, and tell me all about it. And could you bring back a mine for my studies?
FO300017233	Let's finish up the chapter with that landmine research.
FO300017234	There's a sort of Mole Rat repellant I've developed. I need it to be tested on a few Mole Rats before I can say it's a success.
FO300017235	There's a lot we don't know about Mirelurks and how intelligent and dangerous they are. That definitely deserves research.
FO300017236	And that should be it for the second chapter. Which do you want to check out?
FO300017237	I'm ready for more research on the second chapter.
FO300017238	There's a sort of Mole Rat repellant I've developed. I need it to be tested on a few Mole Rats before I can say it's a success.
FO300017239	I hesitate to ask, but I'll need to examine the effects of serious physical trauma. I wouldn't ask if I couldn't fix you up afterwards, of course!
FO300017240	And that should be it for the second chapter. Which do you want to check out?
FO300017241	I'm ready for more research on the second chapter.
FO300017242	There's a lot we don't know about Mirelurks and how intelligent and dangerous they are. That definitely deserves research.
FO300017243	I hesitate to ask, but I'll need to examine the effects of serious physical trauma. I wouldn't ask if I couldn't fix you up afterwards, of course!
FO300017244	And that should be it for the second chapter. Which do you want to check out?
FO300017245	I'm ready for more research on the second chapter.
FO300017246	Mole Rats can burrow into almost anything and cause a lot of trouble. So I figured I'd make a chemical repellent stick for people to shoo them off.
FO300017247	But I need it to be tested before I put the recipe to paper in the guide. So I need you to find some Mole Rats and test it out a bit.
FO300017248	The last task for this chapter is something about Mole Rats, right?
FO300017249	Great! I never get to study anyone who's severely injured. Not without them crying to be fixed right away or trying to bleed out and all that.
FO300017250	But obviously, you can handle a lot of abuse, so if I'm ever going to find a good example of human anatomy and injury resistance, it'd be you.
FO300017251	Next time you get badly injured, return here so I can examine you before I heal you up. I mean, you're going to get yourself hurt anyway, right?
FO300017252	Okay, let's do that injury research to finish up this chapter.
FO300017253	Yes, knowing more about them can help people learn to avoid, or even outsmart them.
FO300017254	So I picked up this observer device to study them in their natural habitat. I need you to hide one in one of the spawning pods in their lairs.
FO300017255	The last part of this chapter is about Mirelurks, right?
FO300017256	I want to find out the history of how a successful settlement like Rivet City got started.
FO300017257	I've also got to do a section on working with old computer electronics, so there's some research to be done in the old RobCo Production facility.
FO300017258	And that'll be it for the last chapter. So, what'll it be?
FO300017259	I'm ready to continue research on the last chapter.
FO300017260	I want to find out the history of how a successful settlement like Rivet City got started.
FO300017261	Also, there used to be a big library out there. Imagine, a whole building full of books! I'll need you to gather information there for me.
FO300017262	And that'll be it for the last chapter. So, what'll it be?
FO300017263	I'm ready to continue research on the last chapter.
FO300017264	I've got to do a section on working with old computer electronics, so there's some research to be done in the old RobCo Production facility.
FO300017265	Also, there used to be a big library out there. Imagine, a whole building full of books! I'll need you to gather information there for me.
FO300017266	And that'll be it for the last chapter. So, what'll it be?
FO300017267	I'm ready to continue research on the last chapter.
FO300017268	Yes, Rivet City's in particular. It's the most successful survivor settlement around, but no one here really knows how it started.
FO300017269	Of course, that's why it's important to know how a place like that succeeded. So I need you to go there and do some researching!
FO300017270	The last part of this chapter is about researching local history, right?
FO300017271	Now then, a trader gave me this bit of electronics from the RobCo factory. It ought to go into some mainframe in there to control the robots.
FO300017272	If there's a way to reactivate and control the robots there, it'd make for a good example of harnessing the past's technology for the book!
FO300017273	It does, doesn't it? I mostly just deal with it after it's junked. But a trader gave me this bit of electronics from the RobCo factory.
FO300017274	If there's a way to reactivate and control the robots there, it'd make for a good example of harnessing the past's technology for the book!
FO300017275	The last subject is old technology, right? Sounds interesting.
FO300017276	Yes. Books are where the old world kept its knowledge, and libraries are where it kept the books. And there's supposed to be one in Arlington.
FO300017277	See if it's still there, and if you can download records from its computer. Information dumps like those would be invaluable for rebuilding humanity!
FO300017278	The last part of this chapter is about the library, right?
FO300017279	MS03TaskDescription2
FO300017280	But I need to see how radiation effects normal, not-so-gooey humans. I never seem to get a live example to study. Not for long, anyway.
FO300017281	What's this about radiation?
FO300017282	Well, that's what I need your help for, isn't it? I know lots about it from books, but I never seem to get a live example. Not for long, anyway.
FO300017283	What's this about radiation?
FO300017284	Mirelurks are a big threat in some areas, and knowing more about them can help people learn to avoid, or even outsmart them.
FO300017285	So I picked up this observer device to study them in their natural habitat. I need you to hide it in one of the spawning pods in their lairs.
FO300017286	What's this about studying Mirelurks?
FO300017287	Oh, this is so exciting! I feel like I'm sending you out on some sort of super-assignment!
FO300017288	Supposedly, if you connect it to the mainframe at the RobCo factory, you get access to an army of robots!
FO300017289	Seems like it's right up your alley, huh? And it'd be a great example of how to harness technology, wouldn't it?
