AAD00100001	GREETING
AAD00100961	[SUCCEEDED] America sleeps in the Divide - giants, beneath the earth. You saw one locked in the silo beneath you. There's more.
AAD00100962	Only takes a few of them, locked below ground, to tear apart the earth... and cast dust, sand... ash... into the skies above.
AAD00100963	You'll see the extent - the miles of it, soon enough. You need to see it... walk it.
AAD00100964	Area looks like it was hit with earthquakes... or underground detonations.
AAD00100965	[FAILED] Wasn't always like this. Old World wreckage's nothing new... after that, something you had your hand in - you'll walk it soon enough.
AAD00100966	Why would they want to stay here if this place is killing them?
AAD00100967	[SUCCEEDED] There's truth in your words, in what I've seen of their tactics, movements - recovery. Those wounds - they couldn't live otherwise.
AAD00100968	The Divide winds have torn the skin from many of them - may be the radiation is the only thing keeping them walking.
AAD00100969	Make camp near silos... warheads. No way to cleanse the radiation - makes them hard to kill there, have to draw them out.
AAD00100970	Radiation may keep them alive in areas so physically punishing, it would kill others - even ghouls.
AAD00100971	[FAILED] They're more beasts than men now. They clutch at their pain as they clutch at their weapons... anchors them.
AAD00100972	The rads in this place seem like they would do more damage to them.
AAD00100973	[SUCCEEDED] There's truth in your words, in what I've seen of their tactics, movements - recovery. Those wounds - they couldn't live otherwise.
AAD00100974	The Divide winds have torn the skin from many of them - may be the radiation is the only thing keeping them walking.
AAD00100975	Make camp near silos... warheads. No way to cleanse the radiation - makes them hard to kill there, have to draw them out.
AAD00100976	If they've become ghouls, the radiation would strengthen them. Heal their wounds - not the scars.
AAD00100977	[FAILED] They're more beasts than men now. They clutch at their pain as they clutch at their weapons... anchors them.
AAD00100978	They look like they were skinned... then got right back up.
AAD00100979	But... even radiation isn't enough to cause those wounds.
AAD00100980	I've never seen corpses mutilated like that.
AAD00100981	Even as the fires here burned them from within... the winds of the Divide tore their skin, exposed them... screaming... to the sky.
AAD00100982	And just as the Divide tears at them, so they tear at each other, for sport - like some tribal scarification. Falling back to their history, maybe.
AAD00100983	No matter what they suffer... the radiation, fire of the Divide, sustains them. Makes them stronger.
AAD00100984	What are you talking about?
AAD00100985	Whatever happened at the Divide, there weren't any survivors.
AAD00100986	Inhabitants? It doesn't look like anyone's alive down there.
AAD00100987	These new inhabitants... not natives... most of them. Came with duty, purpose... ready to kill each other. The Divide was stronger.
AAD00100988	Left marks on them, too. Not Bear, not Bull - now... radiation's marked them, made them equal in history's eyes.
AAD00100989	As vicious as the storms are, these shadows of Legion, of NCR - silhouettes of things to come.
AAD00100990	Forget this. What do you want?
AAD00100991	An ending. To this road, you and I. First, you need to find your way. At the end, I'll be waiting.
AAD00100992	< Storage Node. Do not translate. >
AAD00100993	You may not know my voice, but we've walked the same places. The Long 15 to Primm... that wasn't the only road you ever walked.
AAD00100994	I've been to your home, the place you kept returning to... may not be the place you were born, was the place you gave life to, same thing.
AAD00100995	People forget couriers can keep communities alive... until the day they're gone, and their breath catches in their throat.
AAD00100996	For now, eyes alert, watch the streets below. There's still life in the Divide - threats other than the storms and wind... new inhabitants.
AAD00100997	There's something left down there? Town looks like it was bombed.
AAD00100998	[SUCCEEDED] America sleeps in the Divide - giants, beneath the earth. You saw one locked in the silo beneath you. There's more.
AAD00100999	Only takes a few of them, locked below ground, to tear apart the earth... and cast dust, sand... ash... into the skies above.
AAD00101000	The damage here looks like it was caused by underground detonations - on a scale I've never seen.
AAD00101001	[FAILED] Wasn't always like this. Old World wreckage's nothing new... after that, something you had your hand in - you'll walk it soon enough.
AAD00101002	The Divide won't stop me from reaching you, trust me.
AAD00101003	You better hope you've got enough ammo when I kick down your door.
AAD00101004	I don't care what you have to say. I only want to know where you are.
AAD00101005	Other Marked Men had NCR gear - and they weren't carrying masks or blades.
AAD00101006	For the two-headed Bear... NCR... they don't have symbols in the same way Legion does.
AAD00101007	They revere their mines and explosives, guns... that is their religion - death from afar, take pride in it.
AAD00101008	I could care less about history - and even less about Caesar.
AAD00101009	Wasn't his time, and wouldn't have been how he wanted to die.
AAD00101010	Not how most would've wanted him to die, either, Bear or Bull.
AAD00101011	I wasn't sure how you'd take it.
AAD00101012	Done with blame, and Caesar was big on strength making right. Seems to me you proved that philosophy to him.
AAD00101013	If he was too weak to stop you, too weak to defend himself, then he needed to die with his beliefs.
AAD00101014	Are you angry at all?
AAD00101015	He let another hold a knife to him. If he was weak enough to allow the knife so close to his neck, maybe it needed to be his ending.
AAD00101016	Caesar would be history's hypocrite if he was angry about what happened. I'm not one for it, either.
AAD00101017	Seems you just proved his philosophy to him. If he'd been stronger, he'd be alive, and we wouldn't be talking.
AAD00101018	< Topic Storage: Discussing Caesar's Death. Do not translate. >
AAD00101019	Unless you do the same for the Legate that comes, you'll get no thanks from me. When that Monster arrives, he's not going to have a leash.
AAD00101020	Caesar could command him. Not now. The Bear's going to burn, and burn slow.
AAD00101021	Caesar is dead, died on the operating table.
AAD00101022	Name's died twice to history. If the West thanks you... the East won't, in time. Fall apart, back to the tribes, maybe.
AAD00101023	Caesar is dead, I killed him.
AAD00101024	Name's died twice to history. If the West thanks you... the East won't, in time. Fall apart, back to the tribes, maybe.
AAD00101025	< Topic Storage: Wrapping up thoughts on House. Do not translate. >
AAD00101026	Let House sleep in his chamber. Let him dream of the Old World he remembers, and keep those memories where they belong, in his head.
AAD00101027	If Vegas falls apart, seems like more history will be lost.
AAD00101028	Thought you might be glad House was dealt with.
AAD00101029	What you did was for the best. The Old World died long ago. Anyone who believes they can make it return and everything will be as it was...
AAD00101030	...it is a dangerous belief. Needs to be silenced before their belief spreads.
AAD00101031	I reached Vegas, and I dealt with House.
AAD00101032	House spoke, acted through machines. Sometimes can judge a man by his messengers. Sometimes the messengers judge him.
AAD00101033	Wonder what happens to Vegas now. The tribes - families. We'll see.
AAD00101034	Nah, I think I'll just go ahead and trigger the launch. I never liked either of those places.
AAD00101035	We'll leave it to history, then.
AAD00101036	The Divide belongs to history now. The Mojave awaits.
AAD00101037	We'll leave it to history, then.
AAD00101038	I'll remember that.
AAD00101039	The Divide belongs to history now. The Mojave awaits.
AAD00101040	I'll remember that.
AAD00101041	< Topic Storage: Talking about Joshua Graham, why Lanius should heed story. Do not translate. >
AAD00101042	That Legate's mistake is he didn't die trying. His name was Joshua - Joshua Graham. Answered for his failure - twice, some say.
AAD00101043	Caesar had him burned and cast into the earth, into the largest canyon you've ever seen. Watched the flames trail all the way to the bottom.
AAD00101044	Somehow Joshua walked away from that, went beyond Caesar's gaze. His footsteps trailing fire, walking from one hell - maybe to another.
AAD00101045	When one is ruined like Graham was... sometimes home is the only place left. If so, he went to New Canaan, Caesar's anger written on him like a book.
AAD00101046	Caesar's orders to the Frumentarii were to watch for him, find Graham. Kill him. Didn't try. Could've, no good would have come of it.
AAD00101047	Graham earned his life, and his nature... it'll kill him more surely than any blade of the Legion.
AAD00101048	So if you've heard word of it or seen sign of him, let it keep. Let his history keep.
AAD00101049	What do you mean?
AAD00101050	There are other Legates, and the one before Lanius couldn't take Hoover Dam for Caesar.
AAD00101051	Other Legates? You mean Graham.
AAD00101052	Yes. Graham was broken on the wall of the Dam.
AAD00101053	Other Legates?
AAD00101054	There are other Legates, and the one before Lanius couldn't take Hoover Dam for Caesar.
AAD00101055	He must have a weakness.
AAD00101056	His strength lies in his title - and it is his weakness. He will not fight a losing battle and destroy what he represents.
AAD00101057	Put the idea of loss in him. Convince him the Bear will not be the twentieth tribe beneath his heel, it will make him pause like nothing on earth.
AAD00101058	You do not need to convince him alone. Draw upon history. The past of other Legates are not filled with victories. Remind Lanius of this.
AAD00101059	Any idea on how to beat him?
AAD00101060	Nineteen tribes could not do it. All the lights in Vegas cannot.
AAD00101061	Why is he coming West?
AAD00101062	To take Hoover Dam, Legion will need something as big as the Old World itself - another symbol, forged by history.
AAD00101063	Well, if I were a slave or a dog, I'd be scared.
AAD00101064	He's just one general. I can handle him.
AAD00101065	Lanius carries all the terrors of the East with him. He's the myth, the weapon the Legion needs.
AAD00101066	When he arrives, he'll fall on Hoover Dam like a hammer, break the Bear in two.
AAD00101067	What can you tell me about him?
AAD00101068	Enough. Whatever waits at Hoover Dam, I'm ready.
AAD00101069	Then there is nothing more to be done. The Mojave awaits.
AAD00101070	The Divide belongs to history now. The Mojave awaits.
AAD00101071	Enough. Whatever waits at Hoover Dam, I'm ready.
AAD00101072	The Divide belongs to history now. The Mojave awaits.
AAD00101073	Who is Legate Lanius?
AAD00101074	Lanius... the "Butcher." Monster, Terror of the East.
AAD00101075	Not even his slaves have seen his face - struck them blind so they can't. Wears a mask, don't even know if it's the same man.
AAD00101076	He put Colorado to the sword, broke the Hangdogs by throwing their hounds upon the flames, so they might burn forever in the afterlife.
AAD00101077	< Topic Storage: As player turns to leave, Ulysses speaks of Lanius. Do not translate. >
AAD00101078	A warning, though - the Legate, Lanius. Whether Caesar stands or not, Lanius will come.
AAD00101079	Look, we don't need to fight about this - we can talk this out, right?
AAD00101080	[SUCCEEDED] No... no, I couldn't. And I'm thinking you can't kill me, either. If you did, you'd answer for it, just as I would.
AAD00101081	Let the land do the killing for you, that's one of the things you taught me.
AAD00101082	Killing is personal - so's vows, promises. Last bit's more important to me than the first.
AAD00101083	You brought me here to talk. If you wanted to kill me, you'd have waited until I came for the Chip.
AAD00101084	[FAILED] Talking... words won't settle this. The Road will. And the end.
AAD00101085	So... this is about fighting? Or...?
AAD00101086	[SUCCEEDED] War. Call it that. Our part in it.
AAD00101087	Ulysses wasn't made for the flag he followed. He wasn't made for peace. That's the lesson.
AAD00101088	If you follow a symbol to the end, ask yourself what that means. More important, ask what happens after the end.
AAD00101089	You chose Ulysses because of the "two flags" reference - is that tied to the war in the Mojave?
AAD00101090	[FAILED] Fighting? Yes... but different weapons than you're used to.
AAD00101091	You're wasting time. Stalling. Won't help you.
AAD00101092	Ulysses... that sounds like a Legion name... a Legion hero?
AAD00101093	[SUCCEEDED] History. Yes.
AAD00101094	Ulysses walked a hard road. A general, like Caesar and Oliver. He was Brahmin-stubborn, gave him strength on the battlefield.
AAD00101095	He led his side to victory, turned two flags into one. That's when he lost - when the fighting was done, the sickness took hold.
AAD00101096	Lesson there, if history's to be believed. One you should heed.
AAD00101097	"Ulysses." Not the myth. You're honoring history, not stories.
AAD00101098	[FAILED] Search history, might find meaning in it.
AAD00101099	It's just a name - you have no idea who I am. You'll know by the end.
AAD00101100	So you're the one who sent the radio message - Ulysses.
AAD00101101	Not my given name, close enough.
AAD00101102	Took it from history, found it in a book. It's an Old World name.
AAD00101103	Ulysses lived a long time ago, long before the Old World set fire to itself. He made a mark without being myth.
AAD00101104	Had to fight during a time when his world had two flags, and he had to make them one.
AAD00101105	Forget your name. Back to the job you refused.
AAD00101106	All right... Courier. If the why of it matters to you.
AAD00101107	You're not making any sense.
AAD00101108	Wait... so you swore not to kill me? Why?
AAD00101109	What kind of world would this be if Courier killed Courier.
AAD00101110	You've got enough distance ahead of you - save your breath for the road, don't waste it on words.
AAD00101111	I'm not interested in your politics.
AAD00101112	Maybe that's why you chose Vegas... the lights can blind, make people forget themselves. Their convictions - vows. 
AAD00101113	Not going to waste time trying to make the blind see. Took a chance coming here - same as I did. Now we'll see how it plays out.
AAD00101114	We're too far from Vegas to argue perspective on it.
AAD00101115	Maybe not. Maybe that's why you fell in with the Bear in the first place - can't see what you're following.
AAD00101116	Not going to convince a deaf man with words. Shown strength coming in here - if strength's what you respect, then you belong East of the Colorado.
AAD00101117	At least they're trying to help the Mojave.
AAD00101118	Trying doesn't hold much weight with me. Legion doesn't try to kill people, they do it. The Bear kills people trying to protect them.
AAD00101119	Irony's sharp. And Legion... their flag may be old, but it's not at war with itself.
AAD00101120	No matter now. Bear couldn't hold the Divide.
AAD00101121	You and that machine, are all that remains of NCR here... rest fell to radiation, fire... and what burrows below.
AAD00101122	You've got a better way?
AAD00101123	Yes. And any Courier could tell you the same, see it everywhere. The Bear...
AAD00101124	...Bear's too busy carving up the Mojave with knives, roads, borders, and how things should be to see how it is.
AAD00101125	They're stretched thin, can't protect their frontlines, their towns, think paper's power, radio means control - all of it, useless.
AAD00101126	You have a lot of hate for NCR. That kind of hate isn't new in the Mojave.
AAD00101127	No... not new. And not new among all those in the shadow of the Bear.
AAD00101128	You know their flag, a bear with two heads. Symbol's an Old World one, had one head then, better off for it.
AAD00101129	Their flag speaks to their spirit. They're split like any two-headed animal, trying to go in different directions, ending up nowhere.
AAD00101130	In the Mojave, that'll only get you sand between your fingers - or over your grave.
AAD00101131	Is New Vegas's power a threat to you?
AAD00101132	Power isn't strength. Power can wall off someone, when they believe it's freed them.
AAD00101133	House's power... you've seen the wall around Vegas. He gains more power, that wall will grow. The Mojave'll become Vegas.
AAD00101134	But it's more lights than strength. You'll see the way of it soon enough.
AAD00101135	Is that why you're not Legion anymore, then?
AAD00101136	What do you m... I see the way of it. Have fight in you, at least. Save it for the road ahead.
AAD00101137	A woman in the Legion surprise you?
AAD00101138	It's not Legion - the Legion I know, but they change, even in small ways as they march West, with every tribe they break.
AAD00101139	But yes... last I heard, you needed a weapon between your legs to carry one for Caesar.
AAD00101140	"Brothers?" So - you're Legion, too.
AAD00101141	I hold Legion to be my brothers... even as misguided as they are. And you... more so than most.
AAD00101142	< Storage Node Ulysses talking about player being Legion. Do not translate. >
AAD00101143	Heard tales of you walking the Mojave. Casting off your disguise... yet you carried that Chip, determined to take it to Vegas... not Caesar.
AAD00101144	You and that Chip deserve each other, 29 fewer coins than other traitors have carried, by history's mark.
AAD00101145	The Mojave is behind us. I want to know what's ahead.
AAD00101146	The High Road... not the Divide yet, many more miles to walk. But you got this far. You and that machine that shadows you.
AAD00101147	Wasn't sure if both of you'd make it - above, then below the underpass.
AAD00101148	Forget this. Keep your opinions about Vegas, I'll keep mine.
AAD00101149	I doubt you've ever met House.
AAD00101150	No... only seen his works. Those he's broken with light and gold. His messengers.
AAD00101151	But everything in Vegas speaks of someone who can't let go.
AAD00101152	House takes a shovel to history's graves, props up the dead, then puts words in their mouths. The tribes don't even know how they were broken.
AAD00101153	Not a world I want to be part of, going through motions until we're all smiling faces on some robot's screen.
AAD00101154	House is more pragmatic than you might think.
AAD00101155	Believe that. Vegas runs, I've seen what it's done to those who oppose it. And I've seen its messengers.
AAD00101156	Tribes? You mean the Vegas families?
AAD00101157	Families of Vegas were once tribes. Got drunk on the Vegas lights, the spirit bled out of them. Old World history, under a different flag.
AAD00101158	Whatever traditions or rituals they had, most likely squeezed out of them by now, turned into something else.
AAD00101159	And if not, then I'm afraid what's going to happen when they come creeping back.
AAD00101160	Vegas is one of the safest places in the Mojave, and that gives me hope.
AAD00101161	You've been, you've seen the Wall. Safe? No... what's inside - that's what worries me.
AAD00101162	Inside, Old World's waking up. No facts or history I've heard tells me that city ever went to sleep, and that makes me think.
AAD00101163	The blue of the Mojave skies - isn't like the rest of the world. Don't hear a Geiger ticking there, more to fear from predators than rads.
AAD00101164	The city - the whole Mojave, wasn't hit by bombs. Been my call, Vegas would be one of the first pieces of the Old World to burn.
AAD00101165	Someone protected it. Wasn't chance, wasn't luck. Something larger - yet they let the rest of the world suffer. And they'll do it again.
AAD00101166	What did you mean before, "it's a dance?"
AAD00101167	That's the wrong word. "Theater" is better - the families, the Bear all on a stage.
AAD00101168	House. He's the one watching. The why... you'd know better than I would. If you don't - you will.
AAD00101169	House's plans for the future run longer than that.
AAD00101170	What do you have against Vegas?
AAD00101171	Vegas is Old World, filled with Old World ghosts. And ghosts need the living to do their work.
AAD00101172	That's why the families are there, why the Bear stumbles there to lose itself. It's a dance, I don't know its purpose.
AAD00101173	You've been, you've seen the Wall. It's what's inside that worries me.
AAD00101174	Don't be quick to discount Vegas. There's more strength there than may seem.
AAD00101175	As obsessed as you are about history, the future's what I prefer.
AAD00101176	Your future with House has two roads. The road the tribals in Vegas walked... their spirits crushed...
AAD00101177	...or your face on a robot servant, smiling forever in a dead casino. There's future in neither.
AAD00101178	< Storage Node Ulysses giving player final direction. Do not translate. >
AAD00101179	For now - find the trigger for the warheads, buried in Hopeville. Use it to keep moving... and keep alive.
AAD00101180	Wait... there's more I wanted to talk about. About... all this.
AAD00101181	[SUCCEEDED] "Who are you, who do not know your history?"
AAD00101182	You came all this way for answers. Only currency I have, nothing else to be gained - could turn around, walk away at any time.
AAD00101183	If history matters to you... you'll need to earn it. Any logs of mine I have already cast away in the Divide, they're lost to you.
AAD00101184	If we share history, then before going forward, I want to know the past.
AAD00101185	[FAILED] You want to know more, keep walking.
AAD00101186	I'll give answers as you go. Not before.
AAD00101187	Are you saying... they were here before all this destruction?
AAD00101188	[SUCCEEDED] Makes sense. Truth favors that, matches the history of this place.
AAD00101189	Were signs they were here for a long time, before Marked Men, before what happened to the Divide cracked their sky.
AAD00101190	If so, they were buried deep. Might have been born the day America's embers started to settle. Seen worse things twisted by radiation.
AAD00101191	Radiation from the War might have created them. Then detonations, quakes, caused them to surface?
AAD00101192	[FAILED] Don't know the history of them - only their patterns, how they hunt.
AAD00101193	Still, takes a long time for such patterns to develop. A longer history than what happened here.
AAD00101194	< Storage Node: Ulysses discussing Denver and the East. Do not Translate. >
AAD00101195	Walked the East, too, before the Bull came. Then... much like the Mojave before the Bear... tribes, towns, clutching to life. Bull did a better job.
AAD00101196	Denver? What's that?
AAD00101197	[SUCCEEDED] Mojave and the Divide aren't the only places I've walked.
AAD00101198	"Denver hounds?" Denver's far to the East - Legion territory.
AAD00101199	[FAILED] Another city fallen to nations, in the east... not important. Doubt you'll ever walk that far, you'd need the land to sustain you.
AAD00101200	[Legion] You've been to Denver? That's Legion territory.
AAD00101201	Mojave and the Divide aren't the only places I've walked.
AAD00101202	< Storage Node: Ulysses is discussing tunnelers and the future. Do not Translate. >
AAD00101203	They'll start emerging throughout the Mojave in time, might be years. Probably less.
AAD00101204	They breed fast, hunt in groups, more than enough to bring down the strongest in the Mojave. Once they draw blood...
AAD00101205	Seen them tear apart Deathclaws... Deathclaw might get some, but the rest will swarm it, tear it apart, like Denver hounds.
AAD00101206	I'm not interested in talking, I only want to know where to head next.
AAD00101207	What burrows below? You mean those creatures in the underpass?
AAD00101208	You've been to Denver? That's Legion territory.
AAD00101209	Mojave and the Divide aren't the only places I've walked.
AAD00101210	Maybe you should tell me what happened.
AAD00101211	And where the Bear tries to cling to life, the Legion comes... bearing messages. Some brought by blade. Others... by Couriers.
AAD00101212	You knew what was coming, as sure as I know what's coming for you.
AAD00101213	This time you carry the burden. Walk west into the sun, and keep walking until it dies. There - I'll be waiting.
AAD00101214	There is no other supply line to the Mojave beyond the Long 15.
AAD00101215	Not any more. If one existed, the two-headed Bear would have claimed it. And it tried to.
AAD00101216	You're still making assumptions about all this.
AAD00101217	No, recounting history.
AAD00101218	Whatever you believe happened, you have it wrong.
AAD00101219	Wrong? No, I know the truth of it.
AAD00101220	It was you walking that road that kept the Divide alive. It grew from what you did. Settlers... camps... filling that Old World city.
AAD00101221	Chance for a new nation, new beginning. New way of thinking.
AAD00101222	Could've breathed new life into the Mojave, bridging East, West. Like Hoover Dam... but not Old World, something you made. Road was a supply line.
AAD00101223	You're crazy. Your head's messed up worse than the Divide.
AAD00101224	And you've forgotten. Forgotten everything. Careless, as careless with futures then as you are now in the Mojave.
AAD00101225	I've walked a lot of hard roads, Mojave and before. Doesn't mean anything.
AAD00101226	It means everything - even if you deny it, cast it aside, that speaks to what you are, proves what happened here.
AAD00101227	< Placeholder Node: Ulysses talking about the Divide history. Do Not Translate >
AAD00101228	Never would have known the Divide had it not been for you. The road you made with your tracks, again and again.
AAD00101229	You were the only one willing to make the journey to and from here... a hard road. Kept the land before the Divide alive through seasons, storms...
AAD00101230	...can't have been just a job. Was something more to you. Don't feel for a place that hard unless it's home.
AAD00101231	You keep saying that, as if you know where I was born - you don't.
AAD00101232	Home isn't where you're born into this world. You taught me that. Part of your message, whether you meant it or not.
AAD00101233	Can be a place of mind, a moment where you know who you are, the history of it. And they can be places you breathe life into.
AAD00101234	I've never been here before, at least not from this road.
AAD00101235	Whatever they were carrying, they were fighting side by side with the ones in Legion armor.
AAD00101236	I'm not done talking to you yet, there's more I want to know.
AAD00101237	Already heard you once, long ago and loud enough for history to hear. Tired of your messages.
AAD00101238	Still - curiosity drove you this far. Let's see what else it can do.
AAD00101239	You wanted me to come to the Divide, I'm here. Now what?
AAD00101240	Your road's not done. Haven't walked it full yet, not nearly enough.
AAD00101241	I've had enough of this - whatever your game, I'm done.
AAD00101242	No, you are. Cut off your retreat, your supply line. Ashton missile, turned Hopeville into a furnace.
AAD00101243	You could walk back. Still can - but the Divide will mark you, sickness will set in.
AAD00101244	Not immediate, maybe, but in time. Slow burn, a little faster than before.
AAD00101245	The way ahead and below - leads to the heart of the Divide.
AAD00101246	And there... you and I, we'll have an ending to things.
AAD00101247	I didn't intend to set off that missile over the Divide.
AAD00101248	I had no idea the silo was active until the missile was in the air toward Hopeville.
AAD00101249	Didn't stop you, though. Like carrying the Chip to Vegas, Old World death in your hand.
AAD00101250	Pieces of the Old World like that just need someone careless enough to take them where they need to go, to do their killing.
AAD00101251	I don't understand how a package could have done this.
AAD00101252	You will. I'll show the Mojave, Bear and Bull the way of it. How Couriers can break nations.
AAD00101253	What happened here... can happen again. You've already proved it, what you did in Ashton. The silo there.
AAD00101254	You can't be sure it was me.
AAD00101255	No... I'm certain. What I hadn't known was that you still lived after the Divide.
AAD00101256	I'm not responsible for this, there's no way I could have known.
AAD00101257	If you had been there when it happened. If you had seen the Divide break, you would know it.
AAD00101258	You carry death wherever you go - if the Mojave doesn't know it yet, it will.
AAD00101259	I've been West, it's possible, but...
AAD00101260	This package... I don't recall it.
AAD00101261	It was from the West. From deep in NCR. Whether made by them or not... it came here. Through your hands.
AAD00101262	You said I brought it from the West?
AAD00101263	It was a device, a detonator. One I'd never seen before - or heard before.
AAD00101264	You carried that thing to the Divide. I know because I followed you as you walked the road, watched you do it.
AAD00101265	You brought it here, to the community you built. And you are responsible for what happened after - when the device opened, started to speak.
AAD00101266	When it did, the Divide answered back. Those missiles you've seen, buried in their silos.
AAD00101267	They exploded beneath the ground, cracked the landscape. Sand, ash... the dead... the Divide skies became a graveyard.
AAD00101268	I had nothing to do with this.
AAD00101269	The logs of the Big Empty mentioned you'd spoken to history.
AAD00101270	I had, did. It was madness... asked them a question in anger. Got an answer, more than I expected.
AAD00101271	Answer told me what happened here at the Divide, the how of it, and that was enough.
AAD00101272	The tape has the telling of it, don't need me adding to the questions already there.
AAD00101273	In the logs... you mentioned a tribe called the Twisted Hairs - your tribe?
AAD00101274	Twisted Hairs are dead, lost at Dry Wells, died in Vulpes' smile. Won't discuss their fate with you, not now - their past is mine to keep.
AAD00101275	Walk farther, see me face to face - you might earn more. Now, let the words keep you without me adding to them.
AAD00101276	I found some recordings from you on the road.
AAD00101277	The tapes... didn't think those would be found... weren't worth the words anyway, not like I'd forget what happened.
AAD00101278	Had the tech from the Big Empty, recorder a woman gave me... on its last legs, didn't survive the road. Cast it and the tapes aside.
AAD00101279	If you heard them... they're of no consequence. Ramblings, reminders for a man who doesn't need them.
AAD00101280	How were you planning to attack the Divide?
AAD00101281	Didn't know, but Couriers can travel anywhere. They make roads into places no one else will go, guarded or not. Was going to watch, see.
AAD00101282	The Legion... thought it might get into the community through me, just as I'd found the way by following you.
AAD00101283	But you struck first, shattered the ground, and let your home burn instead. Nearly killed me. And everyone here, walking or still.
AAD00101284	So the Legion doesn't know what happened here?
AAD00101285	No, they don't know the history of it. So send others to find out, more to die... at the hands of their brothers the Divide has claimed.
AAD00101286	It doesn't matter, the Bear's reach was cut off. Now only the Long 15 remains. Once that's finished, Mojave will be under the flag of the Bull.
AAD00101287	You were planning to attack the NCR here, then.
AAD00101288	I'm not interested in the history of this, we're done talking.
AAD00101289	All right. Done with words, then, won't get you where you need to go.
AAD00101290	So what happened?
AAD00101291	Bear made its shadow felt here, more than I could handle. Heavy guard, watchful. I watched, waited.
AAD00101292	And as I watched, studied the people. The flag, markings. Thought perhaps... if I got rid of the Bear... what you had given life to might come again.
AAD00101293	Waited too long. Hesitated. A Courier isn't meant to stay in one place for long. And then you came, with the package. History.
AAD00101294	This is the first I've heard of Legion coming this far West of the Colorado.
AAD00101295	No, when they come this far, they aren't Legion. They walk as Couriers. Like we do.
AAD00101296	And the Divide is the reason no Legion has been seen. None belong to Caesar. Not in this place.
AAD00101297	The ones that came... were following orders.
AAD00101298	So you are part of the Legion. One of their scouts? Assassins?
AAD00101299	Assassin? If killing needs to be done, I'll face my victims... not kill from a distance, like you.
AAD00101300	That's what made the Legion come to the Divide.
AAD00101301	On the High Road, you mentioned NCR and Legion fought here... before and after the Divide?
AAD00101302	The two-headed Bear made its claim, dug its claws into the trail you made. For once, it seemed like it might succeed - cut a route to the Mojave.
AAD00101303	Couldn't let NCR stay in the Divide. Trade route, road the military could use... can't have two roads into the Mojave.
AAD00101304	Not after the work we'd done to cut off New Canaan, other routes, killing caravans... all we'd done to make the West bleed.
AAD00101305	There's nothing to keep me from walking out of here and letting you rot.
AAD00101306	Spent years looking for you. If you head back to the Mojave, it's like nothing's changed. Can live with that. Had to.
AAD00101307	Wasn't sure if history would matter to you. If it doesn't, that answers my question.
AAD00101308	If you turn your back on your home, so be it. I'll remain here in the Divide for you to return. And you will.
AAD00101309	I'm not to blame for Ashton, the Chip, or the Divide.
AAD00101310	All these roads, you walked. These packages you carried. Think it wasn't your choice?
AAD00101311	Of course it was your choice. You could have stayed in the Mojave. But you chose to come, couldn't let be - not in you to let go.
AAD00101312	Came for no other reason than you were curious, restless - always have been. Had to know the why of it - now, I'll show you.
AAD00101313	I got your final message.
AAD00101314	Had to speak of it, in case the words got lost in paper, ink, or other's voices. Maybe even yours, in time.
AAD00101315	Still, meant for you. Courier to Courier. Belongs to you now, or history. Doesn't matter.
AAD00101316	I found some recordings from you in Hopeville.
AAD00101317	The tapes... didn't think those would be found... you know the Divide better than I thought.
AAD00101318	Had tech from the Big Empty, recorder a woman gave me... didn't survive the road, on its last legs.
AAD00101319	Cast it and the tapes aside... weren't worth the words anyway, not like I'd forget what happened.
AAD00101320	If you heard them... nothing but ramblings, reminders for a man who doesn't need them. Probably more, lying from here to the Divide.
AAD00101321	When we first spoke in Hopeville, you mentioned you'd sworn not to kill me. Why?
AAD00101322	You know the why of it. If you don't - I do, and that's enough. Shows trust only walks so far West.
AAD00101323	Earned more than that, though, getting this far. We walk the same road, carry the same colors. Can't break that by making the road red.
AAD00101324	Want more than that, walk the Divide. Answers'll come, closer you get to home... you and that machine.
AAD00101325	So... what, they weren't that important then?
AAD00101326	[SUCCEEDED] Maybe not. Who's to say.
AAD00101327	You, perhaps. Found them, heard them after I cast them aside - maybe there was purpose in that.
AAD00101328	If they matter... if history matters... we'll see at the end of the road.
AAD00101329	You wouldn't have recorded those messages if they didn't matter to you.
AAD00101330	[FAILED] Words lost to history. Wouldn't have left them on the road otherwise.
AAD00101331	I found more recordings from you on the road.
AAD00101332	You scavenge words. Things I have no need of, no history there worth recounting.
AAD00101333	Scour the Divide, claw at it for meaning - but my words will give you no answer.
AAD00101334	I... think they tell me... where you were. Things you did.
AAD00101335	[SUCCEEDED] They won't help you understand what happened here.
AAD00101336	And they won't help you understand me. Keep them, listen, study them - they won't help you here in the Divide.
AAD00101337	No, there's a pattern. The more I hear, the more I understand your history.
AAD00101338	[FAILED] Words lost to history. Wouldn't have left them on the road otherwise.
AAD00101339	So... what, they weren't that important then?
AAD00101340	[SUCCEEDED] Maybe not. Who's to say.
AAD00101341	You, perhaps. Found them, heard them after I cast them aside - maybe there was purpose in that.
AAD00101342	If they matter... if history matters... we'll see at the end of the road.
AAD00101343	You wouldn't have recorded those messages if they didn't matter to you.
AAD00101344	[FAILED] Words lost to history. Wouldn't have left them on the road otherwise.
AAD00101345	You're going after the Long 15? That's more miles than Legion can hold.
AAD00101346	Won't hold it. Divide taught me you don't need to - just cut it off.
