SI000001	DEFAULT
SI000065	"scn NVDLC03GenericPerkQuestSCRIPT

; This script handles all scripted actions/variables needed for perks in NVDLC03.
; ETB 12/22/10 

; ETB 3/25/11 	- Added Implant Y-7/Implant Y-3/Heartless functionality.
; TLS 04/12/2011 - Accounting for player's Rad Resist value in Y-3 Implant
; TLS 04/22/2011 - Fixed Y-3 implant so it will work if you only have one drink in your inventory.
; CES 05/31/11 - Reworked GRX implant to work better.

; Perk ""Implant GRX"" Description: ""You gain a non-additive subdermal Turbo (chem) injector. Rank 2 increases the Turbo effect from 3 to 5 seconds and the uses per day from 5 to 10.""
Short nImplantGRXRank									; This perk has multiple ranks - which are tracked by this variable and used in ""NVDLC03GenericPerkQUEST"" --> Quest Stages <result scripts>.
Short nImplantGRXUses									; Tracks the number of uses for the GRX ""Turbo"" Implant.
Short nEndOfDay											; Set to gamehour - when fEndofDay >= 23 it's time to reset the GRX Implant per day uses.
Short nLastDay											; Saves the last day GRX was added
Short nCurrentDay											; Saves current day.

; Perk ""Implant Y-3""
Short bSetRadsTotal 
Short nRadsTotal
Short nRadsCurrent
Short nRadsToHeal
; ----------------------------------------------------	
Short bY3SetPlayerDrink3RadTotal 
Short nY3PlayerDrink3RadTotal 
Short nY3PlayerDrink3RadCurrent 
; ----------------------------------------------------	
Short bY3SetPlayerDrink6RadTotal 
Short nY3PlayerDrink6RadTotal 
Short nY3PlayerDrink6RadCurrent 
; ----------------------------------------------------	
Short bY3SetPlayerDrink10RadTotal 
Short nY3PlayerDrink10RadTotal 
Short nY3PlayerDrink10RadCurrent 
; ----------------------------------------------------	
Short bY3SetPlayerDrink16RadTotal 
Short nY3PlayerDrink16RadTotal 
Short nY3PlayerDrink16RadCurrent 

; Perk ""Implant Y-7""
Short bY7SetPlayerFoodTotal 
Short nY7PlayerFoodTotal 
Short nY7PlayerFoodCurrent 

; Perk ""Heartless""/""Cardiac Arrest""
Short bSetHealthTotal 
Short nHealthTotal 
Short nHealthCurrent
; ----------------------------------------------------	
Short bHeartlessSetPlayerChemsTotal 
Short nHeartlessPlayerChemsTotal 
Short nHeartlessPlayerChemsCurrent 
; ----------------------------------------------------	
Short bHeartlessSetPlayerStimsTotal 
Short nHeartlessPlayerStimsTotal 
Short nHeartlessPlayerStimsCurrent 

; Challenges
Short bKleinDestineCompleted							; Only fires once to complete the ""Klein Destine"" challenge.
Short bMobiusStripCompleted							; Only fires once to complete the ""Mobius Strip"" challenge.


BEGIN GameMode

; -------------------------------------------------------------------	PERKS -------------------------------------------------------------------------------------	|

; ---------------------------	Perk: Implant GRX -------------------	\/ 	; ETB 12/22/10 Resets the ""Uses"" counter for the GRX Implant.
																	; [NOTE: Any changes here must be dupicated in the menumode block.]

	If ( Player.HasPerk NVDLC03ImplantGRXPerk == 1 )
		Set nCurrentDay to GameDaysPassed;
		If ( nCurrentDay - nLastDay >= 1 )
			If ( NVDLC03GenericPerkQUEST.nImplantGRXRank == 1 )
				Player.RemoveItem NVDLC03ImplantGRX 5 1
				Player.AddItem NVDLC03ImplantGRX 5
				Set nLastDay to GameDaysPassed;
			Elseif ( NVDLC03GenericPerkQUEST.nImplantGRXRank == 2 )
				Player.RemoveItem NVDLC03ImplantGRX 10 1
				Player.AddItem NVDLC03ImplantGRX 10
				Set nLastDay to GameDaysPassed;
			Endif
		Endif
	Endif

; ---------------------------	Perk: Implant Y-3 ---------------------	\/ 	; ETB 3/25/11 Restores Radiation damage whenever irradated liquids are consumed.
																	; [NOTE: Any changes here must be dupicated in the MenuMode block.]

	If ( Player.HasPerk NVDLC03ImplantY3Perk == 1 )
		If ( bSetRadsTotal == 0 )
			Set bSetRadsTotal to 1;
			Set nRadsTotal to ( Player.GetAV RadiationRads );
		Endif
; ------------	3 Rad Drinks ------------	\/
		If ( Player.GetItemCount NVDLC03PerkRelatedDrinks3RadLIST >= 0 );
			If ( bY3SetPlayerDrink3RadTotal == 0 )
				Set bY3SetPlayerDrink3RadTotal to 1;
				Set nY3PlayerDrink3RadTotal to ( Player.GetItemCount NVDLC03PerkRelatedDrinks3RadLIST );
			Endif
			If ( bY3SetPlayerDrink3RadTotal == 1 )
				Set nY3PlayerDrink3RadCurrent to ( Player.GetItemCount NVDLC03PerkRelatedDrinks3RadLIST );
				Set nRadsCurrent to ( Player.GetAV RadiationRads );
				If ( nY3PlayerDrink3RadCurrent < nY3PlayerDrink3RadTotal )
					Set bY3SetPlayerDrink3RadTotal to 0;
					Set bSetRadsTotal to 0;
					If ( nRadsCurrent > nRadsTotal )
						Set nRadsToHeal to ((1 - (Player.GetActorValue RadResist / 100)) * 3)
						Player.RestoreActorValue RadiationRads nRadsToHeal;		
						ShowMessage NVDLC03Y3ImplantPerkRadRemovedMSG;
					Endif
				Elseif ( nY3PlayerDrink3RadCurrent > nY3PlayerDrink3RadTotal )
					Set bY3SetPlayerDrink3RadTotal to 0;
					Set bSetRadsTotal to 0;
				Endif
			Endif
		Endif
; ------------	6 Rad Drinks ------------	\/
		If ( Player.GetItemCount NVDLC03PerkRelatedDrinks6RadLIST >= 0 );
			If ( bY3SetPlayerDrink6RadTotal == 0 )
				Set bY3SetPlayerDrink6RadTotal to 1;
				Set nY3PlayerDrink6RadTotal to ( Player.GetItemCount NVDLC03PerkRelatedDrinks6RadLIST );
			Endif
			If ( bY3SetPlayerDrink6RadTotal == 1 )
				Set nY3PlayerDrink6RadCurrent to ( Player.GetItemCount NVDLC03PerkRelatedDrinks6RadLIST );
				Set nRadsCurrent to ( Player.GetAV RadiationRads );
				If ( nY3PlayerDrink6RadCurrent < nY3PlayerDrink6RadTotal )
					Set bY3SetPlayerDrink6RadTotal to 0;
					Set bSetRadsTotal to 0;
					If ( nRadsCurrent > nRadsTotal )
						Set nRadsToHeal to ((1 - (Player.GetActorValue RadResist / 100)) * 6)
						Player.RestoreActorValue RadiationRads nRadsToHeal;		
						ShowMessage NVDLC03Y3ImplantPerkRadRemovedMSG;
					Endif
				Elseif ( nY3PlayerDrink6RadCurrent > nY3PlayerDrink6RadTotal )
					Set bY3SetPlayerDrink6RadTotal to 0;
					Set bSetRadsTotal to 0;
				Endif
			Endif
		Endif
; ------------	10 Rad Drinks ----------	\/
		If ( Player.GetItemCount NVDLC03PerkRelatedDrinks10RadLIST >= 0 );
			If ( bY3SetPlayerDrink10RadTotal == 0 )
				Set bY3SetPlayerDrink10RadTotal to 1;
				Set nY3PlayerDrink10RadTotal to ( Player.GetItemCount NVDLC03PerkRelatedDrinks10RadLIST );
			Endif
			If ( bY3SetPlayerDrink10RadTotal == 1 )
				Set nY3PlayerDrink10RadCurrent to ( Player.GetItemCount NVDLC03PerkRelatedDrinks10RadLIST );
				Set nRadsCurrent to ( Player.GetAV RadiationRads );
				If ( nY3PlayerDrink10RadCurrent < nY3PlayerDrink10RadTotal )
					Set bY3SetPlayerDrink10RadTotal to 0;
					Set bSetRadsTotal to 0;
					If ( nRadsCurrent > nRadsTotal )
						Set nRadsToHeal to ((1 - (Player.GetActorValue RadResist / 100)) * 10)
						Player.RestoreActorValue RadiationRads nRadsToHeal;		
						ShowMessage NVDLC03Y3ImplantPerkRadRemovedMSG;
					Endif
				Elseif ( nY3PlayerDrink10RadCurrent > nY3PlayerDrink10RadTotal )
					Set bY3SetPlayerDrink10RadTotal to 0;
					Set bSetRadsTotal to 0;
				Endif
			Endif
		Endif
; ------------	16 Rad Drinks ----------	\/
		If ( Player.GetItemCount NVDLC03PerkRelatedDrinks16RadLIST >= 0 );
			If ( bY3SetPlayerDrink16RadTotal == 0 )
				Set bY3SetPlayerDrink16RadTotal to 1;
				Set nY3PlayerDrink16RadTotal to ( Player.GetItemCount NVDLC03PerkRelatedDrinks16RadLIST );
			Endif
			If ( bY3SetPlayerDrink16RadTotal == 1 )
				Set nY3PlayerDrink16RadCurrent to ( Player.GetItemCount NVDLC03PerkRelatedDrinks16RadLIST );
				Set nRadsCurrent to ( Player.GetAV RadiationRads );
				If ( nY3PlayerDrink16RadCurrent < nY3PlayerDrink16RadTotal )
					Set bY3SetPlayerDrink16RadTotal to 0;
					Set bSetRadsTotal to 0;
					If ( nRadsCurrent > nRadsTotal )
						Set nRadsToHeal to ((1 - (Player.GetActorValue RadResist / 100)) * 16)
						Player.RestoreActorValue RadiationRads nRadsToHeal;		
						ShowMessage NVDLC03Y3ImplantPerkRadRemovedMSG;
					Endif
				Elseif ( nY3PlayerDrink16RadCurrent > nY3PlayerDrink16RadTotal )
					Set bY3SetPlayerDrink16RadTotal to 0;
					Set bSetRadsTotal to 0;
				Endif
			Endif
		Endif

	Endif
; ---------------------------	Perk: Implant Y-7 ---------------------	\/ 	; ETB 3/25/11 Adds AP/Health when food is consumed.
																	; [NOTE: Any changes here must be dupicated in the menumode block.]	
																
	If ( Player.HasPerk NVDLC03ImplantY7Perk == 1 )
		If ( bY7SetPlayerFoodTotal == 0 )
			Set bY7SetPlayerFoodTotal to 1;
			Set nY7PlayerFoodTotal to ( Player.GetItemCount NVDLC03PerkRelatedAllFoodLIST );
		Endif
		If ( bY7SetPlayerFoodTotal == 1 )
			Set nY7PlayerFoodCurrent to ( Player.GetItemCount NVDLC03PerkRelatedAllFoodLIST );
			If ( nY7PlayerFoodCurrent < nY7PlayerFoodTotal )
				Set bY7SetPlayerFoodTotal to 0;
				If ( Player.HasMagicEffect RestoreHealth )
					Player.RestoreActorValue ActionPoints 2;
					Player.RestoreActorValue Health 5;
				Endif
			Elseif ( nY7PlayerFoodCurrent > nY7PlayerFoodTotal )	
				Set bY7SetPlayerFoodTotal to 0;
			Endif
		Endif
	Endif

; ---------------------------	Perk: Brainless -----------------------	\/ 	; ETB 3/7/11Keeps Player's head from getting crippled.

	If ( Player.HasPerk NVDLC03BrainlessPerk == 1 )
		If ( Player.GetActorValue PerceptionCondition < 100 )
			Player.RestoreActorValue PerceptionCondition 100;
		Endif
		If ( Player.GetActorValue BrainCondition < 100 )
			Player.RestoreActorValue BrainCondition 100;
		Endif
	Endif

; ---------------------------	Perk: Big-Brained -----------------------	\/ 	; TLS 04/27/2011Keeps Player's head from getting crippled.

	;If ( Player.HasPerk NVDLC03BigBrainedPerk == 1 )
	;	If ( Player.GetActorValue PerceptionCondition < 100 )
	;		Player.RestoreActorValue PerceptionCondition 100;
	;	Endif
	;	If ( Player.GetActorValue BrainCondition < 100 )
	;		Player.RestoreActorValue BrainCondition 100;
	;	Endif
	;Endif


; -----------------	Perk: Heartless/ Cardiac Arrest	---------	\/ 	; ETB 3/25/11Adds health when chems/stimpaks are used.
																	; [NOTE: Any changes here must be dupicated in the menumode block.]

	If ( Player.HasPerk NVDLC03HeartlessPerk == 1 || Player.HasPerk NVDLC03CardiacArrestPerk == 1 )
		If ( bSetHealthTotal == 0 )
			Set bSetHealthTotal to 1;
			Set nHealthTotal to ( Player.GetAV Health );
		Endif
; -----------------	Chems ------------	\/
		If ( bHeartlessSetPlayerChemsTotal == 0 )
			Set nHeartlessPlayerChemsTotal to ( Player.GetItemCount NVDLC03PerkRelatedAllChemsLIST );
			Set bHeartlessSetPlayerChemsTotal to 1;
		Endif
		If ( bHeartlessSetPlayerChemsTotal == 1 )
			Set nHeartlessPlayerChemsCurrent to ( Player.GetItemCount NVDLC03PerkRelatedAllChemsLIST );
			Set nHealthCurrent to ( Player.GetAV Health );
			If ( nHeartlessPlayerChemsCurrent < nHeartlessPlayerChemsTotal )
				If ( nHealthCurrent > nHealthTotal )
					If ( Player.HasPerk NVDLC03HeartlessPerk == 1 )
						Player.RestoreActorValue Health 5		
					Elseif ( Player.HasPerk NVDLC03CardiacArrestPerk == 1 )	
						Player.RestoreActorValue Health 7
					Endif
				Endif
				Set bHeartlessSetPlayerChemsTotal to 0;
				Set bSetHealthTotal to 0;
			Elseif ( nHeartlessPlayerChemsCurrent > nHeartlessPlayerChemsTotal )
				Set bHeartlessSetPlayerChemsTotal to 0;
				Set bSetHealthTotal to 0;
			Endif
		Endif
; -----------------	Stims --------------	\/
		If ( bHeartlessSetPlayerStimsTotal == 0 )
			Set bHeartlessSetPlayerStimsTotal to 1;
			Set nHeartlessPlayerStimsTotal to ( Player.GetItemCount NVDLC03PerkRelatedAllStimpaksLIST );
		Endif
		If ( bHeartlessSetPlayerStimsTotal == 1 )
			Set nHeartlessPlayerStimsCurrent to ( Player.GetItemCount NVDLC03PerkRelatedAllStimpaksLIST );
			Set nHealthCurrent to ( Player.GetAV Health );
			If ( nHeartlessPlayerStimsCurrent < nHeartlessPlayerStimsTotal )
				Set bHeartlessSetPlayerStimsTotal to 0;	
				Set bSetHealthTotal to 0;
				If ( nHealthCurrent > nHealthTotal )
					If ( Player.HasPerk NVDLC03HeartlessPerk == 1 )
						Player.RestoreActorValue Health 10		
					Elseif ( Player.HasPerk NVDLC03CardiacArrestPerk == 1 )	
						Player.RestoreActorValue Health 15
					Endif		
				Endif
			Elseif ( nHeartlessPlayerStimsCurrent > nHeartlessPlayerStimsTotal )
				Set bHeartlessSetPlayerStimsTotal to 0;	
				Set bSetHealthTotal to 0;
			Endif
		Endif
	Endif

; ---------------------------	Perk: Spineless -----------------------	\/ 	; ETB 3/7/11Keeps Player's spine from getting crippled.

	If ( Player.HasPerk NVDLC03SpinelessPerk )
		If ( Player.GetActorValue EnduranceCondition < 100 )
			Player.RestoreActorValue EnduranceCondition 100;
		Endif
	Endif

; -------------------------------------------------------------------	CHALLENGES --------------------------------------------------------------------------	|

; ---------------------------	Challenge: Klein Destine ----------------------------	\/

	If ( bKleinDestineCompleted == 0 )
		If ( Player.GetEquipped NVDLC03GlassesDrKlein == 1 && Player.GetEquipped NVDLC03scientistscrubgreen && Player.GetEquipped NVDLC03WeapGlovesDrKleinL )
			IncrementScriptedChallenge NVDLC03ChallengeKleinDestine;
			Set bKleinDestineCompleted to 1;
		Endif
	Endif

; ---------------------------	Challenge: Mobius Strip -----------------------------	\/

	If ( bMobiusStripCompleted == 0 )
		If ( Player.GetEquipped NVDLC03GlassesDrMobius == 1 && Player.GetEquipped NVDLC03scientistscrubred && Player.GetEquipped NVDLC03WeapGlovesDrMobiusL)
			IncrementScriptedChallenge NVDLC03ChallengeMobiusStrip;
			Set bMobiusStripCompleted to 1;
		Endif
	Endif

END; gamemode



BEGIN MenuMode

; -------------------------------------------------------------------	PERKS -------------------------------------------------------------------------------------	|

; ---------------------------	Perk: Implant GRX -------------------	\/ 	; ETB 12/22/10 Resets the ""Uses"" counter for the GRX Implant.
																	; [NOTE: Any changes here must be dupicated in the GameMode block.]

	If ( Player.HasPerk NVDLC03ImplantGRXPerk == 1 )
		Set nCurrentDay to GameDaysPassed;
		If ( nCurrentDay - nLastDay >= 1 )
			If ( NVDLC03GenericPerkQUEST.nImplantGRXRank == 1 )
				Player.RemoveItem NVDLC03ImplantGRX 5 1
				Player.AddItem NVDLC03ImplantGRX 5 1
				Set nLastDay to GameDaysPassed;
			Elseif ( NVDLC03GenericPerkQUEST.nImplantGRXRank == 2 )
				Player.RemoveItem NVDLC03ImplantGRX 10 1
				Player.AddItem NVDLC03ImplantGRX 10 1
				Set nLastDay to GameDaysPassed;
			Endif
		Endif
	Endif

; ---------------------------	Perk: Implant Y-3 ---------------------	\/ 	; ETB 3/25/11 Restores Radiation damage whenever irradated liquids are consumed.
																	; [NOTE: Any changes here must be dupicated in the menumode block.]

	If ( Player.HasPerk NVDLC03ImplantY3Perk == 1 )
		If ( bSetRadsTotal == 0 )
			Set bSetRadsTotal to 1;
			Set nRadsTotal to ( Player.GetAV RadiationRads );
		Endif
; ------------	3 Rad Drinks ------------	\/
		If ( Player.GetItemCount NVDLC03PerkRelatedDrinks3RadLIST >= 0 );
			If ( bY3SetPlayerDrink3RadTotal == 0 )
				Set bY3SetPlayerDrink3RadTotal to 1;
				Set nY3PlayerDrink3RadTotal to ( Player.GetItemCount NVDLC03PerkRelatedDrinks3RadLIST );
			Endif
			If ( bY3SetPlayerDrink3RadTotal == 1 )
				Set nY3PlayerDrink3RadCurrent to ( Player.GetItemCount NVDLC03PerkRelatedDrinks3RadLIST );
				Set nRadsCurrent to ( Player.GetAV RadiationRads );
				If ( nY3PlayerDrink3RadCurrent < nY3PlayerDrink3RadTotal )
					Set bY3SetPlayerDrink3RadTotal to 0;
					Set bSetRadsTotal to 0;
					If ( nRadsCurrent > nRadsTotal )
						Set nRadsToHeal to ((1 - (Player.GetActorValue RadResist / 100)) * 3)
						Player.RestoreActorValue RadiationRads nRadsToHeal;		
						ShowMessage NVDLC03Y3ImplantPerkRadRemovedMSG;
					Endif
				Elseif ( nY3PlayerDrink3RadCurrent > nY3PlayerDrink3RadTotal )
					Set bY3SetPlayerDrink3RadTotal to 0;
					Set bSetRadsTotal to 0;
				Endif
			Endif
		Endif
; ------------	6 Rad Drinks ------------	\/
		If ( Player.GetItemCount NVDLC03PerkRelatedDrinks6RadLIST >= 0 );
			If ( bY3SetPlayerDrink6RadTotal == 0 )
				Set bY3SetPlayerDrink6RadTotal to 1;
				Set nY3PlayerDrink6RadTotal to ( Player.GetItemCount NVDLC03PerkRelatedDrinks6RadLIST );
			Endif
			If ( bY3SetPlayerDrink6RadTotal == 1 )
				Set nY3PlayerDrink6RadCurrent to ( Player.GetItemCount NVDLC03PerkRelatedDrinks6RadLIST );
				Set nRadsCurrent to ( Player.GetAV RadiationRads );
				If ( nY3PlayerDrink6RadCurrent < nY3PlayerDrink6RadTotal )
					Set bY3SetPlayerDrink6RadTotal to 0;
					Set bSetRadsTotal to 0;
					If ( nRadsCurrent > nRadsTotal )
						Set nRadsToHeal to ((1 - (Player.GetActorValue RadResist / 100)) * 6)
						Player.RestoreActorValue RadiationRads nRadsToHeal;		
						ShowMessage NVDLC03Y3ImplantPerkRadRemovedMSG;
					Endif
				Elseif ( nY3PlayerDrink6RadCurrent > nY3PlayerDrink6RadTotal )
					Set bY3SetPlayerDrink6RadTotal to 0;
					Set bSetRadsTotal to 0;
				Endif
			Endif
		Endif
; ------------	10 Rad Drinks ----------	\/
		If ( Player.GetItemCount NVDLC03PerkRelatedDrinks10RadLIST >= 0 );
			If ( bY3SetPlayerDrink10RadTotal == 0 )
				Set bY3SetPlayerDrink10RadTotal to 1;
				Set nY3PlayerDrink10RadTotal to ( Player.GetItemCount NVDLC03PerkRelatedDrinks10RadLIST );
			Endif
			If ( bY3SetPlayerDrink10RadTotal == 1 )
				Set nY3PlayerDrink10RadCurrent to ( Player.GetItemCount NVDLC03PerkRelatedDrinks10RadLIST );
				Set nRadsCurrent to ( Player.GetAV RadiationRads );
				If ( nY3PlayerDrink10RadCurrent < nY3PlayerDrink10RadTotal )
					Set bY3SetPlayerDrink10RadTotal to 0;
					Set bSetRadsTotal to 0;
					If ( nRadsCurrent > nRadsTotal )
						Set nRadsToHeal to ((1 - (Player.GetActorValue RadResist / 100)) * 10)
						Player.RestoreActorValue RadiationRads nRadsToHeal;		
						ShowMessage NVDLC03Y3ImplantPerkRadRemovedMSG;
					Endif
				Elseif ( nY3PlayerDrink10RadCurrent > nY3PlayerDrink10RadTotal )
					Set bY3SetPlayerDrink10RadTotal to 0;
					Set bSetRadsTotal to 0;
				Endif
			Endif
		Endif
; ------------	16 Rad Drinks ----------	\/
		If ( Player.GetItemCount NVDLC03PerkRelatedDrinks16RadLIST >= 0 );
			If ( bY3SetPlayerDrink16RadTotal == 0 )
				Set bY3SetPlayerDrink16RadTotal to 1;
				Set nY3PlayerDrink16RadTotal to ( Player.GetItemCount NVDLC03PerkRelatedDrinks16RadLIST );
			Endif
			If ( bY3SetPlayerDrink16RadTotal == 1 )
				Set nY3PlayerDrink16RadCurrent to ( Player.GetItemCount NVDLC03PerkRelatedDrinks16RadLIST );
				Set nRadsCurrent to ( Player.GetAV RadiationRads );
				If ( nY3PlayerDrink16RadCurrent < nY3PlayerDrink16RadTotal )
					Set bY3SetPlayerDrink16RadTotal to 0;
					Set bSetRadsTotal to 0;
					If ( nRadsCurrent > nRadsTotal )
						Set nRadsToHeal to ((1 - (Player.GetActorValue RadResist / 100)) * 16)
						Player.RestoreActorValue RadiationRads nRadsToHeal;		
						ShowMessage NVDLC03Y3ImplantPerkRadRemovedMSG;
					Endif
				Elseif ( nY3PlayerDrink16RadCurrent > nY3PlayerDrink16RadTotal )
					Set bY3SetPlayerDrink16RadTotal to 0;
					Set bSetRadsTotal to 0;
				Endif
			Endif
		Endif

	Endif
; ---------------------------	Perk: Implant Y-7 ---------------------	\/ 	; ETB 3/25/11 Adds AP/Health when food is consumed.
																	; [NOTE: Any changes here must be dupicated in the gamemode block.]

	If ( Player.HasPerk NVDLC03ImplantY7Perk == 1 )
		If ( bY7SetPlayerFoodTotal == 0 )
			Set bY7SetPlayerFoodTotal to 1;
			Set nY7PlayerFoodTotal to ( Player.GetItemCount NVDLC03PerkRelatedAllFoodLIST );
		Endif
		If ( bY7SetPlayerFoodTotal == 1 )
			Set nY7PlayerFoodCurrent to ( Player.GetItemCount NVDLC03PerkRelatedAllFoodLIST );
			If ( nY7PlayerFoodCurrent < nY7PlayerFoodTotal )
				Set bY7SetPlayerFoodTotal to 0;
				If ( Player.HasMagicEffect RestoreHealth )
					Player.RestoreActorValue ActionPoints 2;
					Player.RestoreActorValue Health 5;
				Endif
			Elseif ( nY7PlayerFoodCurrent > nY7PlayerFoodTotal )	
				Set bY7SetPlayerFoodTotal to 0;
			Endif
		Endif
	Endif

; -----------------	Perk: Heartless/ Cardiac Arrest	---------	\/ 	; ETB 3/25/11Adds health when chems/stimpaks are used.
																	; [NOTE: Any changes here must be dupicated in the gamemode block.]

	If ( Player.HasPerk NVDLC03HeartlessPerk == 1 || Player.HasPerk NVDLC03CardiacArrestPerk == 1 )
		If ( bSetHealthTotal == 0 )
			Set bSetHealthTotal to 1;
			Set nHealthTotal to ( Player.GetAV Health );
		Endif
; -----------------	Chems ------------	\/
		If ( bHeartlessSetPlayerChemsTotal == 0 )
			Set nHeartlessPlayerChemsTotal to ( Player.GetItemCount NVDLC03PerkRelatedAllChemsLIST );
			Set bHeartlessSetPlayerChemsTotal to 1;
		Endif
		If ( bHeartlessSetPlayerChemsTotal == 1 )
			Set nHeartlessPlayerChemsCurrent to ( Player.GetItemCount NVDLC03PerkRelatedAllChemsLIST );
			Set nHealthCurrent to ( Player.GetAV Health );
			If ( nHeartlessPlayerChemsCurrent < nHeartlessPlayerChemsTotal )
				If ( nHealthCurrent > nHealthTotal )
					If ( Player.HasPerk NVDLC03HeartlessPerk == 1 )
						Player.RestoreActorValue Health 5		
					Elseif ( Player.HasPerk NVDLC03CardiacArrestPerk == 1 )	
						Player.RestoreActorValue Health 7
					Endif
				Endif
				Set bHeartlessSetPlayerChemsTotal to 0;
				Set bSetHealthTotal to 0;
			Elseif ( nHeartlessPlayerChemsCurrent > nHeartlessPlayerChemsTotal )
				Set bHeartlessSetPlayerChemsTotal to 0;
				Set bSetHealthTotal to 0;
			Endif
		Endif
; -----------------	Stims --------------	\/
		If ( bHeartlessSetPlayerStimsTotal == 0 )
			Set bHeartlessSetPlayerStimsTotal to 1;
			Set nHeartlessPlayerStimsTotal to ( Player.GetItemCount NVDLC03PerkRelatedAllStimpaksLIST );
		Endif
		If ( bHeartlessSetPlayerStimsTotal == 1 )
			Set nHeartlessPlayerStimsCurrent to ( Player.GetItemCount NVDLC03PerkRelatedAllStimpaksLIST );
			Set nHealthCurrent to ( Player.GetAV Health );
			If ( nHeartlessPlayerStimsCurrent < nHeartlessPlayerStimsTotal )
				Set bHeartlessSetPlayerStimsTotal to 0;	
				Set bSetHealthTotal to 0;
				If ( nHealthCurrent > nHealthTotal )
					If ( Player.HasPerk NVDLC03HeartlessPerk == 1 )
						Player.RestoreActorValue Health 10		
					Elseif ( Player.HasPerk NVDLC03CardiacArrestPerk == 1 )	
						Player.RestoreActorValue Health 15
					Endif		
				Endif
			Elseif ( nHeartlessPlayerStimsCurrent > nHeartlessPlayerStimsTotal )
				Set bHeartlessSetPlayerStimsTotal to 0;	
				Set bSetHealthTotal to 0;
			Endif
		Endif
	Endif

END; menumode"
SI000066	"scn SCPTSweetPerkOverhaulVATSHelperValues

float fChance

begin function {fChance}
	SetFunctionValue fChance
	if player.hasperk VATSHelperChallengePerk == 0
		return
	endif
	fChance *= (1.1 * player.getav luck)
	SetFunctionValue fChance

end"
SI000067	"scn SCPTSweetPerkOverhaulMathWrathAPPerkValues

ref rWeapon
float fAP
float fAPLocal
float fReduction

begin function {rWeapon, fAP}
	SetFunctionValue fAP
	if player.hasperk MathWrath == 0
		return
	endif
	if player.getactorvalue science < 50
		return
	endif
	fAPLocal = fAP
	fReduction = (player.getav science - 40)
	fReduction = (fReduction / 10)
	fReduction = (floor fReduction)
	fReduction *= 0.1
	fReduction = 1 - fReduction
	fAPLocal *= fReduction
	SetFunctionValue fAPLocal
end"
SI000068	"scn SCPTEducatedRandomPoint

array_var aSkills
int iSize
int iRand
string_var sSkill

begin function {}
	let aSkills := ar_list ""Barter"", ""BigGuns"", ""EnergyWeapons"", ""Explosives"", ""Guns"", ""Lockpick"", ""Medicine"", ""MeleeWeapons"", ""Repair"", ""Science"", ""Sneak"", ""Speech"", ""Survival"", ""Unarmed""
	let iSize := ar_size aSkills
	iRand = rand 0 (iSize - 0.01)
	let sSkill := aSkills[iRand]
	player.modav ($(sSkill)) 1
end"
SI000069	"scn SCPTSweetPerkOverhaulActionStarAPValues

ref rWeapon
float fAP
float fAPLocal
float fReduction

begin function {rWeapon, fAP}
	SetFunctionValue fAP
	if eval player.hasperk ActionStar == 0 || QSTActionStar.iChoseWeapon == 0
		return
	endif
	fAPLocal = fAP
	fAPLocal *= 0.8
	SetFunctionValue fAPLocal
end"
SI000070	"scn SCPTBasePerksOnAddPerk

array_var aHomies
ref rRef
array_var aEntry

begin function {ref rPerk, int i1, int i2}
	if rPerk == CarefulHandling
		player.auxvarsetflt ""_ActorJamMult"" 0.8
	endif
	if rPerk == GoodNatured
		if player.getav karma < 250
			rewardkarma (250 - player.getav karma)
		endif
	endif
	if rPerk != LifeGiver
		return
	endif
	aHomies = player.getteammates
	if aHomies
		foreach aEntry <- aHomies
			let rRef := *aEntry
			if rRef.isSpellTargetAlt AbilityLifeGiverCompanion == 0
				rRef.addSpellNS AbilityLifeGiverCompanion 
			endif
		loop
	endif
end"
SI000071	"scn SCPTSweetPerkOverhaulJBTLimbTracker

ref rTargetWorldRef
int iBodyPart
ref rTargetBaseForm
float fDamage
float fDamageLocal

begin function {rTargetWorldRef, iBodyPart, fDamage}
	if isformvalid rTargetWorldRef == 0
		return
	endif
	rTargetBaseForm = rTargetWorldRef.GBO
	if isformvalid rTargetBaseForm == 0
		return
	endif
	
	SetFunctionValue fDamageLocal
	iBodyPartPerkRedux = iBodyPart
end"
SI000072	You've gained the Computer Whiz perk!
SI000073	"scn SCPTChallengeAddPerkComputerWhiz

begin ScriptEffectStart

if player.hasperk ComputerWhiz == 0
	player.addperk ComputerWhiz 
	MessageBoxEx ""You've gained the Computer Whiz perk!""
endif

end"
SI000074	"scn SCPTOnEquipBasePerks

begin function {ref rActor, ref rItem}
	;print ""onequip""
	if isformvalid rItem == 0
		return
	endif
	if eval GetType rItem == 40 && player.hasperk WeaponHandling
		if eval player.getav (GetWeaponSkill rItem) >= ((GetReqSkill rItem) * 2) || player.getav (GetWeaponSkill rItem) >= 95
			sssQSTBaseGamePerksStartup.bWeaponHandlingDouble = 1
		else
			sssQSTBaseGamePerksStartup.bWeaponHandlingDouble = 0
		endif
	endif
end"
