STE00000001	Inline Vanilla Functions 
STE00001247	Require the shift key to be held to show the note menu.
STE00001248	Don't Set Quest When Objectives Added
STE00001249	Don't set the current quest when gaining a new objective when you have no quest active.
STE00001250	Spin Weapons Sound Fix
STE00001251	Fixes a bug where looping attack weapons would not play their attack sound when briefly stopped. For example in the base game, tapping and then holding the fire button with the Flamer or Mini-gun held would result in no fire sound playing.
STE00001252	Turn Slower While Aiming
STE00001253	Scale look rotation speed while aiming.
STE00001254	X scale
STE00001255	Turn Speed
STE00001256	Scale applied to X axis rotation while aiming.
STE00001257	Y scale
STE00001258	Scale applied to Y axis rotation while aiming.
STE00001259	Show Sneak Label While Standing
STE00001260	Show the [Sneak] indicator while standing.
STE00001261	VATS Auto Target Head
STE00001262	Automatically target the head when entering VATS.
STE00001263	Only Change Camera Height If POV Key Held
STE00001264	Scrolling only changes camera height if the 'Change View' key is held.
STE00001265	Compare Armor Stats
STE00001266	Show - and + on armor DT and DR relative to the equipped armors.
STE00001267	Allow VATS While Anims Play
STE00001268	Allow entering VATS while animations play (e.g. while jumping).
STE00001269	Robot Companions Heal With Scrap Metal
STE00001270	Heal robotic companions with scrap metal instead of stimpaks.
STE00001271	Base health restored
STE00001272	Robot Companion Healing
STE00001273	Base health restored per scrap metal.
STE00001274	Repair skill bonus
STE00001275	Bonus health restored per player repair skill.
STE00001276	Robotics Expert bonus
STE00001277	Bonus health restored if the player has the robotics expert perk.
STE00001278	Custom Screenshot Format
STE00001279	 jpg, tiff and bmp.
STE00001280	Format (JPG, PNG or BMP)
STE00001281	Screenshot Format
STE00001282	File format (jpg, tiff, png or bmp).
STE00001283	Mod Console Prints Include Name
STE00001284	When a mod prints to the console, prepend the [Modname] to the text. Optionally print the formid of the script that printed it.
STE00001285	Include script ID
STE00001286	Mod Console Prints
STE00001287	Prepend the script ID instead of the mod name.
STE00001288	Scale Radio Song Volume During Dialogue
STE00001289	Scale the volume of radio songs while in conversation with an NPC.
STE00001290	Volume multiplier
STE00001291	Radio Volume
STE00001292	Multiplier applied to music volume during dialogue.
STE00001293	Scale Music Volume During Dialogue
STE00001294	Scale the volume of ambient music while in conversation with an NPC.
STE00001295	Music Volume
STE00001296	Use First Person Empty Clip Sound
STE00001297	Use the first person empty clip sound in third person (it's louder).
STE00001298	Menu Search
STE00001299	Add Control F to search various menus.
STE00001300	Add to Map Menu
STE00001301	Add to Map Menu (Local Map, World Map, Quests, Notes, Challenges and Radio).
STE00001302	Add to Inventory Menu
STE00001303	Add to Inventory Menu (Pip-Boy).
STE00001304	Add to Stats Menu
STE00001305	Add to Stats Menu (Effects, Skills, Perks, Reputations, Misc Stats).
STE00001306	Add to Barter Menu
STE00001307	Add to Barter Menu.
STE00001308	Add to Container Menu
STE00001309	Add to Container Menu.
STE00001310	Add to Level Up Menu
STE00001311	Add to Level Up Menu (perks).
STE00001312	Add to Recipe Menu
STE00001313	Add to Recipe Menu.
STE00001314	Add to Save/Load Menu
STE00001315	Add to Save/Load Menu.
STE00001316	Remove filter when closing search
STE00001317	Refresh the menu when closing the search (disable if you want to use keyboard hotkeys to navigate filtered menus).
STE00001318	Clear input when reopening search
STE00001319	Clear the input string when focusing the search-bar, forced to 1 if bRemoveFilterWhenClosingSearch is also 1.
STE00001320	Quest search includes objectives
STE00001321	Also search objective text when searching for quests.
STE00001322	Quest search includes completed objectives
STE00001323	Include completed objectives if \Quest search includes objectives\ is enabled.
STE00001324	Allow Keyboard And Mouse With Controller Connected
STE00001325	Allow use of keyboard and mouse to move around (excludes menus) while a controller is connected.
STE00001326	Scale Critical Damage
STE00001327	Multiply critical damage for all weapons.
STE00001328	Damage multiplier
STE00001329	Critical Hits
STE00001330	Multiplier applied to weapon damage for critical hits.
STE00001331	Cookable Grenades
STE00001332	Holding grenades decreases their detonation timer.
STE00001333	No grenade distance increase
STE00001334	Always throw grenades the same distance regardless of time held.
STE00001335	Overcooked grenades explode
STE00001336	Overcooked grenades will explode in your hand.
STE00001337	Minimum detonation time
STE00001338	Minimum detonation time for thrown grenades.
STE00001339	Play cooking sound
STE00001340	Play a sound every second a grenade is held.
STE00001341	Countdown timer
STE00001342	Play the sound for the last 3 seconds of the timer.
STE00001343	Sound ID
STE00001344	Editor ID of the sound to play.
STE00001345	Final second sound ID
STE00001346	Editor ID of the sound to play for the final second when using countdown.
STE00001347	Use Console Output File
STE00001348	Automatically set the console output file.
STE00001349	File name
STE00001350	Console Output
STE00001351	The name of the output file e.g. ConsoleOut.txt.
STE00001352	Cache Quest And Note Menu
STE00001353	Speed up the quest and note menus by only recreating them if your quest/notes state has changed, and not creating the challenges list if you're viewing the notes tab.
STE00001354	Keep Holotape Playing When Selecting Other Notes
STE00001355	Don't stop the current holotape's audio when clicking on other (non-audio) notes.
STE00001356	Smooth True Ironsights Camera
STE00001357	Smooth the ironsights animation by interpolating between the non-aiming and aiming camera positions.
STE00001358	Aim transition time
STE00001359	Smooth Iron Sights Camera
STE00001360	Time taken to transition between the camera positions (in milliseconds).
STE00001361	Easing function
STE00001362	Which easing function will be applied to the movement (see easings.net).
STE00001363	None
STE00001364	OutSine
STE00001365	OutCirc
STE00001366	InOutSine
STE00001367	InOutCirc
STE00001368	OutQuart
STE00001369	InOutQuart
STE00001370	Disable Needs Messages
STE00001371	Prevents the messages when hardcore needs and radiation levels increase/decrease.
STE00001372	Disable radiation messages
STE00001373	Disable hunger messages
STE00001374	Disable dehydration messages
STE00001375	Disable sleep deprivation messages
STE00001376	Crouch While Equipping Weapons
STE00001377	Allows crouching while (un)equipping weapons, the crouch animation is queued after the equip.
STE00001378	Recently Dead NPC Indicator
STE00001379	Shows recently killed NPCs on the compass until they have been moused over.
STE00001380	Indicator time out
STE00001381	Maximum time an NPC tick will be shown for after their death (in milliseconds, 0 is unlimited).
STE00001382	100000
STE00001383	Player and teammate kills only
STE00001384	Only show NPCs killed by the player or companions.
STE00001385	Player damaged only
STE00001386	Only show NPCs damaged by the player.
STE00001387	Color
STE00001388	RGB color of indicators in hexadecimal.
STE00001389	Controller Back Button Doesn't Close PipBoy
STE00001390	Prevents the Back button closing the PipBoy.
STE00001391	Auto Weapon No Firing Delay
STE00001392	Allows firing automatic weapons even if they are animating already (e.g. miniguns spinning up).
STE00001393	Include heavy weapons
STE00001394	No Firing Delay
STE00001395	Ignore the need for heavy weapons (animation type >= 8) to spin up before firing.
STE00001396	Min Blood Splatter Health Damage
STE00001397	Only show blood splatters if their damage is above a minimum health damage threshold.
STE00001398	Minimum health damage
STE00001399	Blood Splatters
STE00001400	Minimum health damage of an attack for blood splatters to show.
STE00001401	VATS Stop Firing If Target Dead
STE00001402	Stop firing the current burst in VATS if the target is already dead, e.g. the 10mm SMG which fires 3 rounds in a burst in VATS.
STE00001403	Hold And Release Throwables
STE00001404	Allows hold/releasing for throwables similar to grenades.
STE00001405	Support mines
STE00001406	Holdable Throwables
STE00001407	Allow holding mines before throwing them.
STE00001408	Allow Sleep Wait With Reduced Max Health
STE00001409	Allows sleep/waiting while max health is reduced by effects - making it possible to sleep with a temporary effect like -50hp, while still preventing sleeping while taking damage.
STE00001410	Level Difference Affects Combat XP
STE00001411	Makes kill XP depend on the level difference between the player and killed actor.
STE00001412	Base XP reward
STE00001413	XP Formula
STE00001414	Base XP rewarded for all kills.
STE00001415	Level difference bonus
STE00001416	Additional XP rewarded per point of level difference between player and killed actor.
STE00001417	Swap Ammo With Weapon Holstered
STE00001418	Allow swapping ammo types while weapon is holstered.
STE00001419	Power Armor Needs No Training
STE00001420	Allows wearing power armor without the Power Armor Training perk.
STE00001421	Colored HUD Bars
STE00001422	Colors the HP and AP bars red when they are low. Note that temporary effects that raise max HP will show the bar in red at a higher percentage, this is intended to indicate that your health will be low when the buff wears off.
STE00001423	Red HP threshold
STE00001424	Threshold ratio of current/max Health for coloring HP bar red.
STE00001425	Red AP threshold
STE00001426	Threshold ratio of current/max Action Points for coloring AP bar red.
STE00001427	Speed Mult Scales Jump Height
STE00001428	Scale NPC and player jump height based on their speedmult actor value.
STE00001429	Stealing Sends No Alarm
STE00001430	Don't alert actors when stealing their items (excludes pickpocketing).
STE00001431	Sneak Criticals Headshots Only
STE00001432	Only allow sneak attack criticals to the head.
STE00001433	Sort Pipboy Notes
STE00001434	Sort the PipBoy Notes tab alphabetically, and/or by whether they're read.
STE00001435	Note sorting mode
STE00001436	Note Sorting
STE00001437	Alphabetical
STE00001438	Unread notes first
STE00001439	Unread first, alphabetically
STE00001440	Sort Pipboy Quests
STE00001441	Sort the PipBoy Quests tab.
STE00001442	Quest sorting mode
STE00001443	Quest Sorting
STE00001444	Disable Achievements
STE00001445	Disables steam/gog achievements.
STE00001446	Show Weapon Poison Effects
STE00001447	Include weapon poison effects when viewing weapons in the PipBoy.
STE00001448	Hide Unavailable Radios
STE00001449	Hide unavailable radios in the PipBoy.
STE00001450	Stats Menu Percentage XP
STE00001451	Show XP in the Stats Menu as a percentage.
STE00001452	Unequip Weapon Mods
STE00001453	Allow unequipping weapon mods from the Item/Weapon Mod Menu, additionally hiding duplicate mods and sorting them alphabetically.
STE00001454	Hide button for non-modifiable weapons
STE00001455	Weapon Modding
STE00001456	Hide the Mod button if a weapon cannot have weapon mods.
STE00001457	Show unowned mods
STE00001458	Show unowned weapon mods in the menu.
STE00001459	Unequip mod sound ID
STE00001460	 VUI+ has its own sounds that it plays when you click on weapon mods).
STE00001461	Require workbench
STE00001462	Only allow weapon modding at a workbench.
STE00001463	Debug mode
STE00001464	Allow applying weapon mods even if you don't have them.
STE00001465	Difficulty Doesn't Affect NPC-NPC Damage
STE00001466	Stops NPC-NPC damage using the fDiffMultHPByPC gamesetting, with multipliers for NPC/teammate damages. Companion<->companion damage uses fDamageToTeammateMult.
STE00001467	NPC-NPC damage multiplier
STE00001468	NPC Damage
STE00001469	Multiplier applied to damage from one NPC to another.
STE00001470	Teammate-NPC damage multiplier
STE00001471	Multiplier for damage dealt by companions to NPCs.
STE00001472	NPC-Teammate damage multiplier
STE00001473	Multiplier for damage dealt to companions by NPCs.
STE00001474	Disable Combat Music
STE00001475	Prevents combat music playing.
STE00001476	Keep Broken Items Equipped
STE00001477	Prevent the message when a weapon breaks and keep it equipped.
STE00001478	Pickpocket Worn Items
STE00001479	Allow pickpocketing items NPCs have equipped.
STE00001480	Move During VATS Playback
STE00001481	Allow movement during VATS killcams.
STE00001482	Clicking Shows Terminal Text
STE00001483	Make clicking while a note is being displayed on a computer first show the rest of the page, or skip to the next page if the current page is fully displayed.
STE00001484	Invert Pipboy Repair Menu Sorting
STE00001485	Place high condition items at the bottom of the repair list.
STE00001486	Disable Region Borders Keep Message
STE00001487	Allow movement outside world borders, showing the 'Leaving Region' warning repeatedly. Functionally equivalent to adding bBorderRegionsEnabled = 0 under [General] in FalloutCustom.ini, but retains the ui warning.
STE00001488	No Recurring Challenges
STE00001489	Prevents 'recurring' challenges from resetting their progress when completed.
STE00001490	Recurring Challenge Indicator
STE00001491	Adds an indicator that a challenge is recurring when viewed in the PipBoy. '(Recurring)' appears beside the progress e.g. 4/10 (Recurring).
STE00001492	Custom Subtitle Distance
STE00001493	Modify how far away general subtitles are shown. For long distances you may need to increase the iSpeakSoundLipDistance gamesetting from its default of 750.
STE00001494	Subtitle distance
STE00001495	Subtitles
STE00001496	Distance to show subtitles from - vanilla is 500 units.
STE00001497	Scope Visibility Delay
STE00001498	Delay the display of scopes when aiming in, and optionally prevent scoped aiming while reloading.
STE00001499	Scope visibility delay
STE00001500	Scoped Weapons
STE00001501	Required aiming time before the scope overlay is applied.
STE00001502	5000
STE00001503	Aim out while reloading
STE00001504	Aim out while reloading or weapon is jamming.
STE00001505	Always show weapon animation
STE00001506	Forces the \uses 1st person iron sights anims\ flag on all weapons.
STE00001507	Delay in 3rd person
STE00001508	Delay scopes in 3rd person.
STE00001509	No Healing In Combat
STE00001510	Prevent use of aid items that heal HP or limbs while in [Danger].
STE00001511	Message
STE00001512	Message shown when attempting to heal in combat.
STE00001513	Hide Ranks In Trait Menu
STE00001514	Hide 'Ranks' in the description for traits in the Trait menu, since it's a holdover from the LevelUp menu perk selection screen.
STE00001515	Sort Perk Menu
STE00001516	Sort the LevelUp Perk Menu.
STE00001517	Perk sorting mode
STE00001518	Perk Sorting
STE00001519	Available first, alphabetically
STE00001520	Less Restrictive VATS Menu
STE00001521	Allow dequeuing actions and exiting vats while zooming in/out.
STE00001522	No Turning Anim
STE00001523	Suppress player turning animations to prevent the glide when stopping while turning.
STE00001524	Custom Add To Inventory Message Timer
STE00001525	Customize the length of time the 'Added to inventory' message is shown.
STE00001526	\Item added\ time
STE00001527	Message Times
STE00001528	Time the 'added to inventory' message is shown (in seconds).
STE00001529	Hide Red Crosshair On Distant Invisible Targets
STE00001530	Prevent the red crosshair when mousing over invisible enemies in the distance.
STE00001531	Ammo Count Memory
STE00001532	Remember ammo type and count (optional) for all player weapons. Data is stored in the vanilla save, and is removed if loading without the tweak active, or if the weapons are deleted/unloaded.
STE00001533	Forget when transferred
STE00001534	Remember Weapon Ammos
STE00001535	Forget stored ammo/type when weapons are dropped or transferred (to decrease save size).
STE00001536	Remember ammo count
STE00001537	Remember ammo count as well as type (regenerating ammo weapons always have their count stored).
STE00001538	Fatal Non Sneak Crits Always Gib
STE00001539	Make fatal non-sneak critical hits always explode or dismember limbs.
STE00001540	Only criticals explode/dismember limbs
STE00001541	Critical Hits Gib
STE00001542	Prevent non-critical hits exploding or dismembering limbs.
STE00001543	No Free Barter Items
STE00001544	Set a price for 'free' items (e.g. ammo casings), calculated after barter buy/sell multipliers.
STE00001545	Free item cost
STE00001546	Barter Items
STE00001547	Cost for buying items with no value.
STE00001548	Locational Melee Damage
STE00001549	Make melee and unarmed damage use limb damage multipliers.
STE00001550	Apply to player-NPC attacks
STE00001551	Melee Locational Hits
STE00001552	Use hit multiplier for attacks by the player.
STE00001553	Apply to NPC-player attacks
STE00001554	Use hit multiplier for attacks by NPCs on the player.
STE00001555	Apply to NPC-NPC attacks
STE00001556	Use hit multiplier for attacks on NPCs by NPCs.
STE00001557	Queue Weapon Holstering While Anims Play
STE00001558	Pressing holster weapon while animations play will holster when the anims finish, instead of doing nothing as in vanilla.
STE00001559	No Lock Failed Terminals
STE00001560	Don't lock terminals when they are failed.
STE00001561	Delay Post Combat Reputation Popup
STE00001562	Delay the reputation change popup dialog till 3 seconds after combat.
STE00001563	No Player Name Length Limit
STE00001564	Remove the limit on the number of characters in the player's name.
STE00001565	Skip Vigor Tester Special Pages
STE00001566	Skip to the vigor tester review page.
STE00001567	Grabbing Items Is Crime
STE00001568	Make grabbing owned items carry the same faction penalty as stealing.
STE00001569	Custom Special Points
STE00001570	Set a custom number of SPECIAL points to allocate, minimum is 7 (one in each skill).
STE00001571	Number of points to allocate
STE00001572	SPECIAL Points
STE00001573	Total SPECIAL points after distributing points from the Vigor Tester or Special Book (TTW).
STE00001574	7,
STE00001575	70
STE00001576	Allow Weapon Hotkeys While Firing
STE00001577	Allow using weapon hotkeys while firing.
STE00001578	Move During Open Pipboy Anim
STE00001579	Allow movement during the open PipBoy animation.
STE00001580	Hip Fire Anims While Scoped
STE00001581	Use non-ironsight anims and recoil patterns for scoped weapons to prevent weapons lingering in your face when un-scoping after firing. Note that this requires alternate animations as the hip fire recoil patterns for some weapons - e.g. the Scoped Varmint Rifle - look awful while scoped.
STE00001582	Restore '2' Hotkey
STE00001583	Restores the '2' weapon hotkey. Requires 'Data/menus/prefabs/lStewieAl/2Hotkey.xml'. Controller users will need to bind ammo swap some other way (e.g. using bDoubleTapReloadToChangeAmmoType).
STE00001584	Second slot key
STE00001585	Weapon Hotkeys
STE00001586	Scancode of the keyboard hotkey.
STE00001587	Show keybinds on labels
STE00001588	Use the name of the bound hotkey on the wheel instead of 1/2/3...
STE00001589	Encumbrance Includes Grabbed Items
STE00001590	Include the weight of the grabbed ('Z' key) item stack weight when determining if player is overencumbered.
STE00001591	Use Anim Variants
STE00001592	Allow use of anim variants, similar to firing animation variants - requires both 1st and 3rd person animation files.
STE00001593	Reload variants
STE00001594	Anim Variants
STE00001595	Allow reload variations.
STE00001596	Equip/unequip variants
STE00001597	Allow equip/unequip variations.
STE00001598	Aim/ADS variants
STE00001599	Allow aim/aimIS variations.
STE00001600	Custom Hacking Answer Length
STE00001601	Use a custom formula for hacking answer length.
STE00001602	Base word length
STE00001603	Hacking Formula
STE00001604	Base word length.
STE00001605	Difficulty multiplier
STE00001606	Multiplier applied on difficulty before adding to word length.
STE00001607	Computer Whiz length bonus
STE00001608	Characters removed from answer if you have the computer whiz perk.
STE00001609	Odd ID bonus
STE00001610	Characters added to answer if terminal ref ID is odd.
STE00001611	Maximum word length
STE00001612	Maximum answer length.
STE00001613	Minimum word length
STE00001614	 there aren't many words in the hacking dictionary.txt file that are two characters long).
STE00001615	Minimum guesses
STE00001616	Minimum guesses.
STE00001617	Maximum guesses
STE00001618	Maximum guesses.
STE00001619	No Compass Pips If Not In Danger
STE00001620	Hide all NPCs on the compass if you aren't in [Danger].
STE00001621	Force Hi-Res Weapon Models
STE00001622	Use 1st person (high-res) models for NPCs' weapons.
STE00001623	Show Doors On Compass
STE00001624	Show nearby doors on the compass.
STE00001625	Compass Doors
STE00001626	Maximum distance to show doors in exteriors.
STE00001627	Maximum distance to show doors in interiors.
STE00001628	Show visited cells
STE00001629	Color the doors of visited cells (excludes doors leading to worldspaces).
STE00001630	Fade icon with distance
STE00001631	Scale the door icon's alpha based on distance to the player.
STE00001632	Visited cell color
STE00001633	uVistedRGB
STE00001634	Visited cell red/green/blue color in hexadecimal, e.g. 0xFF0088.
STE00001635	Critical-Hit Messages Include Limb Name
STE00001636	Include the limb name in critical hit messages. e.g. 'Critical strike on Easy Pete's Torso'.
STE00001637	Menu Fades Ignore Timescale
STE00001638	Make menu fading in/out ignore timescale.
STE00001639	Activating Doesn't Stand Up
STE00001640	Make activating while using furniture not stand up, instead use movement to stand while seated.
STE00001641	No Skill Message If Increase Is Zero
STE00001642	Prevent the 'skill increased by 0' if reading a book with no bonus.
STE00001643	Compass Fade Left Side
STE00001644	Fade icons for NPCs, doors etc. on the left side of the compass. Useful if using a centered compass.
STE00001645	Console Text Shadow
STE00001646	Darkens the console output text and adds a faint shadow for readability.
STE00001647	Minigames Play XP Sound At Max Level
STE00001648	Play the XP gained sound when hacking or lockpicking at max player level.
STE00001649	VATS Hip Fire
STE00001650	Entering VATS while not aiming will shoot from the hip for all shots fired (does not affect accuracy).
STE00001651	Alternate Levelup Sounds
STE00001652	Play an alternate level-up sound every A or B levels. If A is a multiple of B, the larger number wins ties.
STE00001653	Sound A
STE00001654	Alt Levelup Sound
STE00001655	Editor ID of sound to play every 'Interval A' levels.
STE00001656	Interval A
STE00001657	Play 'Sound A' every N levels.
STE00001658	Sound B
STE00001659	Editor ID of sound to play every 'Interval B' levels.
STE00001660	Interval B
STE00001661	Play 'Sound B' every N levels.
STE00001662	Agility Affects Reload Jam Speed
STE00001663	Make reload jams affected by reload speed multipliers.
STE00001664	Run Slower In Water
STE00001665	Scale movement speed when walking/running through water depending on much you are immersed.
STE00001666	Wading Movement Multiplier
STE00001667	Water Scales Movement Speed
STE00001668	Max movement speed penalty when wading through water.
STE00001669	Pipboy Light And Holstering Ignore Timescale
STE00001670	Make using PipBoy light or holster hotkeys not take longer when time is slowed down.
STE00001671	Hostiles Use Neutral Color On Compass
STE00001672	Make hostiles on the compass use the HUDMain color instead of HUDAlt (red).
STE00001673	Agility Scales Jump Height
STE00001674	 jumpHeight = 1 + (fAgilityMult * (agility - 1))
STE00001675	Agility Multiplier
STE00001676	Agility Affects Jump Height
STE00001677	Multiplier added per agility point above 1.
STE00001678	Using Keys Rewards XP
STE00001679	 RewardXP = (Base XP) + (Vanilla Lock XP) * (Vanilla Reward Scale).
STE00001680	Base XP
STE00001681	Key XP Reward
STE00001682	XP rewarded for using a key on a container/door.
STE00001683	Vanilla Reward Scale
STE00001684	Scale applied to the vanilla XP gained based on the lock level. Impossible locks grant the same as Very Hard locks.
STE00001685	Anim Debugging
STE00001686	Prints which anims are currently active into the top left of the console {you can type ToggleDebugText (TDT) to see console output with the console closed}.
STE00001687	Partial Reload Anim Support
STE00001688	Add support for 'partial' reload anims when reloading with a non-empty clip. Makes the game select animations ending in '_partial' for the player if their clip is empty.
STE00001689	NPCs Earn Ammo Casings
STE00001690	Make NPCs earn ammo casings when firing their weapons.
STE00001691	Drowning Drains AP
STE00001692	Drain action points before taking damage when drowning.
STE00001693	Faster Enter Lockpick Menu
STE00001694	Speed up the animation for entering the lockpick menu.
STE00001695	Prevent Inactive Window Scrolling
STE00001696	Prevent scroll-wheel affecting windows outside NV.
STE00001697	AddItem Uses Item Icon
STE00001698	Use the item icon (if it exists) in 'added to inventory' messages (you will need an icon replacer or they will be off-centered), instead of always using the gift icon.
STE00001699	Allow Weapon Hotkeys While Equipping
STE00001700	Allow use of weapon hotkeys while switching weapons.
STE00001701	Show Nearest Undiscovered Location
STE00001702	Always show the nearest undiscovered location on the compass or map.
STE00001703	Show On Map
STE00001704	Show Closest Location
STE00001705	Show the closest undiscovered location on the map.
STE00001706	Show On Compass
STE00001707	Show the closest undiscovered location on the compass.
STE00001708	Weapon Cycle Up Down Hotkeys
STE00001709	Use left/right controller d-pad to cycle through hotkeyed weapons.
STE00001710	Repair Requires Weapon Skill
STE00001711	Disallow repairing if repair skill is less than the weapon's skill requirement. i.e. you need 75 repair skill to fix a weapon that requires 75 energy weapons skill.
STE00001712	Max VATS Distance Uses Weapon Range
STE00001713	Use the player's weapon max range to determine the max VATS targeting distance - e.g. you can target enemies further with a sniper rifle than a 9mm pistol.
STE00001714	VATS Uses Weapon Distance
STE00001715	Minimum range to check for targets.
STE00001716	Max Distance
STE00001717	Maximum range to check for targets.
STE00001718	Weapon Range Multiplier
STE00001719	Multiplier applied to the weapon's max range.
STE00001720	Less Frequent Player Pain Sounds
STE00001721	Add a minimum interval between player pain sounds.
STE00001722	Interval (MS)
STE00001723	Combat Sounds
STE00001724	Minimum time between player pain sounds in milliseconds.
STE00001725	More Frequent NPC Light Updates
STE00001726	Calculate actor light levels (used for sneaking) more frequently - may incur a minor performance penalty if the interval is too low.
STE00001727	Detection Timer Interval
STE00001728	Detection Light Timer
STE00001729	Time between updates (in seconds), vanilla is 3 seconds.
STE00001730	Map Zooms On Cursor
STE00001731	Makes zooming in the local and world map center on where the cursor is instead of the middle of the screen.
STE00001732	Lock Pick Menu Keyboard Movement
STE00001733	Use left/right movement to control the bobby pin, and jump and forward/back to spin the screwdriver.
STE00001734	Base Speed
STE00001735	Lockpick Menu Movement
STE00001736	Base speed for left/right bobby pin movement.
STE00001737	Shift Speed Multiplier
STE00001738	Scale applied to movement speed while shift is held.
STE00001739	CTRL Speed Multiplier
STE00001740	Scale applied while ctrl is held.
STE00001741	Saving Doesn't Close Pause Menu
STE00001742	Keep the pause menu open after saving the game.
STE00001743	Container Menu Store All Hotkey
STE00001744	Hold shift to store all visible (i.e. not filtered out via category/menu search etc.) items from the left hand side into the current container.
STE00001745	Store All Label
STE00001746	Container Store All
STE00001747	Replacement label for 'Take All' when shift is held.
STE00001748	Container Take All Doesn't Close Menu
STE00001749	Prevent the 'take all' button closing the container.
STE00001750	Take All Confirmation
STE00001751	Show a confirmation message when taking all items from a container.
STE00001752	Min Items For Message
STE00001753	Minimum number of items for the message to appear.
STE00001754	Confirmation Prompt Text
STE00001755	Confirmation message for taking all items.
STE00001756	Bloody Mess Gibs Targeted Limb Only
STE00001757	Prevents bloody mess dismembering/exploding limbs that weren't hit. In vanilla there's a random chance an npc's limb is removed when shooting their torso.
STE00001758	Deselect Hotkeys
STE00001759	Makes it possible to remove a hotkey for an item by attempting to assign it the slot it has already.
STE00001760	Sort Recipe Menu
STE00001761	Sort the crafting menu.
STE00001762	Sorting Mode
STE00001763	Recipe Sorting
STE00001764	Craftable first
STE00001765	Craftable first, alphabetically
STE00001766	Skill Requirements Met
STE00001767	Timescale Affects Reload Sounds
STE00001768	Scale reload sound pitch and length based on the game time multiplier (e.g. while using turbo).
STE00001769	No Poison Confirm
STE00001770	Remove the confirmation prompt when poisoning a weapon, and replace the warning popups with a corner message instead.
STE00001771	Taking NPC Weapons Gives No Ammo
STE00001772	Don't earn extra ammo when taking an NPCs weapon. In the base game, you can earn a random amount of ammo (based on clip size) when taking the equipped weapon of an NPC who died (before reloading the game). e.g. taking a .357 revolver will give anywhere between 0-6 ammo.
STE00001773	No Exit Game Confirmation
STE00001774	Skip the exit confirmation when clicking Quit Game in the main menu.
STE00001775	Living Anatomy Shows DR
STE00001776	Show damage resistance when using the living anatomy perk, and remove decimal places. Additionally hides the DR/DT if they are zero.
STE00001777	Show Even At Max Health
STE00001778	Living Anatomy
STE00001779	Show the targeted NPC's health-bar even if they have max health.
STE00001780	Preview Perks On Level-Up
STE00001781	Always show the perk screen when leveling up even if you have no points to assign.
STE00001782	Place Markers At Locations
STE00001783	Makes right clicking in the map menu to place a marker place it directly on the hovered location.
STE00001784	Affect Local Map
STE00001785	Place Marker At Location
STE00001786	Center markers on doors in the local map.
STE00001787	}]
STE00001788	Allow Pickpocket If Already Caught
STE00001789	Allow pickpocketing even if the NPC has caught you previously.
STE00001790	Hide Crosshair In Killcams
STE00001791	Hide the crosshair during killcams.
STE00001792	Hide Healthbar In Killcams
STE00001793	Hide the health-bar during killcams.
STE00001794	HUD Rotates With Vanity Cam
STE00001795	Move the compass when rotating while holding the POV button for the vanity camera.
STE00001796	HUD Weapon Name Label
STE00001797	Show the current weapon name above AP when it's equipped. Customizable by editing 'menus/prefabs/lStewieAl/WeaponNameLabel.xml'.
STE00001798	Compress Duplicate Console Messages
STE00001799	Append -#count to consecutive duplicate single line console messages.
STE00001800	No Pipboy Idle Anims
STE00001801	 Characters/male/IdleAnims/1stPPipBoyWaver.kf etc.
STE00001802	Save Character Selector
STE00001803	 menus/prefabs/lStewieAl/SaveCharacterSelector.xml.
STE00001804	No Filter Active Text
STE00001805	Character Selector
STE00001806	Text to display in the Save/Load menu while character filter isn't applied.
STE00001807	No Fast Travel If Legs Crippled
STE00001808	Prevent fast travel if a leg is crippled.
STE00001809	Fast Travel Crippled Limbs
STE00001810	Message shown when attempting to fast travel with broken legs.
STE00001811	Weapon Hotkeys Holster Weapon If Equipped
STE00001812	Pressing the hotkey for the current equipped weapon will holster or draw instead of unequipping.
STE00001813	Don't Holster Weapon
STE00001814	Current Weapon Hotkey
STE00001815	Pressing the weapon key for an already equipped weapon will do nothing (instead of unequipping).
STE00001816	Prevent Repair If Not At Workbench
STE00001817	Prevent repairing items if you aren't looking at a workbench.
STE00001818	Improved Race Menu
STE00001819	Allow panning the camera with right click or Y on controller, and increase min zoom.
STE00001820	Prevent Player Movement
STE00001821	Prevent anims (swaying etc.) playing in the menu.
STE00001822	Pan X Movement Speed
STE00001823	Scale the right click pan X direction movement speed.
STE00001824	Pan Y Movement Speed
STE00001825	Scale the right click pan Y direction movement speed.
STE00001826	Map Markers Show Faction Name
STE00001827	Show the faction name underneath the map marker name, e.g. (Goodsprings - Neutral).
STE00001828	Hide If No Reputation
STE00001829	Map Marker Factions
STE00001830	Only show location reputations if you have reputation with that faction.
STE00001831	Container Right Click Changes To Previous Category
STE00001832	Make right clicking the category cycle to the previous category in container/barter/recipe menus.
STE00001833	Invalid BSFadeNode Prints
STE00001834	 %08X' warning. If you're an author I recommend you leave it on so you know which of your meshes are broken. Setting is hidden (add bInvalidBSFadeNodePrints=0 under [Tweaks] to disable).
STE00001835	Show Active Quest Notes
STE00001836	Hide Reputation Tab If Empty
STE00001837	Hides the Stats menu reputation tab and button if you don't have any faction reputations (mainly for use with TTW).
STE00001838	Show Active Quest Notes Shows All Started Quests
