STE00000001	内联纯函数
STE00001265	比较护甲属性。
STE00001266	显示与装备护甲相比，护甲DT（防御穿透）和DR（防御吸收）的+和-。
STE00001267	允许在动画播放时使用VATS
STE00001268	允许在动画播放时（如跳跃时）进入VATS状态。
STE00001269	机器人同伴用废金属治疗
STE00001270	用废金属而非急救喷雾为机器人同伴治疗。
STE00001271	基础生命恢复
STE00001272	机器人同伴治疗
STE00001273	每单位废金属恢复的基础生命
STE00001274	修复技能加成
STE00001275	每修复技能点恢复的额外生命
STE00001276	机器人专家加成
STE00001277	若玩家拥有机器人专家特长，额外恢复生命。
STE00001278	自定义截图格式
STE00001279	jpg、tiff和bmp。
STE00001280	格式 (JPG、PNG或BMP)
STE00001281	截图格式
STE00001282	文件格式 (jpg、tiff、png或bmp)
STE00001283	模组控制台输出包含名称
STE00001284	当模组在控制台输出时，将在文本前添加 [Modname]。可选地，打印执行该输出的脚本的formid。
STE00001285	包含脚本ID
STE00001286	模组控制台输出
STE00001287	使用脚本ID而非模组名前缀
STE00001288	对话时调整收音机歌曲音量
STE00001289	与NPC对话时调整收音机歌曲音量
STE00001290	音量倍增器
STE00001291	收音机音量
STE00001292	对话时音乐音量的倍增系数。
STE00001293	对话时调整音乐音量
STE00001294	与NPC对话时调整环境音乐音量
STE00001295	音乐音量
STE00001296	使用第一人称空弹夹声音
STE00001297	在第三人称视角中使用第一人称空弹夹声音（声音更大）
STE00001298	菜单搜索
STE00001299	添加Ctrl+F键来搜索各种菜单
STE00001300	添加到地图菜单
STE00001301	添加到地图菜单（本地地图、世界地图、任务、笔记、挑战和收音机）
STE00001302	添加到物品栏菜单
STE00001303	添加到物品栏菜单（Pip-Boy）
STE00001304	添加到统计菜单
STE00001305	添加到统计菜单（效果、技能、加成、声望、其他统计）
STE00001306	添加到交易菜单
STE00001307	添加到交易菜单
STE00001308	添加到容器菜单
STE00001309	添加到容器菜单
STE00001310	添加到升级菜单
STE00001311	添加到升级菜单（加成）
STE00001312	添加到配方菜单
STE00001313	添加到配方菜单
STE00001314	添加到保存/加载菜单
STE00001315	添加到保存/加载菜单
STE00001316	关闭搜索时移除筛选
STE00001317	关闭搜索时刷新菜单（若要使用键盘快捷键浏览筛选菜单，请禁用此选项）
STE00001318	重新打开搜索时清空输入
STE00001319	当聚焦搜索栏时清空输入字符串，如果bRemoveFilterWhenClosingSearch为1，则强制为1。
STE00001320	任务搜索包含目标
STE00001321	在搜索任务时，同时搜索目标文本。
STE00001322	任务搜索包含已完成目标
STE00001323	如果启用了“任务搜索包含目标”，则包含已完成目标
STE00001324	允许与控制器连接时使用键盘和鼠标
STE00001325	允许在连接控制器时使用键盘和鼠标进行移动（排除菜单）。
STE00001326	调整致命伤害
STE00001327	所有武器的致命伤害翻倍。
STE00001328	伤害倍增
STE00001329	致命一击
STE00001330	对武器造成致命一击时应用的伤害倍增。
STE00001331	可烹饪手榴弹
STE00001332	握着手榴弹会减少其爆炸计时器。
STE00001333	手榴弹投掷距离不变
STE00001334	无论持有多长时间，手榴弹始终以相同距离投掷。
STE00001335	过熟的手榴弹会爆炸
STE00001336	过熟的手榴弹会炸在你手中。
STE00001337	最小爆炸时间
STE00001338	投掷手榴弹的最小爆炸时间。
STE00001339	播放烹饪声音
STE00001340	每持有一秒手榴弹播放一次声音。
STE00001341	倒计时计时器
STE00001342	在倒计时的最后3秒播放声音。
STE00001343	声音ID
STE00001344	播放声音的编辑器ID。
STE00001345	倒计时最后秒声音ID
STE00001346	当使用倒计时时，播放最后一秒声音的编辑器ID。
STE00001347	使用控制台输出文件
STE00001348	自动设置控制台输出文件。
STE00001349	文件名
STE00001350	控制台输出
STE00001351	输出文件的名称，例如ConsoleOut.txt。
STE00001352	缓存任务和笔记菜单
STE00001353	仅在任务/笔记状态改变时重新创建任务和笔记菜单，如果查看笔记标签则不创建挑战列表，从而加快速度。
STE00001354	选择其他笔记时保持Holotape播放
STE00001355	点击非音频笔记时，不要停止当前Holotape的音频播放。
STE00001356	平滑真·瞄准镜相机
STE00001357	通过在非瞄准和瞄准相机位置之间插值，平滑瞄准镜动画。
STE00001358	瞄准过渡时间
STE00001359	平滑瞄准镜相机
STE00001360	相机位置间转换所需时间（毫秒）。
STE00001361	缓动函数
STE00001362	将应用哪种缓动函数于移动（参见easings.net）。
STE00001363	无
STE00001364	正弦出
STE00001365	循环出
STE00001366	正弦内
STE00001367	循环内
STE00001368	四分之一出
STE00001369	四分之一内
STE00001370	禁用需求提示
STE00001371	阻止硬核需求和辐射等级增加/减少时的提示信息。
STE00001372	禁用辐射提示
STE00001373	禁用饥饿提示
STE00001374	禁用脱水提示
STE00001375	禁用睡眠剥夺提示
STE00001376	装备武器时蹲下
STE00001377	允许在（卸）装备武器时蹲下，蹲下动画在装备后排队执行。
STE00001378	最近死亡的NPC指示器
STE00001379	在最近被杀死的NPC在被鼠标悬停之前，会在指南针上显示。
STE00001380	指示器超时
STE00001381	NPC死亡后显示的时间（毫秒，0表示无限）
STE00001382	100000
STE00001383	仅显示玩家和队友击杀
STE00001384	仅显示被玩家或同伴击杀的NPC
STE00001385	仅显示玩家伤害
STE00001386	仅显示被玩家伤害的NPC
STE00001387	颜色
STE00001388	指示器的RGB颜色，十六进制表示
STE00001389	控制器背部按钮不关闭PipBoy
STE00001390	阻止背部按钮关闭PipBoy。
STE00001391	自动武器无射击延迟
STE00001392	迷你机枪旋转）时进行射击。
STE00001393	包含重型武器
STE00001394	无射击延迟
STE00001395	忽略重型武器（动画类型>=8）在射击前需要旋转的需要。
STE00001396	最小血液飞溅伤害
STE00001397	仅显示血液飞溅，如果其伤害超过最小生命伤害阈值。
STE00001398	最小生命伤害
STE00001399	血液飞溅
STE00001400	显示血液飞溅所需的攻击最小生命伤害。
STE00001401	VATS在目标死亡时停止射击
STE00001402	如果目标已经死亡（例如VATS中的10mm SMG一次连发3发子弹），则停止当前VATS连发。
STE00001403	投掷物按住释放
STE00001404	允许像手雷一样的投掷物按住/释放。
STE00001405	地雷支持
STE00001406	可投掷物持有
STE00001407	允许在投掷前持有地雷。
STE00001408	允许睡眠等待，同时减少最大生命值
STE00001409	允许在受到效果（如-50hp临时效果）减少最大生命值时进行睡眠/等待，但仍阻止在受伤害时睡觉。
STE00001410	等级差距影响战斗经验值
STE00001411	杀敌经验值取决于玩家与被杀角色之间的等级差。
STE00001412	基础经验值奖励
STE00001413	经验值公式
STE00001414	所有杀敌的基础经验值奖励
STE00001415	等级差奖励
STE00001416	玩家与被杀角色每相差一级，额外奖励的经验值。
STE00001417	武器挂起时换弹匣
STE00001418	允许在武器挂起时更换弹匣类型。
STE00001419	动力装甲无需训练
STE00001420	无需动力装甲训练加成即可穿戴动力装甲。
STE00001421	彩色生命值/能量条
STE00001422	当生命值和能量值较低时，将它们的条形图显示为红色。请注意，临时提升最大生命值的效果会让条形图在较高百分比时变为红色，这是为了表示当增益效果消失时，你的生命值会变得较低。
STE00001423	生命值红色阈值
STE00001424	当前/最大生命值的阈值比例，用于将生命值条显示为红色。
STE00001425	能量值红色阈值
STE00001426	当前/最大行动点的阈值比例，用于将能量值条显示为红色。
STE00001427	速度倍数影响跳跃高度
STE00001428	根据角色的速度倍数值调整NPC和玩家的跳跃高度。
STE00001429	偷窃不触发警报
STE00001430	偷窃物品时不会通知目标角色（排除扒窃）。
STE00001431	仅允许潜行暴击头部命中
STE00001432	仅允许潜行攻击对头部造成致命一击
STE00001433	整理 PipBoy 笔记
STE00001434	按字母顺序或阅读状态对 PipBoy 笔记标签进行排序
STE00001435	笔记排序模式
STE00001436	笔记排序
STE00001437	字母顺序
STE00001438	优先未读
STE00001439	先未读，再字母顺序
STE00001440	排序 PipBoy 任务
STE00001441	对 PipBoy 任务标签进行排序。
STE00001442	任务排序模式
STE00001443	任务排序
STE00001444	禁用成就
STE00001445	禁用 Steam/GOG 成就。
STE00001446	显示武器毒害效果
STE00001447	在 PipBoy 中查看武器时，包含武器的毒害效果。
STE00001448	隐藏不可用的无线电
STE00001449	在 PipBoy 中隐藏不可用的无线电
STE00001450	状态菜单百分比经验值
STE00001451	在状态菜单中以百分比显示经验值
STE00001452	卸下武器模块
STE00001453	允许从物品/武器模块菜单卸下武器模块，同时隐藏重复的模块并按字母顺序排序。
STE00001454	隐藏非可修改武器的按钮
STE00001455	武器模块化
STE00001456	如果武器无法添加模块，隐藏“模块”按钮。
STE00001457	显示未拥有的模块。
STE00001458	在菜单中显示未拥有的武器模块。
STE00001459	卸下模块的音效ID。
STE00001460	VUI+有自己的音效，当你点击武器模块时会播放）。
STE00001461	需要工作台
STE00001462	只允许在工作台进行武器模块化。
STE00001463	调试模式
STE00001464	即使没有，也允许应用武器模块。
STE00001465	难度不影响NPC对NPC的伤害
STE00001466	使用fDiffMultHPByPC游戏设置停止NPC对NPC的伤害，具有NPC/队友伤害的倍率。同伴<->同伴伤害使用fDamageToTeammateMult。
STE00001467	NPC对NPC的伤害倍率
STE00001468	NPC伤害
STE00001469	用于一个NPC对另一个NPC造成的伤害的倍率。
STE00001470	队友-NPC伤害倍率
STE00001471	同伴对NPC造成的伤害的倍数。
STE00001472	NPC-队友伤害倍率
STE00001473	NPC对同伴造成的伤害倍数。
STE00001474	禁用战斗音乐
STE00001475	阻止战斗音乐播放。
STE00001476	装备破损物品
STE00001477	当武器破损时，阻止显示消息并保持装备。
STE00001478	扒窃NPC装备的物品
STE00001479	允许扒窃NPC装备的物品
STE00001480	在VATS回放时移动
STE00001481	允许在VATS击杀回放时移动
STE00001482	点击显示终端文本
STE00001483	在电脑上显示笔记时，点击会先显示剩余页面，如果当前页面已完全显示，则跳转到下一页。
STE00001484	反转Pipboy维修菜单排序
STE00001485	将高耐久度的物品放在维修列表的底部。
STE00001486	禁用区域边界保持消息
STE00001487	允许在世界边界外移动，反复显示“离开区域”警告。功能上等同于在 FalloutCustom.ini 的 [General] 下添加 bBorderRegionsEnabled = 0，但保留了 UI 警告。
STE00001488	无重复挑战
STE00001489	阻止“重复”挑战在完成时重置进度。
STE00001490	重复挑战标识
STE00001491	在PipBoy查看时，为挑战添加一个标识，如进度旁显示 "(Recurring)"，如 4/10 (Recurring)。
STE00001492	自定义子标题距离
STE00001493	调整通用子标题的显示距离。对于长距离，可能需要将iSpeakSoundLipDistance游戏设置从默认的750增加。
STE00001494	子标题距离
STE00001495	子标题
STE00001496	默认显示子标题距离为500个单位。
STE00001497	瞄准镜可见性延迟
STE00001498	瞄准时延迟显示瞄准镜，并可选地在重新装填时阻止使用瞄准镜。
STE00001499	瞄准镜可见性延迟
STE00001500	带瞄准镜武器
STE00001501	在应用瞄准镜叠加前所需的瞄准时间。
STE00001502	5000
STE00001503	重新装填时瞄准
STE00001504	重新装填或武器卡壳时瞄准。
STE00001505	始终显示武器动画
STE00001506	强制所有武器使用第一人称铁瞄动画标志。
STE00001507	第三人称延迟
STE00001508	第三人称延迟瞄准镜显示
STE00001509	战斗中不恢复生命值
STE00001510	在[危险]状态下阻止使用治疗HP或肢体的辅助物品。
STE00001511	消息
STE00001512	战斗中尝试治疗时显示的消息。
STE00001513	隐藏特性菜单中的等级显示
STE00001514	隐藏特性菜单中特性描述中的“等级”，因为它是等级提升菜单选择 perk 时遗留的。
STE00001515	排列 perk 菜单
STE00001516	排序等级提升 perk 菜单
STE00001517	 perk 排序模式
STE00001518	 perk 排序
STE00001519	按可用性排序，字母顺序
STE00001520	更宽松的 VATS 菜单
STE00001521	允许在缩放时取消排队操作和退出 VATS。
STE00001522	无转向动画
STE00001523	抑制玩家转向动画，防止转向时滑行。
STE00001524	自定义添加到背包的消息显示时长
STE00001525	自定义“添加到背包”消息的显示时间长度。
STE00001526	\已添加\时间
STE00001527	消息显示时间
STE00001528	显示“添加到背包”消息的时间（以秒为单位）。
STE00001529	隐藏远处不可见目标的红十字准星
STE00001530	阻止在远处鼠标悬停在不可见敌人上时显示红十字准星。
STE00001531	弹药计数记忆
STE00001532	为所有玩家武器记住弹药类型和数量（可选）。数据存储在原版存档中，如果在不启用此调整时加载，或删除/卸载武器，数据将被移除。
STE00001533	转移时忘记
STE00001534	记住武器弹药类型
STE00001535	当武器掉落或转移时忘记存储的弹药/类型（以减小存档大小）。
STE00001536	记住弹药数量
STE00001537	记住弹药数量和类型（再生弹药武器始终存储其数量）。
STE00001538	非潜行致命暴击始终致人死亡
STE00001539	使非潜行的致命要害攻击总是爆炸或肢解肢体。
STE00001540	只有暴击才会爆炸/肢解
STE00001541	致命暴击致死
STE00001542	防止非致命击中爆炸或肢解肢体。
STE00001543	禁止免费交易物品
STE00001544	为'免费'物品（如弹壳）设定价格，计算方式基于交易买卖乘数。
STE00001545	免费物品成本
STE00001546	交易物品
STE00001547	购买无价值物品的费用
STE00001548	位置性近战伤害
STE00001549	使近战和徒手伤害使用肢体伤害乘数
STE00001550	应用于玩家-NPC攻击
STE00001551	近战位置性击中
STE00001552	使用击中乘数对玩家的攻击
STE00001553	应用于NPC-玩家攻击
STE00001554	使用NPC对玩家的攻击击中乘数
STE00001555	应用于NPC-NPC攻击
STE00001556	NPC对NPC的攻击使用击中乘数
STE00001557	在动画播放时排队武器挂带
STE00001558	在动画播放时按下挂带武器，会等到动画结束后挂带，而不是像原版那样什么也不做。
STE00001559	无锁定失败终端
STE00001560	终端失败时不锁定
STE00001561	延迟战斗后声望弹出提示
STE00001562	将声望变化提示对话框延迟到战斗后3秒显示
STE00001563	取消玩家姓名长度限制
STE00001564	移除玩家姓名字符数限制
STE00001565	跳过精力测试特殊页面
STE00001566	跳过精力测试评价页面
STE00001567	夺取物品是犯罪
STE00001568	夺取拥有物品的行为应与偷窃一样受到阵营惩罚。
STE00001569	自定义特殊点数
STE00001570	设置自定义的特殊点数分配，最低为7（每个技能分配一点）。
STE00001571	分配点数数量
STE00001572	特殊点数
STE00001573	分配精力测试或特殊书籍（TTW）后的总特殊点数。
STE00001574	7，
STE00001575	70
STE00001576	允许开火时使用武器快捷键
STE00001577	允许开火时使用武器快捷键。
STE00001578	在打开 PipBoy 动画时移动。
STE00001579	允许在打开 PipBoy 动画时移动。
STE00001580	瞄准时使用非准星动画和后坐力模式
STE00001581	使用瞄准时的非准星动画和后坐力模式，以防止开火后瞄准时武器留在脸前。请注意，这需要使用不同的动画，因为某些武器（如瞄准式鹿鼠步枪）的非瞄准后坐力模式在瞄准时看起来很糟糕。
STE00001582	恢复'2'快捷键
STE00001583	恢复'2'武器快捷键。需要 'Data/menus/prefabs/lStewieAl/2Hotkey.xml'。控制器用户需要通过其他方式绑定换弹（例如使用bDoubleTapReloadToChangeAmmoType）。
STE00001584	第二个插槽键
STE00001585	武器快捷键
STE00001586	键盘快捷键的扫描码
STE00001587	在标签上显示绑定键
STE00001588	在轮盘上使用绑定键的名称，而不是1/2/3...
STE00001589	负重包括抓取的物品
STE00001590	在判断玩家是否负重过重时，包括抓取（'Z'键）的物品堆重量。
STE00001591	使用动画变体
STE00001592	允许使用动画变体，类似于射击动画变体 - 需要第一人称和第三人称的动画文件。
STE00001593	换弹变体
STE00001594	动画变体
STE00001595	允许换弹变化。
STE00001596	装备/卸载变体
STE00001597	允许装备/卸载变化。
STE00001598	瞄准/自动瞄准变体
STE00001599	允许瞄准/瞄准IS变化。
STE00001600	自定义黑客答案长度
STE00001601	使用自定义公式计算黑客答案长度。
STE00001602	基础单词长度
STE00001603	黑客公式
STE00001604	基础单词长度。
STE00001605	难度乘数
STE00001606	在添加到单词长度前，应用于难度的乘数。
STE00001607	电脑达人答案长度加成
STE00001608	如果你有电脑达人技能，答案中移除的字符数。
STE00001609	奇数ID加成
STE00001610	如果终端引用ID为奇数，答案中增加的字符数。
STE00001611	最大单词长度。
STE00001612	最大答案长度。
STE00001613	最小单词长度。
STE00001614	黑客字典.txt文件中两字符长的单词不多）。
STE00001615	最小猜测次数
STE00001616	最小猜测次数
STE00001617	最大猜测次数
STE00001618	最大猜测次数
STE00001619	若不在危险中，则不显示罗盘上的所有NPC
STE00001620	如果你不在[危险]状态，隐藏罗盘上的所有NPC。
STE00001621	强制使用高分辨率武器模型
STE00001622	使用第一人称（高分辨率）模型显示NPC的武器
STE00001623	在罗盘上显示门
STE00001624	在罗盘上显示附近的门
STE00001625	罗盘门
STE00001626	室外显示门的最大距离。
STE00001627	室内显示门的最大距离。
STE00001628	显示已访问的格子
STE00001629	将已访问格子的门着色（不包括通往世界空间的门）。
STE00001630	根据距离淡入图标
STE00001631	根据玩家距离缩放门图标透明度。
STE00001632	已访问格子颜色
STE00001633	已访问RGB
STE00001634	已访问格子的红色/绿色/蓝色颜色，十六进制格式，如0xFF0088。
STE00001635	关键命中信息包含肢体名称
STE00001636	Easy Pete的胸膛遭受重击'。
STE00001637	菜单淡入淡出忽略时间尺度
STE00001638	让菜单淡入淡出效果忽略时间尺度。
STE00001639	激活时不要站起来
STE00001640	使用家具时激活时不要站起来，而是坐着时通过移动来站立。
STE00001641	无技能提升时无提示信息
STE00001642	阅读书籍无加成时，防止显示“技能提升0”的提示。
STE00001643	指南针淡入效果只针对左侧
STE00001644	在指南针左侧淡入NPC、门等图标。如果使用居中指南针，这很有用。
STE00001645	控制台文本阴影
STE00001646	使控制台输出文本变暗，并添加浅色阴影以提高可读性。
STE00001647	小游戏在最高级别时播放经验获取音效。
STE00001648	在黑客或开锁时，在玩家等级最高时播放获得经验的音效。
STE00001649	VATS臀部射击
STE00001650	在VATS模式下不瞄准进入，所有射击都会从臀部发出（不影响精度）。
STE00001651	交替升级音效
STE00001652	每升A或B级时播放备用升级音效。若A是B的倍数，则较大的数决定平局。
STE00001653	音效A
STE00001654	备用升级音效
STE00001655	播放音效的编辑器ID，每间隔'间隔A'级播放一次。
STE00001656	间隔A
STE00001657	每N级播放'音效A'。
STE00001658	音效B
STE00001659	播放的编辑器ID，每间隔'间隔B'级播放一次。
STE00001660	间隔B
STE00001661	每N级播放'音效B'。
STE00001662	敏捷度影响装填卡弹速度
STE00001663	使装填卡弹速度受装填速度倍率影响。
STE00001664	在水中奔跑较慢
STE00001665	根据在水中浸没的程度，调整步行/跑步时的移动速度。
STE00001666	涉水移动倍率
STE00001667	水影响移动速度
STE00001668	涉水时的最大移动速度惩罚。
STE00001669	 PipBoy手电筒和枪套使用时忽略时间尺度。
STE00001670	使用PipBoy手电筒或枪套热键时，即使时间变慢，也不会变得更长。
STE00001671	敌对目标在指南针上使用中性颜色。
STE00001672	让指南针上的敌对目标使用主UI颜色（而非红色）。
STE00001673	敏捷度影响跳跃高度。
STE00001674	jumpHeight = 1 + (fAgilityMult * (agility - 1))。
STE00001675	敏捷度倍增器
STE00001676	敏捷度影响跳跃高度
STE00001677	每高于1点敏捷度增加的倍数
STE00001678	使用钥匙奖励经验值
STE00001679	RewardXP = (基础经验值) + (原版锁经验) * (原版奖励比例)
STE00001680	基础经验值
STE00001681	钥匙奖励经验值
STE00001682	打开容器/门时获得的经验值奖励
STE00001683	原版奖励比例
STE00001684	根据锁的等级调整的基础经验值比例。不可能的锁与非常困难的锁奖励相同。
STE00001685	动画调试
STE00001686	将当前活动的动画名称打印到控制台左上角（你可以通过输入ToggleDebugText (TDT) 来查看控制台输出，同时保持控制台关闭）。
STE00001687	部分动画重载支持
STE00001688	在非空弹匣时添加对'部分'重载动画的支持。如果玩家的弹匣为空，游戏会选择以 '_partial' 结尾的动画。
STE00001689	NPC获取弹壳
STE00001690	让NPC在开火时获取弹壳。
STE00001691	溺水会消耗行动点。
STE00001692	溺水时，在受到伤害前会消耗行动点。
STE00001693	加快开锁菜单的进入速度。
STE00001694	加速进入开锁菜单的动画。
STE00001695	阻止不活动窗口滚动。
STE00001696	防止滚轮操作影响NV以外的窗口。
STE00001697	添加项目时使用项目图标。
STE00001698	在“添加到物品栏”消息中（需要图标替换器，否则会偏移中心）使用项目图标，而不是始终使用礼物图标。
STE00001699	装备时允许使用武器快捷键。
STE00001700	在切换武器时允许使用武器快捷键。
STE00001701	显示最近未发现的位置
STE00001702	始终在指南针或地图上显示最近未发现的位置。
STE00001703	在地图上显示
STE00001704	显示最近位置
STE00001705	在地图上显示最近未发现的位置。
STE00001706	在指南针上显示
STE00001707	在指南针上显示最近未发现的位置。
STE00001708	武器上下切换快捷键
STE00001709	使用左/右控制器摇杆切换绑定的武器。
STE00001710	修复需要武器技能。
STE00001711	如果修复技能低于武器所需的技能要求，不允许修复。例如，你需要75点修复技能来修复需要75点能量武器技能的武器。
STE00001712	最大 VATS 距离使用武器射程
STE00001713	使用玩家武器的最大射程来确定最大 VATS 目标距离 - 例如，你可以用狙击步枪瞄准比9毫米手枪更远的敌人。
STE00001714	VATS 使用武器距离
STE00001715	检查目标的最小范围
STE00001716	最大距离
STE00001717	检查目标的最大范围
STE00001718	武器射程倍增器
STE00001719	应用于武器最大射程的倍增因子
STE00001720	减少玩家痛苦声音的频率
STE00001721	在播放玩家痛苦声音之间添加最小间隔。
STE00001722	间隔 (毫秒)
STE00001723	战斗声音
STE00001724	玩家痛苦声音之间的最小时间间隔（以毫秒为单位）
STE00001725	更频繁的NPC灯光更新
STE00001726	更频繁地计算角色的光照级别（用于潜行）- 如果间隔太低，可能会带来轻微的性能损失。
STE00001727	探测器计时器间隔
STE00001728	探测器灯光计时器
STE00001729	更新间隔（秒），默认为3秒。
STE00001730	鼠标缩放地图
STE00001731	使本地和世界地图的缩放中心对准鼠标位置，而不是屏幕中心。
STE00001732	开锁菜单键盘移动
STE00001733	使用左右移动控制别针，跳跃和前后移动来转动螺丝刀。
STE00001734	基础速度
STE00001735	开锁菜单移动
STE00001736	左右别针移动的基础速度。
STE00001737	换挡速度倍增器
STE00001738	按住换挡时应用的移动速度比例。
STE00001739	CTRL速度倍增器
STE00001740	按住CTRL时应用的比例。
STE00001741	保存不会关闭暂停菜单
STE00001742	保存游戏后保持暂停菜单打开。
STE00001743	容器菜单存储所有热键
STE00001744	按住Shift键将左侧所有可见（即未通过类别/菜单搜索等过滤）的项目存储到当前容器中。
STE00001745	存储所有标签
STE00001746	容器存储所有
STE00001747	按住Shift时的“全部获取”替换标签。
STE00001748	容器获取所有不会关闭菜单
STE00001749	阻止“全部获取”按钮关闭容器。
STE00001750	全部获取确认
STE00001751	从容器中获取所有项目时显示确认消息。
STE00001752	消息出现的最低物品数
STE00001753	消息出现所需的最低物品数。
STE00001754	获取所有项目的确认提示文字。
STE00001755	获取所有项目时的确认消息。
STE00001756	只针对目标肢体的血腥残肢效果。
STE00001757	防止未被击中的肢体被血腥残肢效果肢解或爆炸。在原版游戏中，射击角色躯干时有随机概率会移除NPC的肢体。
STE00001758	取消热键选择
STE00001759	允许通过尝试将其分配到已有位置来移除某个物品的热键。
STE00001760	排序配方菜单
STE00001761	排序制作菜单。
STE00001762	排序模式
STE00001763	配方排序
STE00001764	按可制作优先
STE00001765	按可制作优先，字母顺序
STE00001766	满足技能需求
STE00001767	时间尺度影响装弹声音
STE00001768	根据游戏时间倍率调整装弹声音的音高和长度（例如使用turbo模式时）。
STE00001769	取消中毒确认
STE00001770	移除武器中毒时的确认提示，改为角落信息提示。从NPC处获取武器不会获得弹药。
STE00001771	从NPC处获取武器不会获得弹药
STE00001772	从NPC那里拿走武器时，不要额外获得弹药。在基础游戏中，如果你在游戏重载前拿走一个NPC装备的武器（比如死去的NPC），你可以随机获得一定数量的弹药（基于弹匣容量）。例如，拿走一把.357左轮手枪，你可能会得到0到6发子弹。
STE00001773	取消游戏退出确认
STE00001774	在主菜单中点击退出游戏时，跳过退出确认。
STE00001775	活体解剖显示DR
STE00001776	启用活体解剖优势时，显示伤害抵抗，并移除小数点。如果DR/DT为零，还会隐藏它们。
STE00001777	即使满血也显示
STE00001778	活体解剖
STE00001779	即使NPC生命值已满，也显示其生命条。
STE00001780	升级预览技能
STE00001781	升级时始终显示技能选择界面，即使没有点数分配。
STE00001782	放置标记点
STE00001783	地图菜单中的右键点击放置标记会直接在悬停位置放置。
STE00001784	影响局部地图
STE00001785	在位置放置标记点
STE00001786	在局部地图中，将标记对准门。
STE00001787	}]
STE00001788	即使NPC已抓到你，也允许扒窃。
STE00001789	即使NPC已抓到你，也允许扒窃。
STE00001790	在击杀回放中隐藏准星。
STE00001791	击杀回放中隐藏准星。
STE00001792	击杀回放中隐藏血条。
STE00001793	击杀回放中隐藏血条。
STE00001794	自定义相机时，UI跟随旋转。
STE00001795	使用自定义相机视角时，旋转时移动指南针。
STE00001796	UI武器名称标签
STE00001797	装备时在AP上方显示当前武器名称。可通过编辑'menus/prefabs/lStewieAl/WeaponNameLabel.xml'进行自定义。
STE00001798	压缩重复控制台消息
STE00001799	连续重复的单行控制台消息后添加 -#count。
STE00001800	禁用PipBoy空闲动画
STE00001801	Characters/male/IdleAnims/1stPPipBoyWaver.kf 等。
STE00001802	保存角色选择器
STE00001803	menus/prefabs/lStewieAl/SaveCharacterSelector.xml。
STE00001804	无激活过滤器文本
STE00001805	角色选择器
STE00001806	在未应用角色过滤器时，保存/加载菜单中显示的文本。
STE00001807	腿部受伤时禁用快速旅行
STE00001808	如果腿部受伤，阻止快速旅行。
STE00001809	腿部受伤快速旅行
STE00001810	尝试使用断腿快速旅行时显示的消息
STE00001811	武器热键 - 如果装备会收回武器
STE00001812	按下当前装备武器的热键会收起或拔出，而不是解除装备。
STE00001813	不要收起武器
STE00001814	当前武器热键
STE00001815	对于已装备的武器，按下武器键将无任何动作（而不是解除装备）。
STE00001816	不在工作台时不允许修理
STE00001817	不在工作台时禁止修理物品。
STE00001818	改进种族菜单
STE00001819	允许使用鼠标右键或控制器的Y键进行视角滚动，并增加最小缩放比例。
STE00001820	阻止玩家移动
STE00001821	阻止菜单中的动画（摇摆等）播放。
STE00001822	水平滚动速度缩放。
STE00001823	调整鼠标右键水平滚动方向的速度。
STE00001824	垂直滚动速度缩放。
STE00001825	调整鼠标右键垂直滚动方向的速度。
STE00001826	地图标记显示派系名称
STE00001827	在地图标记名称下方显示派系名称，例如（Goodsprings - 中立）。
STE00001828	如果没有声望则隐藏
STE00001829	地图标记派系
STE00001830	只有在与该派系有声望时才显示位置声望。
STE00001831	容器右键点击切换到上一类别
STE00001832	在容器/交易/配方菜单中，右键点击使类别循环到上一类别。
STE00001833	无效BSFadeNode打印错误
STE00001834	 %08X'警告。如果你是作者，建议你保持开启，以便知道哪些网格损坏。设置已隐藏（在[Tweaks]下添加bInvalidBSFadeNodePrints=0来禁用）。
STE00001835	显示活动任务注释
STE00001836	如果为空，隐藏声望标签
STE00001837	如果你没有任何派系声望，隐藏统计菜单中的声望标签和按钮（主要用于TTW）。
STE00001838	显示活动任务注释 显示所有开始但未完成的任务注释
STE00001839	使'显示活动任务注释'按钮显示所有开始但未完成任务的注释。
STE00001840	隐藏热键栏中的项目 在交易中
STE00001841	隐藏交易菜单中的热键项目。
STE00001842	隐藏容器中的热键项目。
STE00001843	隐藏容器菜单中的热键项目。
STE00001844	编号计算机热键
STE00001845	在计算机菜单中添加0-9的热键以选择选项。
STE00001846	显示列表编号
STE00001847	计算机热键
STE00001848	在每个菜单选项前添加列表编号。
STE00001849	显示书籍效果
STE00001850	永久性说话+1'。
STE00001851	效果前缀
STE00001852	书籍效果
STE00001853	在 {SKILL} + 1 之前显示的前缀。
STE00001854	自动继续游戏
STE00001855	在开始菜单时自动继续游戏。
STE00001856	排序杂项统计
STE00001857	排序统计菜单中的杂项统计页面。
STE00001858	杂项统计排序
STE00001859	字母顺序（原版）+ 未排序（自定义）
STE00001860	按值排序
STE00001861	字母顺序/以零结尾
STE00001862	显示在同伴容器中全部拿取
STE00001863	查看同伴装备时显示“全部拿取”按钮。
STE00001864	阻止灌木丛声音穿透。
STE00001865	行走时阻止播放灌木丛声音。
STE00001866	同步容器类别。
STE00001867	像《辐射4》一样同步左右物品类别。
STE00001868	拿取最后一个物品时阻止自动切换类别。
