GID00086201	RobcOS v.85
GID00086716	66号避难所大型机存档条目45156
GID00086717	机F0文件 - 仅2政府11阅
GID00086718	主==: G##000 $$$se
GID00086719	LL能: 地%政00应%物资安全存@@。
GID00086720	实现: 中$$掩+, 无人#制。一旦@封，预计命为50KK。
GID00086721	信4:
GID00086722	安2密码: 不适5。预7安全密7就足4了。
GID00086723	5置:东*2200xx0000铁#隧道。主4口2隧0内，#务0口经%道入#的变0站。
GID00086724	22问密?: S#$#-#8$G-00##-#$3X
GID00086725	Ac22ss C?dP: S#$#-#8$G-00##-#$3X
GID00086726	100010277208200513782082005135720820051%10.10s%02.0f/%02.0f/%04
GID00086727	######00 111111000%%%%))))) @@
GID00086728	10001027720820051378208 2005135720820051%10.10s%02  .0f/%02.0f/%04
GID00086729	######0011  1111000%%%%))))) @@
GID00086730	66号避难所大型机存档条目45109
GID00086731	机++文$$ - 仅xx@府#阅
GID00086732	#题: Wo80 SxaRk
GID00086733	FuBB~ion: AcJJm99dat22n foo LLLal 3ov77nm##t 10.10s%02.0f/%
GID00086734	77208200513782082   00513 02.0f/%04.0f %10.10s  <<<<<{}@@@@＃  &&&&))))))) 000000000 0&&&&&&&&777777777777GFGFDXCXCXCX#### 7777777777 xxxxxxxxxx WWWW 333333333333 33 00000000000 1111
GID00086735	已收到 - 蓝光 
GID00086736	嘿，布兰德，你这个白痴
GID00086737	你还记得伯吉斯这个名字吗？这名字不是几年前从你那条隧道里消失的小丑那里听来的吗。猜猜谁出现了，在海福德顶上的老房子里露宿了。一个食尸鬼，讨厌的家伙，还问了很多问题。
GID00086738	发送 - 蓝光
GID00086739	是的，我记得。
GID00086740	好了别傻坐着，看看他在玩什么把戏。如果有必要，可以试探一下他，但别用艾玛，她是个好女孩。找一个路过的废土客，最好是智商至少达到两位数的人(这当然会把你排除在外)。).
GID00086741	已收到2 - 蓝光 
GID00086742	我当然不会用艾玛，你个白痴。留意一群在NCR指挥下的雇佣兵，不知道他们在做什么，但肯定是坏事。
GID00086743	你已经整理好你的沼蟹农场了吗？还是它们还在被水果植物吃掉!真有趣，但如果你把它解决了，就送一些沼蟹肉给安琪儿去。
GID00086744	已收到3 - 蓝光 
GID00086745	嘿，操你妈的，
GID00086746	我有关于伯吉斯的消息。我找了个长得很丑的淘金客去他家，他似乎对地上小屋很感兴趣，我估计这个淘金客还有更多的信息。我把你的名字告诉他们了，让他们去找你。小心，这个人有一个军火库，而且毫不吝啬地使用它。
GID00086747	哦，还有那个NCR的小队，看起来他们在找怪胎中心。那就麻烦了。
GID00086748	提醒
GID00086749	要完成那批弹药的运送，安琪儿一定会很快回来，并期待它的到来。
GID00086750	我会去找艾玛的，我的女儿需要振作起来，完成一些工作，她太爱幻想，太理想化了，就像她妈妈一样。但这就是你的波克家族。
GID00086751	酒店日志 1 
GID00086752	今天来了一群雇佣兵和淘金客。我们做了一些生意，他们在酒店过夜，我认为他们由于某种原因正前往锡安，尽管他们对此讳莫如深。据我所知，这群人内部也有一些争执，也许他们还有一些人在附近，我会继续留意的。
GID00086753	酒店日志 2 
GID00086754	今天又来了一大群人。不确定他们的故事是什么，似乎是NCR的行动，但大部分步兵是毒蛇帮或其他帮派的人。除了通常的情况，他们并没有带来太多麻烦，但这是一个奇怪的组合。他们对丽斯和她的收费桥也没有太多微词，我想她只是在短暂的交火后跑了。如果她回来的话，这可能会引起一些问题。
GID00086755	不过我不喜欢这群人的样子，可能得给我那个白痴妹夫捎个信。
GID00086756	伯吉斯
GID00086757	我得搞清楚这家伙的底细。他到这里已经一个月了，但他不是那种喜欢安定下来的人。
GID00086758	他是个卑鄙下流的家伙，在处理我们当地的掠夺者问题上很有用，但他一直在到处窥探，问了一大堆问题。
GID00086759	他肯定有什么企图，我得查出是什么。
GID00086760	怪人报告
GID00086761	我不相信那个怪人弗罗比舍。那天和某个妓女一起消失了，没想到他还有这个本事。
GID00086762	他是个古怪的家伙，但一直是垃圾的好顾客。肯定在河上游的某个地方有个住处，我猜是在北边。
GID00086763	研究备忘录 
GID00086764	长官
GID00086765	我把尼斯博士“限制”在他的办公室里了，把他关在其中一个笼子里似乎不合适，因为我们过去对其他人做过。
GID00086766	也许将来我们可以为他做点什么，但是我们现在处理的这些化合物太复杂了。
GID00086767	我们只能继续他的工作，希望我们能找到解决办法，但由于他是这一切的幕后主使，他的情况对我们来说是一个真正的挫折。尼斯博士以为他已经控制住了病情，但我们肯定漏掉了什么。我们将尽我们所能。
GID00086768	高级研究技术员
GID00086769	尼斯博士定向通信
GID00086770	日记06：舍伍德下士
GID00086771	我们受够了。他们让一些人把装满放射性废料的桶搬到外面坍塌的房间里，我们把上尉和他的亲信都抓了起来把他们都锁在反应堆室里，让他们尝尝这滋味。
GID00086772	他们很快就会出来，但辐射很快就会杀死他们，即使不能，我们也要把隧道的其余部分封死。
GID00086773	我们已经吃完了想吃的东西，把剩下的食物都据为己有。我们要回去找我们的家人，去他妈的军队，去他妈的政府。没有什么值得战斗的了，没有什么国家值得服务了。一切都完蛋了，是他们造成的。
GID00086774	研究备忘录 
GID00086775	长官
GID00086776	感谢您对维持植物群用的紫外线照明的关注。我很清楚畏光症会对我们的居民产生有害影响，但你必须明白，这些植物在我们的空气过滤系统中起着重要的作用，如果我们永久关灯，它们就会死亡。
GID00086777	我们可以在灯亮着的时候将中庭关闭一段时间，任何必须进入中庭的人都可以戴上合适的护目镜。你们已经有了用于外部巡逻和回收小队的改良型安全头盔。
GID00086778	高级研究技术员
GID00086779	尼斯博士定向通信
GID00086780	另外，如果你能正确处理目前的“访客”，我们将有足够的牲畜，这样我们就不用冒险出门了，至少在一段时间内。
GID00086781	已保存的电子邮件01 
GID00086782	杰夫，我之前告诉过你，我不会为机器人服务生成时间表代码，这是不需要的。
GID00086783	已保存的电子邮件02 
GID00086784	杰夫，别抱怨了，快干活。我每周都会看你们的时间表，我知道你们在机器人维修上花的时间并不比在铁路维修上花的时间多。做这些不是浪费时间，因为我们的预测表明它们将提高34.7%的效率。
GID00086785	别再找德斯的茬了，别再藏他的幸运恐龙玩具了，我真的没时间听这些废话。
GID00086786	已保存的电子邮件03 
GID00086787	说到时间表，你又迟了。你知道时间表必须在周末前提交，把它整理好。而且你不要提前一周以上做任何事情。
GID00086788	自动生成的电子邮件
GID00086789	当前时间表状态
GID00086790	马库斯·巴克斯特 - 迟到999周以上
GID00086791	迈克尔·戴维斯 - 迟到999周以上
GID00086792	阿尔伯特·埃文斯 - 迟到999周以上
GID00086793	罗伯特·格林 - 迟到999周以上
GID00086794	卡尔·穆勒 - 迟到999周以上
GID00086795	杰弗里·史密斯 - 至今
GID00086796	尼古拉斯·泰特 - 迟到999周以上
GID00086797	记录姓名
GID00086798	追踪日志37/43：贝丝 - 第15天
GID00086799	破解了！斯通计划，接入码:DH65-HJ2976。安全密码快弄好了。
GID00086800	我想这是一个战前的设施，但只有一个地名我不认识。没有坐标数据。
GID00086801	RobcOS v.85
GID00086802	(C)2076 Robco 
GID00086803	========================
GID00086804	| 用户日志:
GID00086805	| >> 管理员 (RobcoID 2902-C)  
GID00086806	| >> 默认目标参数:
GID00086807	| >>> 政府用户组
GID00086808	| >>> 协议编号:  '斯通计划'
GID00086809	========================
