STE00000001	移除截图提示
STE00001243	保持装备损坏物品
STE00001244	武器损坏时，不显示提示，且保持装备。
STE00001245	扒窃已装备物品
STE00001246	允许扒窃NPC已装备的物品。
STE00001247	仅收起的武器
STE00001248	仅当武器处于收起状态，允许扒窃。
STE00001249	VATS中允许移动
STE00001250	VATS击杀镜头期间允许移动。
STE00001251	点击显示终端文本
STE00001252	点击终端显示全部文本，再次点击进入下一页。
STE00001253	反转哔哔小子修理菜单排序
STE00001254	将耐久度高的物品排到修理列表底下。
STE00001255	移除世界边界但保留警告
STE00001256	允许走出世界边界，期间重复提示越界。相当于在FalloutCustom.ini的[General]下设置bBorderRegionsEnabled = 0，但是保留了警告信息。
STE00001257	重复挑战指示
STE00001258	在哔哔小子查看挑战时，给可重复的挑战加上“（重复）”，例如4/10（重复）。
STE00001259	重复描述
STE00001260	显示在重复挑战上的描述。
STE00001261	自定义字幕距离
STE00001262	一般字幕可显示的最远距离。距离太长时你可能需要提高iSpeakSoundLipDistance这个gamesetting，其默认值为750。
STE00001263	字幕距离
STE00001264	字幕距离，原版为500单位。
STE00001265	瞄准镜延迟显示
STE00001266	进入瞄准时延迟显示瞄准镜，可选禁止在装弹时进入瞄准镜。
STE00001267	瞄准镜显示延迟
STE00001268	瞄准镜覆盖显示前的延迟时间。
STE00001269	装弹时退出瞄准
STE00001270	装弹或卡壳时退出瞄准。
STE00001271	总是显示武器动画
STE00001272	对所有武器强制应用“uses 1st person iron sights anims”标签。
STE00001273	第三人称延迟
STE00001274	第三人称中延迟瞄准镜。
STE00001275	禁止战斗中治疗
STE00001276	处于[危险]状态时禁止治疗生命值和肢体状态。
STE00001277	消息
STE00001278	战斗中尝试治疗时提示消息。
STE00001279	在特质菜单中隐藏档次
STE00001280	在特质菜单中隐藏特质的档次，这是从特长菜单中照搬过来的。
STE00001281	特长菜单排序
STE00001282	给升级时的特长选择菜单排序。
STE00001283	特长排序模式
STE00001284	按等级反向排序
STE00001285	可用优先，且按字母
STE00001286	更少限制的VATS菜单
STE00001287	VATS中取消行动，允许在放大/缩小过程中退出。
STE00001288	禁用转身动画
STE00001289	禁用玩家转身动画，以免停止转身时滑步。
STE00001290	自定义物品已添加消息时间
STE00001291	自定义“物品已添加”消息的显示时间。
STE00001292	“物品已添加”时间
STE00001293	“物品已添加”消息的显示时间（秒）。
STE00001294	对远处不可见目标不显示红色准星
STE00001295	对远处不可见目标不显示红色准星。
STE00001296	致命的非前线暴击总是断肢
STE00001297	致命的非前线暴击总是断肢或爆炸。
STE00001298	仅暴击断肢
STE00001299	非暴击不能断肢。
STE00001300	没有免费物品
STE00001301	给免费物品设定价格，如弹壳。受买卖乘数计算影响。
STE00001302	免费物品价格
STE00001303	购买免费物品时的价格。
STE00001304	局部化近战伤害
STE00001305	让近战和徒手伤害使用肢体伤害乘数。
STE00001306	应用于玩家对NPC
STE00001307	应用于玩家对NPC的伤害。
STE00001308	应用于NPC对玩家
STE00001309	应用于NPC对玩家的伤害。
STE00001310	应用于NPC对NPC
STE00001311	应用于NPC对NPC的伤害。
STE00001312	动画播放时延迟收起武器
STE00001313	动画播放时按收起武器，武器会在动画播放结束后收起。而不是像原版里无事发生。
STE00001314	破解失败不锁定终端
STE00001315	破解失败不锁定终端。
STE00001316	延迟声望提示到战斗后
STE00001317	战斗结束3秒后再显示声望变化提示。
STE00001318	移除玩家名称长度上限
STE00001319	移除玩家名称的字符长度上限。
STE00001320	跳过体能检测机的SPECIAL页面
STE00001321	直接跳到总结页面。
STE00001322	抓取物品是犯罪
STE00001323	抓取有主的物品视同偷窃。
STE00001324	偷窃判定最小价值
STE00001325	判定偷窃所需的最小物品价值。
STE00001326	自定义SPECIAL点数
STE00001327	自定义可以分配的SPECIAL点数，最小为7（每样一点）。
STE00001328	可分配点数
STE00001329	通过体能检测机或SPECIAL书（TTW）分配完成后的总SPECIAL点数。
STE00001330	开火时可用武器快捷键
STE00001331	开火时可用武器快捷键。
STE00001332	开启哔哔小子动画中移动
STE00001333	开启哔哔小子的动画播放时可以移动。
STE00001334	机瞄使用腰射动画
STE00001335	对机瞄武器使用腰射动画和后坐力模式，避免开火后退出瞄准时武器挡在脸上。注意，这需要一套新的动画，有些武器如带镜狐鼠步枪的钥匙后坐力模式在瞄准时看着很丑。
STE00001336	恢复数字2快捷键
STE00001337	恢复数字2武器快捷键。需要“Data/menus/prefabs/lStewieAl/2Hotkey.xml”。手柄玩家需要另外绑定切换弹药种类键，如开启bDoubleTapReloadToChangeAmmoType。
STE00001338	第二槽键位
STE00001339	第二槽键位的DirectX scan code。
STE00001340	在标签上显示键位
STE00001341	显示绑定的热键，而不是1/2/3……
STE00001342	抓取的物品计入超重
STE00001343	计算玩家是否超重时，包含玩家按Z抓取的物品。
STE00001344	使用动画变种
STE00001345	允许使用动画变种，类似开火动画的变种。需要第一人称和第三人称动画文件。
STE00001346	装弹变种
STE00001347	允许装弹动画变种。
STE00001348	装备/卸下变种
STE00001349	允许装备/卸下动画变种。
STE00001350	瞄准变种
STE00001351	允许瞄准动画变种。
STE00001352	自定义破解答案长度
STE00001353	使用自定义公式决定破解答案的长度。
STE00001354	基础单词长度
STE00001355	基础单词长度。
STE00001356	难度乘数
STE00001357	先对难度作用乘数，再加到单词长度上。
STE00001358	电脑鬼才奖励
STE00001359	电脑鬼才特长减少的单词长度。
STE00001360	奇数ID奖励
STE00001361	如果终端的ref ID是奇数，追加字母个数。
STE00001362	最大单词长度
STE00001363	最大答案长度。
STE00001364	最小单词长度。
STE00001365	最小答案长度（最小为2，注意：在hacking dictionary.txt文件中没有多少长度为2的单词）。
STE00001366	最小猜测数
STE00001367	最小猜测数。
STE00001368	最大猜测数
STE00001369	最大猜测数。
STE00001370	危险状态外无罗盘显示
STE00001371	玩家不在[危险]状态时，罗盘不显示NPC。
STE00001372	强制使用武器高模
STE00001373	让NPC武器使用玩家第一人称使用的高模。
STE00001374	在罗盘上显示门
STE00001375	在罗盘上显示附近的门。
STE00001376	室外显示门的最大距离。
STE00001377	室内显示门的最大距离。
STE00001378	显示去过的Cell
STE00001379	通往已去过Cell的门标记颜色（不包括通往大世界的门）。
STE00001380	图标随距离淡出
STE00001381	按跟玩家的距离缩放门图标的透明度。
STE00001382	去过的门的颜色
STE00001383	去过的门的颜色，16进制颜色代码。
STE00001384	暴击消息中包含肢体名字
STE00001385	在暴击消息中包含肢体名字。如“对闲人彼得的躯干造成暴击”。
STE00001386	菜单淡入淡出无视时间倍率
STE00001387	菜单的淡入淡出无视时间倍率乘数。
STE00001388	互动时不站起
STE00001389	坐着时互动物体不用先站起来。
STE00001390	技能提升为0时不提示
STE00001391	如果读书提升的技能为零，不显示“技能提升了0”。如果技能提升了分数值，显示两位小数。
STE00001392	罗盘左侧淡出
STE00001393	使罗盘左侧的图标淡出。适合在罗盘居中时使用。
STE00001394	控制台文本阴影
STE00001395	使控制台输出文本变暗，并附加阴影，提升可读性。
STE00001396	最高等级时播放小游戏经验音效
STE00001397	玩家达到最高等级后，仍播放破解和开锁小游戏获得经验的音效。
STE00001398	VATS腰射
STE00001399	未瞄准状态下进入VATS会进行腰射（不影响精确度）。
STE00001400	不同的升级音效
STE00001401	每隔A级或B级时播放一个不同的升级音效，如果A是B的倍数，更大的那个覆盖。
STE00001402	音效A
STE00001403	每隔A级播放的音效的Editor ID。
STE00001404	间隔A
STE00001405	每隔A级播放音效A。
STE00001406	音效B
STE00001407	每隔B级播放的音效的Editor ID。
STE00001408	间隔B
STE00001409	每隔B级播放音效B。
STE00001410	敏捷影响换弹卡壳时间
STE00001411	换弹速率乘数也作用于换弹卡壳的时间。
STE00001412	水中更慢奔跑
STE00001413	走/跑过水域时根据浸入的程度减速。
STE00001414	涉水移动乘数
STE00001415	涉水移动时的最大移速惩罚。
STE00001416	哔哔小子灯光和收起武器无视时间倍率
STE00001417	时间变慢时，哔哔小子灯光和收起武器的速率不受影响。
STE00001418	罗盘上敌对目标使用中立颜色
STE00001419	罗盘上的敌对目标显示为主HUD颜色，而非HUDAlt（红色）。
STE00001420	敏捷影响跳跃高度
STE00001421	根据敏捷缩放跳跃高度。公式为：跳跃高度=1+(fAgilityMult * (敏捷 - 1))
STE00001422	敏捷乘数
STE00001423	大于1的每点敏捷提供的乘数。
STE00001424	使用钥匙也获得经验
STE00001425	使用钥匙开门也获得经验。公式为：经验奖励=(基础经验)+(原版开锁经验)*(原版奖励缩放)。
STE00001426	基础经验
STE00001427	用钥匙开启容器/门时获得的经验。
STE00001428	原版奖励缩放
STE00001429	根据锁的难度应用的原版经验缩放。不可能难度的锁不获得经验。
STE00001430	需要技能
STE00001431	只有达到开锁技能要求时才奖励经验。
STE00001432	密码解锁终端也奖励经验
STE00001433	使用密码解锁终端时获得经验。公式为：经验奖励=(基础经验)+(原版破解经验)*(原版奖励缩放)。
STE00001434	使用密码解锁终端奖励的经验。
STE00001435	动画调试
STE00001436	将当前播放的动画打印到控制台左上角{你可以输入ToggleDebugText（TDT）来在控制台外查看输出}。
STE00001437	支持不完整换弹动画
STE00001438	弹匣非空时换弹启用“不完整”换弹动画。如果弹匣已空，让游戏选用“_partial”结尾的动画。
STE00001439	NPC可以获得弹壳
STE00001440	NPC开火时可以获得弹壳。
STE00001441	溺水消耗行动点数
STE00001442	溺水时先消耗行动点数，之后再受到伤害。
STE00001443	更快地进入开锁菜单
STE00001444	加速进入开锁菜单的动画。
STE00001445	阻止滚轮影响后台窗口
STE00001446	阻止鼠标滚轮影响NV之外的其它窗口。
STE00001447	添加物品时显示图标
STE00001448	在“物品已添加”消息中显示物品的图标（如果有的话），而不是通用的礼物盒图标（你需要一个图标替换mod，否则图标会不对齐）。
STE00001449	装备武器时允许武器快捷键
STE00001450	切换武器的过程中允许使用武器快捷键。
STE00001451	显示最近的未发现地点
STE00001452	在地图上显示距离最近的未发现地点。
STE00001453	在地图上显示
STE00001454	在罗盘或地图上显示距离最近的未发现地点。
STE00001455	在罗盘上显示
STE00001456	在罗盘上显示距离最近的未发现地点。
STE00001457	武器上下轮换快捷键
STE00001458	用手柄方向键的左/右轮换绑定快捷键的武器。
STE00001459	修理需要武器技能
STE00001460	修理技能小于武器技能需求时，禁止修理。比如要修一个需要为75能量武器技能的武器，就需要75点修理。
STE00001461	最大VATS距离设为武器距离
STE00001462	用武器的最大距离决定VATS的最大距离，比如用狙击枪的VATS距离将大于9毫米手枪。
STE00001463	选取目标的最小距离。
STE00001464	最大距离
STE00001465	选取目标的最大距离。
STE00001466	武器距离乘数
STE00001467	应用于武器最大距离的乘数。
STE00001468	降低玩家痛苦音效频率
STE00001469	设定玩家痛苦音效的最小播放间隔。
STE00001470	间隔（毫秒）
STE00001471	两次痛苦音效之间的最小间隔。
STE00001472	NPC光照更频繁更新
STE00001473	更频繁地计算角色的光照等级（用于计算潜行），间隔太短时可能略微恶化游戏性能。
STE00001474	探测时间间隔
STE00001475	探测值更新的时间间隔，原版为3秒。
STE00001476	地图朝鼠标放大
STE00001477	在本地和世界地图放大时，以鼠标位置而不是以屏幕中点为中心。
STE00001478	开锁菜单键盘移动
STE00001479	用左右移动控制发夹，跳跃和前后旋转螺丝刀。
STE00001480	基础速率
STE00001481	发夹左右运动的基础速率。
STE00001482	Shift速率乘数
STE00001483	按住shift时的速率乘数。
STE00001484	Ctrl速率乘数
STE00001485	按住ctrl时的速率乘数。
STE00001486	保存游戏不关闭暂停菜单
STE00001487	保存游戏后不关闭暂停菜单。
STE00001488	容器菜单全部存放快捷键
STE00001489	按住shift将所有可见的物品（没有被分量/菜单搜索等排除的物品）从左侧存放到当前容器。
STE00001490	全部存放标签
STE00001491	按住shift时将“全部拿取”替换为“全部存放”。
STE00001492	容器全部拿取后不关闭菜单
STE00001493	容器全部拿取后不关闭菜单。
STE00001494	拿取全部确认
STE00001495	从容器中拿取全部物品时，弹出确认消息。
STE00001496	显示消息的最小物品数
STE00001497	超过这个数量的物品才显示提示。
STE00001498	确认提示文本
STE00001499	确认提示中显示的文本。
STE00001500	瘟神只打爆命中的肢体
STE00001501	瘟神不再打爆没有命中的肢体。原版中有一个随机的可能，射击NPC躯干时其肢体会全部移除。
STE00001502	解绑快捷键
STE00001503	同一槽位再次绑定已绑定的物品，将解除绑定。
STE00001504	配方菜单排序
STE00001505	配方菜单排序。
STE00001506	排序模式
STE00001507	可制作的优先
STE00001508	可制作的优先，且按字母
STE00001509	达到技能需求的
STE00001510	时间倍率影响装弹音效
STE00001511	根据游戏时间倍率缩放装弹音效的音调与时长。
STE00001512	移除淬毒确认
STE00001513	给武器淬毒时无需确认，将警告信息显示为角落消息。
STE00001514	拿NPC武器不附带弹药
STE00001515	拿走NPC武器时不获得额外弹药。原版游戏中，在下次读档前拿走NPC武器，你会根据弹匣大小获得随机数量的弹药。
STE00001516	退出游戏无需确认
STE00001517	在主菜单点退出游戏时无需确认。
STE00001518	活体解剖显示减伤
STE00001519	活体解剖特长也可以显示减伤（DR），移除小数点部分。也可以选择隐藏免伤/减伤。
STE00001520	满血显示血条
STE00001521	NPC满血时也显示血条。
STE00001522	升级时预览特长
STE00001523	升级但没有特长点时，也显示菜单以便预览。
STE00001524	给地点放置标记
STE00001525	地图菜单右键，在鼠标悬浮的地点创建地图标记。
STE00001526	影响本地地图
STE00001527	本地地图中的标签居中在门处。
STE00001528	被抓后也能扒窃
STE00001529	允许继续扒窃抓到过你的NPC。
STE00001530	装弹时隐藏准星
STE00001531	装弹时隐藏准星。
STE00001532	击杀镜头中隐藏准星
STE00001533	击杀镜头中隐藏准星。
STE00001534	击杀镜头中隐藏血条
STE00001535	击杀镜头中隐藏血条。
STE00001536	HUD跟随观景相机旋转
STE00001537	按住视角键旋转观景相机时，罗盘也转动。
STE00001538	HUD显示武器名称
STE00001539	在行动点数条上显示装备的武器名称。在“menus/prefabs/lStewieAl/WeaponNameLabel.xml”中编辑。
STE00001540	收起的武器也显示
STE00001541	显示收起的武器名称。
STE00001542	切换武器时瞬间切换名称
STE00001543	切换武器时瞬间切换名称。
STE00001544	淡入时间
STE00001545	标签淡入时间（毫秒）。
STE00001546	显示时间
STE00001547	标签显示的时间（毫秒）。
STE00001548	淡出时间
STE00001549	标签淡出时间（毫秒）。
STE00001550	压缩控制台重复消息
STE00001551	连续的相同控制台输出压缩为一行，并标注数量。
STE00001552	禁用哔哔小子闲置动画
STE00001553	禁用哔哔小子闲置动画（用于左右摇晃）。原版动画文件为Characters/male/IdleAnims/1stPPip-BoyWaver.kf等。
STE00001554	存档按角色划分
STE00001555	在存档/读档菜单按角色划分不同存档，便于索引。在menus/prefabs/lStewieAl/SaveCharacterSelector.xml中编辑。
STE00001556	未筛选提示
STE00001557	存档/读档菜单中未开启筛选时，显示的提示。
STE00001558	腿部残疾时禁用快速旅行
STE00001559	腿部残疾时禁用快速旅行。
STE00001560	腿部残疾时尝试快速旅行的提示。
STE00001561	已装备武器按快捷键收起
STE00001562	已装备的武器，再按快捷键时收起或掏出，而不是脱下。
STE00001563	不要收起武器
STE00001564	已装备武器再按快捷键无事发生。
STE00001565	禁止工作台外修理武器
STE00001566	禁止工作台外修理武器。
STE00001567	增强种族菜单
STE00001568	允许使用鼠标右键或手柄Y键平移相机，并提高最小缩放距离。
STE00001569	禁用玩家移动
STE00001570	在种族菜单中禁用玩家角色的动画（摇晃等）。
STE00001571	X轴平移速率
STE00001572	缩放按右键沿X轴平移的速率。
STE00001573	Y轴平移速率
STE00001574	缩放按右键沿Y轴平移的速率。
STE00001575	地图标记显示派系名称
STE00001576	在地名下显示派系名称，如（清泉镇-中立）。
STE00001577	无声望时隐藏
STE00001578	如果玩家在该派系无声望，不显示声望。
STE00001579	容器内右键返回上一个分类
STE00001580	在容器、交易、配方菜单中，右键返回上一个分类。
STE00001581	打印非法BSFadeNode
STE00001582	禁用“[Tweaks] Invalid BSFadeNode Detected - Linked Obj ID: %08X”警告。如果你是一个mod作者，建议保持开启，提醒你你的哪个模型是坏的。这个设置可以在[Tweaks]下写上bInvalidBSFadeNodePrints=0来关闭。
STE00001583	无声望时隐藏声望页面
STE00001584	无声望时隐藏声望页面（主要为TTW设计）。
STE00001585	显示激活任务的笔记时显示所有已开始任务的笔记
STE00001586	“显示激活任务的笔记”按钮会显示所有已开始的未完成任务的笔记。
STE00001587	交易中隐藏绑定快捷键的物品
STE00001588	交易中隐藏绑定快捷键的物品。
STE00001589	容器中隐藏绑定快捷键的物品
STE00001590	容器中隐藏绑定快捷键的物品。
STE00001591	电脑中使用数字快捷键
STE00001592	在电脑菜单中使用数字0-9快捷键选择选项。
STE00001593	显示数字序号
STE00001594	在菜单选项前添加数字序号。
STE00001595	显示技能书效果
STE00001596	在哔哔小子中可以查看技能书效果。
STE00001597	效果前缀
STE00001598	在{技能}+1前显示的前缀。
STE00001599	自动继续游戏
STE00001600	进入开始菜单时自动继续游戏。
STE00001601	杂项统计排序
STE00001602	给统计菜单的杂项页面排序。
STE00001603	原版内容按字母，mod内容不排序
STE00001604	按数值
STE00001605	按字母/值为0的排最后
STE00001606	在同伴库存中显示全部拿走
STE00001607	在同伴库存中显示全部拿走按钮。
STE00001608	禁用灌木丛音效
STE00001609	禁用穿过灌木丛时的音效。
STE00001610	同步容器分类
STE00001611	像辐射4中那样，在容器左右半边同步分类选择。
STE00001612	拿走分类中最后一件物品后不自动切换分类
STE00001613	拿走分类中最后一件物品后不自动切换分类。
STE00001614	随机击杀镜头模式
STE00001615	随机选择电影式或玩家视角击杀镜头。
STE00001616	如果目标已死则不损坏近战武器
STE00001617	近战攻击已死NPC时，不减少武器耐久度。
STE00001618	开锁和破解消息显示当前技能
STE00001619	在“你需要X点技能破解这个终端”消息中显示玩家当前技能。
STE00001620	开锁消息
STE00001621	破解消息
STE00001622	玩家死亡时不播放武器掉落音效
STE00001623	玩家死亡时不播放武器掉落音效。
STE00001624	按攻击键时开关手柄
STE00001625	当按手柄攻击键时切换到手柄，点击鼠标左键时切换到键鼠。
STE00001626	禁用手柄已连接提示
STE00001627	禁用手柄已连接提示。
STE00001628	攀爬陡坡
STE00001629	调整行走/跳跃/自动行走的最大角度。原版限制为47度。
STE00001630	最大行走角度
STE00001631	最大行走角度（度为单位）。
STE00001632	最大跳跃角度
STE00001633	最大跳跃角度（度为单位）。
STE00001634	最大自动行走角度
STE00001635	最大自动行走角度（度为单位）。
STE00001636	截图快捷键
STE00001637	允许修改默认截图快捷键（默认为Print Scrn）
STE00001638	键位
STE00001639	哔哔小子状态快捷键
STE00001640	修改哔哔小子状态快捷键（默认F1）
STE00001641	哔哔小子物品快捷键
STE00001642	修改哔哔小子物品快捷键（默认F2）
STE00001643	哔哔小子数据快捷键
STE00001644	修改哔哔小子数据快捷键（默认F3）
STE00001645	VATS确认键
STE00001646	修改VATS确认键（默认E）
STE00001647	控制台键
STE00001648	修改控制台按键（默认~）
STE00001649	退出到主菜单快捷键
STE00001650	退出到主菜单的快捷键。
STE00001651	退出游戏快捷键
STE00001652	退出游戏快捷键。
STE00001653	关闭碰撞箱快捷键
STE00001654	关闭玩家碰撞箱的快捷键。
STE00001655	开关哔哔小子灯光快捷键
STE00001656	开关哔哔小子灯光的快捷键，如果启用了bAddNightVisionToggle，也开关瞄准镜的夜视效果。
STE00001657	收起武器快捷键
STE00001658	收起当前武器，禁用按住装弹键收起武器的功能。
STE00001659	打开任务快捷键
STE00001660	游戏中打开任务页面的快捷键，如在哔哔小子菜单中则按J切换页面。
STE00001661	打开电台快捷键
STE00001662	游戏中打开电台页面的快捷键，如在哔哔小子菜单中则按P切换页面。
STE00001663	电台音量减小快捷键
STE00001664	游戏中减小电台音量的快捷键。
STE00001665	电台音量增大快捷键
STE00001666	游戏中增大电台音量的快捷键。
STE00001667	开关菜单快捷键
STE00001668	开关所有菜单可见性的快捷键（和ToggleMenus指令一样）。
STE00001669	开关真正机瞄快捷键
STE00001670	开关真正机瞄模式。
STE00001671	开关准星快捷键
STE00001672	开关准星快捷键。
STE00001673	打开本地地图快捷键
STE00001674	游戏中打开哔哔小子本地地图的快捷键，如在哔哔小子菜单中则按N切换页面。
STE00001675	切换瞄准节点
STE00001676	对拥有辅助瞄准镜的武器，切换瞄准节点。切换武器时重置。
STE00001677	仅瞄准时
STE00001678	不瞄准时快捷键无效。
STE00001679	开关潜行指示快捷键
STE00001680	开关潜行指示快捷键。
STE00001681	丢弃已装备武器快捷键
STE00001682	丢弃已装备武器快捷键。
STE00001683	开关平滑镜头快捷键
STE00001684	开关电影式镜头，平滑鼠标/手柄运动。
STE00001685	瞄准时禁用
STE00001686	电台下一个快捷键
STE00001687	切换到下一个电台。
STE00001688	电台上一个快捷键
STE00001689	切换到上一个电台。
STE00001690	电台跳过歌曲快捷键
STE00001691	跳过电台中的当前歌曲或话题。
STE00001692	打开地图快捷键
STE00001693	游戏中打开哔哔小子世界地图的快捷键，如在哔哔小子菜单中则按M切换页面。
STE00001694	在室内显示本地地图
STE00001695	在室内打开本地地图而非世界地图。
STE00001696	反复互动键
STE00001697	按住时反复触发互动键
STE00001698	只拿走物品
STE00001699	按住时只拿走物品（不开门、不和NPC对话等）。
STE00001700	隐藏HUD快捷键
STE00001701	隐藏主HUD的各种元素。
STE00001702	隐藏罗盘/生命值
STE00001703	隐藏弹药/行动点数
STE00001704	隐藏硬核需求
STE00001705	隐藏潜行指示
STE00001706	默认隐藏
STE00001707	读档时默认隐藏HUD。
STE00001708	装备上一个武器快捷键
STE00001709	装备上一个用过的武器。
STE00001710	上一个用过的武器排除投掷武器。
STE00001711	鼠标滚轮支持
STE00001712	用鼠标滚轮切换武器。
STE00001713	忽略无伤害武器
STE00001714	忽略没有投射物的非近战武器。
STE00001715	角色最大等级
STE00001716	设定玩家的最大等级，禁用DLC硬编码的+5上限。
STE00001717	等级
STE00001718	最大玩家等级（1-65535）。
STE00001719	特长点数修正
STE00001720	在特长菜单可以选择更多特长（和每隔几级选择一次特长的iLevelsPerPerk设定不同）。
STE00001721	每级可选特长
STE00001722	特长选择菜单可分配的点数。
STE00001723	物品维修列表预览
STE00001724	按住ALT和打开修理菜单时，显示什么物品能用来修理当前武器/护甲。
STE00001725	按钮标签
STE00001726	按住键位时显示的按钮标签。
STE00001727	力量决定爆炸击倒概率
STE00001728	用力量而非敏捷决定爆炸时不被击倒的概率（影响NPC和玩家）。
STE00001729	鼠标滚轮切换绑定武器
STE00001730	用鼠标滚轮切换绑定了快捷键的武器。
STE00001731	反转滚轮
STE00001732	反转滚轮方向。
STE00001733	SPECIAL决定技能上限
STE00001734	SPECIAL点数决定技能点最大上限。[CRLF]技能上限 = min(iSkillCap, fSkillBase + (special值 * fSPECIALMult) + 幸运 * fLuckMult)[CRLF]力量 - 近战武器[CRLF]感知 - 能量武器，爆破，开锁[CRLF]耐力 - 大型枪械，生存，徒手[CRLF]魅力 - 交易，口才[CRLF]智力 - 医疗，修理，科学[CRLF]敏捷 - 枪械，潜行
STE00001735	技能上限
STE00001736	任意技能的上限。
STE00001737	技能基础值
STE00001738	SPECIAL修正之前的基础技能。
STE00001739	每点SPECIAL提供的技能点
STE00001740	每点SPECIAL增加的技能点。
STE00001741	每点幸运增加的技能点
STE00001742	每点幸运增加的技能点。
STE00001743	战斗中奔跑射击消耗行动点数
STE00001744	只在战斗中应用fActionPointsRunAndGunMult。
STE00001745	解除地雷时直接拾取
STE00001746	解除地雷后直接拾取爆炸物。
STE00001747	暴击率无视开火速率
STE00001748	自动武器的暴击率不再除以开火速率。
STE00001749	修理列表中隐藏绑定物品
STE00001750	哔哔小子修理列表中隐藏绑定快捷键的物品。
STE00001751	状态菜单中显示效果剩余时间
STE00001752	状态菜单中显示效果剩余时间（有专名的效果除外，如“疯狂”或“休息良好”）。
STE00001753	显示为秒
STE00001754	剩余时间显示为秒。
STE00001755	在HUD上显示弹药全名
STE00001756	在HUD上显示弹药全名。需要一个UI mod配合，不然会和耐久度条重叠。
STE00001757	使用哔哔小子中的名称
STE00001758	使用弹药简称而非全名。
STE00001759	循环装填武器逐个换弹
STE00001760	循环装填的武器需要按N次换弹键装N发弹药。
STE00001761	装填队列最大长度
STE00001762	连按换弹键设定的装填队列的最大长度，设为0无上限。
STE00001763	每按一次换弹键在装填队列中加入几发弹药。
STE00001764	禁用玩家残疾动画
STE00001765	禁用玩家肢体残疾时的动画。
STE00001766	控制台输出包含时间戳
STE00001767	控制台消息中包含时间戳。
STE00001768	时间戳格式
STE00001769	小时-分钟-秒-毫秒
STE00001770	缩放玩家近战攻击范围
STE00001771	缩放玩家近战攻击范围。
STE00001772	范围乘数
STE00001773	近战武器范围乘数。
STE00001774	最小范围
STE00001775	最小范围，设为0时没有最小。
STE00001776	最大范围
STE00001777	最大范围，设为0时没有最大。
STE00001778	玩家标记高度指示
STE00001779	如果玩家放置的标记在另一个Cell中，指示其高度是高于还是低于玩家位置。
STE00001780	使用门图标
STE00001781	对门使用glow_hud_compass_pc_marker_door.dds图标。
STE00001782	不锁定遭遇区等级
STE00001783	不锁定遭遇区的等级。原版游戏中去过的地牢会永远把敌人和物资的等级锁定在当时的玩家等级。开启这个调整后去过的地牢和没去过的将不会有等级差别。
STE00001784	切换容器分类时滚动到顶部
STE00001785	切换容器/交易界面分类时滚动到顶部。
STE00001786	更精确的辐射计
STE00001787	显示辐射时精确到更多小数位。
STE00001788	格式
STE00001789	辐射计文本格式，支持0-9位小数，如%.1f, %.2f等。
STE00001790	瞄准时掏出武器
STE00001791	瞄准时自动掏出武器。
STE00001792	库存中指示不同弹药
STE00001793	当你持有不同种类弹药时，在库存中显示弹药数量后加一个加号。
STE00001794	开火时装弹
STE00001795	允许开火动画播放时装弹。
STE00001796	修理影响制作耐久度
STE00001797	制作的物品耐久度受修理技能影响。
STE00001798	缩放爆炸摇晃
STE00001799	缩放爆炸造成的镜头/HUD摇晃。
STE00001800	镜头摇晃乘数
STE00001801	镜头摇晃乘数。
STE00001802	HUD摇晃乘数
STE00001803	HUD摇晃乘数。
STE00001804	在地图上标记附近地点
STE00001805	在哔哔小子地图上永久揭露附近的地点（就像有NPC给你地图标记时那样）。
STE00001806	半径
STE00001807	添加地图标记的范围半径。如果你想让出现在罗盘上的地点都被标记，设为iMapMarkerVisibleDistance的取值（默认20000）。
STE00001808	禁止修理后偷回瓶盖
STE00001809	修理支付的瓶盖会放入商人容器而不是随身库存。
STE00001810	商人无容器则摧毁瓶盖
STE00001811	如果商人没有绑定的容器，摧毁瓶盖。否则放入随时库存。
STE00001812	禁用NPC评论
STE00001813	当你碰倒物体、看着锁住的容器时，禁用NPC的评论。
STE00001814	禁用评论标签
STE00001815	16进制标签的总和。如0x880会禁用碰倒物体和看着锁住的容器。详见readme文档。
STE00001816	同伴地图显示使用地点字体
STE00001817	同伴名称显示在地图上时，使用和地点名称相同的字体。原版字体被硬编码为font 2。
STE00001818	从队列中移除已死NPC的残疾消息
STE00001819	从队列中移除已死NPC的残疾消息。
STE00001820	持有密码笔记时，对终端显示“使用密码”
STE00001821	持有密码笔记时，对终端显示“使用密码”。已经解锁过的终端可以加一个已解锁标记。
STE00001822	提示字符
STE00001823	你已有终端密码的笔记时提示什么字符，[已锁-提示字符]。
STE00001824	隐藏已读笔记
STE00001825	笔记菜单中隐藏已读。
STE00001826	爆炸推力方向修复
STE00001827	爆炸会把目标从爆炸处推开，而不是以创造爆炸的角色的为中心。这可以让你用爆炸把自己弹开。
STE00001828	出售超过商人钱数时显示总价
STE00001829	出售物品总价超过商人钱数时显示总价。
STE00001830	允许满血时使用治疗物品
STE00001831	允许满血时使用治疗针、超级治疗针。肢体健康时可以使用医疗包。
STE00001832	治疗针
STE00001833	超级治疗针。
STE00001834	医疗包
STE00001835	数量菜单显示价格
STE00001836	交易选择数量时显示相应的总价。
STE00001837	数量菜单显示重量
STE00001838	交易选择数量时显示相应的总重量。
