STE00000001	No Screenshot Taken Popup
STE00001181	Swap Ammo With Weapon Holstered
STE00001182	Allow swapping ammo types while weapon is holstered.
STE00001183	Power Armor Needs No Training
STE00001184	Allows wearing power armor without the Power Armor Training perk.
STE00001185	Colored HUD Bars
STE00001186	Colors the HP and AP bars red when they are low. Note that temporary effects that raise max HP will show the bar in red at a higher percentage, this is intended to indicate that your health will be low when the buff wears off.
STE00001187	Red HP threshold
STE00001188	Threshold ratio of current/max Health for coloring HP bar red.
STE00001189	Red AP threshold
STE00001190	Threshold ratio of current/max Action Points for coloring AP bar red.
STE00001191	Speed Mult Scales Jump Height
STE00001192	Scale NPC and player jump height based on their speedmult actor value.
STE00001193	Stealing Sends No Alarm
STE00001194	Don't alert actors when stealing their items (excludes pickpocketing).
STE00001195	Sneak Criticals Headshots Only
STE00001196	Only allow sneak attack criticals to the head.
STE00001197	Sort Pip-Boy Notes
STE00001198	Sort the Pip-Boy Notes tab alphabetically, and/or by whether they're read.
STE00001199	Note sorting mode
STE00001200	Alphabetical
STE00001201	Unread notes first
STE00001202	Unread first, alphabetically
STE00001203	Sort Pip-Boy Quests
STE00001204	Sort the Pip-Boy Quests tab.
STE00001205	Quest sorting mode
STE00001206	Incomplete quests first
STE00001207	Incomplete quests first, alphabetically
STE00001208	Active Quest First
STE00001209	Show active quest at the top of the list.
STE00001210	Disable Achievements
STE00001211	Disables steam/gog achievements.
STE00001212	Show Weapon Poison Effects
STE00001213	Include weapon poison effects when viewing weapons in the Pip-Boy.
STE00001214	Hide Unavailable Radios
STE00001215	Hides unavailable radios in the Pip-Boy.
STE00001216	Stats Menu Percentage XP
STE00001217	Shows XP in the Stats Menu as a percentage.
STE00001218	Unequip Weapon Mods
STE00001219	Allow unequipping weapon mods from the Item/Weapon Mod Menu, additionally hiding duplicate mods and sorting them alphabetically.
STE00001220	Hide button for non-modifiable weapons
STE00001221	Hide the Mod button if a weapon cannot have weapon mods.
STE00001222	Show unowned mods
STE00001223	Show unowned weapon mods in the menu.
STE00001224	Unequip mod sound ID
STE00001225	Editor ID of the sound to play when removing weapon mods (note: VUI+ has its own sounds that it plays when you click on weapon mods).
STE00001226	Require workbench
STE00001227	Only allow weapon modding at a workbench.
STE00001228	Debug mode
STE00001229	Allow applying weapon mods even if you don't have them.
STE00001230	Allow applying weapon mods even if you don't have them if godmode is enabled.
STE00001231	View Mods Label
STE00001232	Button label shown if you don't have mods.
STE00001233	Difficulty Doesn't Affect NPC-NPC Damage
STE00001234	Stops NPC-NPC damage using the fDiffMultHPByPC gamesetting, with multipliers for NPC/teammate damages. Companion<->companion damage uses fDamageToTeammateMult.
STE00001235	NPC-NPC damage multiplier
STE00001236	Multiplier applied to damage from one NPC to another.
STE00001237	Teammate-NPC damage multiplier
STE00001238	Multiplier for damage dealt by companions to NPCs.
STE00001239	NPC-Teammate damage multiplier
STE00001240	Multiplier for damage dealt to companions by NPCs.
STE00001241	Disable Combat Music
STE00001242	Prevents combat music playing.
STE00001243	Keep Broken Items Equipped
STE00001244	Prevent the message when a weapon breaks and keep it equipped.
STE00001245	Pickpocket Worn Items
STE00001246	Allow pickpocketing items NPCs have equipped.
STE00001247	Holstered Weapons Only
STE00001248	Only allow taking holstered weapons.
STE00001249	Move During VATS Playback
STE00001250	Allow movement during VATS killcams.
STE00001251	Clicking Shows Terminal Text
STE00001252	Make clicking while a note is being displayed on a computer first show the rest of the page, or skip to the next page if the current page is fully displayed.
STE00001253	Invert Pip-Boy Repair Menu Sorting
STE00001254	Place high condition items at the bottom of the repair list.
STE00001255	Disable Region Borders Keep Message
STE00001256	Allow movement outside world borders, showing the 'Leaving Region' warning repeatedly. Functionally equivalent to adding bBorderRegionsEnabled = 0 under [General] in FalloutCustom.ini, but retains the ui warning.
STE00001257	Recurring Challenge Indicator
STE00001258	Adds an indicator that a challenge is recurring when viewed in the Pip-Boy. '(Recurring)' appears beside the progress e.g. 4/10 (Recurring).
STE00001259	Recurring text
STE00001260	Display on recurring challenges.
STE00001261	Custom Subtitle Distance
STE00001262	Modify how far away general subtitles are shown. For long distances you may need to increase the iSpeakSoundLipDistance gamesetting from its default of 750.
STE00001263	Subtitle distance
STE00001264	Distance to show subtitles from - vanilla is 500 units.
STE00001265	Scope Visibility Delay
STE00001266	Delay the display of scopes when aiming in, and optionally prevent scoped aiming while reloading.
STE00001267	Scope visibility delay
STE00001268	Required aiming time before the scope overlay is applied.
STE00001269	Aim out while reloading
STE00001270	Aim out while reloading or weapon is jamming.
STE00001271	Always show weapon animation
STE00001272	Forces the "uses 1st person iron sights anims" flag on all weapons.
STE00001273	Delay in 3rd person
STE00001274	Delay scopes in 3rd person.
STE00001275	No Healing In Combat
STE00001276	Prevent use of aid items that heal HP or limbs while in [Danger].
STE00001277	Message
STE00001278	Message shown when attempting to heal in combat.
STE00001279	Hide Ranks In Trait Menu
STE00001280	Hide 'Ranks' in the description for traits in the Trait menu, since it's a holdover from the LevelUp menu perk selection screen.
STE00001281	Sort Perk Menu
STE00001282	Sort the LevelUp Perk Menu.
STE00001283	Perk sorting mode
STE00001284	Reverse level sorting
STE00001285	Available first, alphabetically
STE00001286	Less Restrictive VATS Menu
STE00001287	Allow dequeuing actions and exiting vats while zooming in/out.
STE00001288	No Turning Anim
STE00001289	Suppress player turning animations to prevent the glide when stopping while turning.
STE00001290	Custom Add To Inventory Message Timer
STE00001291	Customize the length of time the 'Added to inventory' message is shown.
STE00001292	"Item added" time
STE00001293	Time the 'added to inventory' message is shown (in seconds).
STE00001294	Hide Red Crosshair On Distant Invisible Targets
STE00001295	Prevent the red crosshair when mousing over invisible enemies in the distance.
STE00001296	Fatal Non Sneak Crits Always Gib
STE00001297	Make fatal non-sneak critical hits always explode or dismember limbs.
STE00001298	Only criticals explode/dismember limbs
STE00001299	Prevent non-critical hits exploding or dismembering limbs.
STE00001300	No Free Barter Items
STE00001301	Set a price for 'free' items (e.g. ammo casings), calculated after barter buy/sell multipliers.
STE00001302	Free item cost
STE00001303	Cost for buying items with no value.
STE00001304	Locational Melee Damage
STE00001305	Make melee and unarmed damage use limb damage multipliers.
STE00001306	Apply to player-NPC attacks
STE00001307	Use hit multiplier for attacks by the player.
STE00001308	Apply to NPC-player attacks
STE00001309	Use hit multiplier for attacks by NPCs on the player.
STE00001310	Apply to NPC-NPC attacks
STE00001311	Use hit multiplier for attacks on NPCs by NPCs.
STE00001312	Queue Weapon Holstering While Anims Play
STE00001313	Pressing 'Holster Weapon' while animations play will holster when the animations finish instead of doing nothing, as in vanilla.
STE00001314	No Lock Failed Terminals
STE00001315	Don't lock terminals when they are failed.
STE00001316	Delay Post Combat Reputation Popup
STE00001317	Delay the reputation change popup dialog till 3 seconds after combat.
STE00001318	No Player Name Length Limit
STE00001319	Remove the limit on the number of characters in the player's name.
STE00001320	Skip Vigor Tester Special Pages
STE00001321	Skip to the vigor tester review page.
STE00001322	Grabbing Items Is Crime
STE00001323	Make grabbing owned items carry the same faction penalty as stealing.
STE00001324	Min Value For Stealing
STE00001325	Minimum item stack value to be considered stealing.
STE00001326	Custom Special Points
STE00001327	Set a custom number of SPECIAL points to allocate, minimum is 7 (one in each skill).
STE00001328	Number of points to allocate
STE00001329	Total SPECIAL points after distributing points from the Vigor Tester or Special Book (TTW).
STE00001330	Allow Weapon Hotkeys While Firing
STE00001331	Allow using weapon hotkeys while firing.
STE00001332	Move During Open Pip-Boy Anim
STE00001333	Allow movement during the open Pip-Boy animation.
STE00001334	Hip Fire Anims While Scoped
STE00001335	Use non-ironsight animations and recoil patterns for scoped weapons to prevent weapons lingering in your face when un-scoping after firing. Note that this requires alternate animations as the hip fire recoil patterns for some weapons (e.g., the Scoped Varmint Rifle) look awful while scoped.
STE00001336	Restore '2' Hotkey
STE00001337	Restores the '2' weapon hotkey. Requires 'Data/menus/prefabs/lStewieAl/2Hotkey.xml'. Controller users will need to bind ammo swap some other way (e.g. using bDoubleTapReloadToChangeAmmoType).
STE00001338	Second slot key
STE00001339	Scancode of the keyboard hotkey.
STE00001340	Show keybinds on labels
STE00001341	Use the name of the bound hotkey on the wheel instead of 1/2/3...
STE00001342	Encumbrance Includes Grabbed Items
STE00001343	Include the weight of the grabbed ('Z' key) item stack weight when determining if player is overencumbered.
STE00001344	Use Anim Variants
STE00001345	Allow use of anim variants, similar to firing animation variants - requires both 1st and 3rd person animation files.
STE00001346	Reload variants
STE00001347	Allow reload variations.
STE00001348	Equip/unequip variants
STE00001349	Allow equip/unequip variations.
STE00001350	Aim/ADS variants
STE00001351	Allow aim/aimIS variations.
STE00001352	Custom Hacking Answer Length
STE00001353	Use a custom formula for hacking answer length.
STE00001354	Base word length
STE00001355	Base word length.
STE00001356	Difficulty multiplier
STE00001357	Multiplier applied on difficulty before adding to word length.
STE00001358	Computer Whiz length bonus
STE00001359	Characters removed from answer if you have the computer whiz perk.
STE00001360	Odd ID bonus
STE00001361	Characters added to answer if terminal ref ID is odd.
STE00001362	Maximum word length
STE00001363	Maximum answer length.
STE00001364	Minimum word length
STE00001365	Minimum answer length (minimum 2, note: there aren't many words in the hacking dictionary.txt file that are two characters long).
STE00001366	Minimum guesses
STE00001367	Minimum guesses.
STE00001368	Maximum guesses
STE00001369	Maximum guesses.
STE00001370	No Compass Pips If Not In Danger
STE00001371	Hide all NPCs on the compass if you aren't in [Danger].
STE00001372	Force Hi-Res Weapon Models
STE00001373	Use 1st person (high-res) models for NPCs' weapons.
STE00001374	Show Doors On Compass
STE00001375	Show nearby doors on the compass.
STE00001376	Maximum distance to show doors in exteriors.
STE00001377	Maximum distance to show doors in interiors.
STE00001378	Show visited cells
STE00001379	Color the doors of visited cells (excludes doors leading to worldspaces).
STE00001380	Fade icon with distance
STE00001381	Scale the door icon's alpha based on distance to the player.
STE00001382	Visited cell color
STE00001383	Visited cell red/green/blue color in hexadecimal, e.g. 0xFF0088.
STE00001384	Critical-Hit Messages Include Limb Name
STE00001385	Include the limb name in critical hit messages. e.g. 'Critical strike on Easy Pete's Torso'.
STE00001386	Menu Fades Ignore Timescale
STE00001387	Make menu fading in/out ignore timemult.
STE00001388	Activating Doesn't Stand Up
STE00001389	Make activating while using furniture not stand up, instead use movement to stand while seated.
STE00001390	No Skill Message If Increase Is Zero
STE00001391	Prevent the 'skill increased by 0' if reading a book with no bonus. Additionally display fractional skill book increases to two decimal places.
STE00001392	Compass Fade Left Side
STE00001393	Fade icons for NPCs, doors etc. on the left side of the compass. Useful if using a centered compass.
STE00001394	Console Text Shadow
STE00001395	Darkens the console output text and adds a faint shadow for readability.
STE00001396	Minigames Play XP Sound At Max Level
STE00001397	Play the XP gained sound when hacking or lockpicking at max player level.
STE00001398	VATS Hip Fire
STE00001399	Entering VATS while not aiming will shoot from the hip for all shots fired (does not affect accuracy).
STE00001400	Alternate Levelup Sounds
STE00001401	Play an alternate level-up sound every A or B levels. If A is a multiple of B, the larger number wins ties.
STE00001402	Sound A
STE00001403	Editor ID of sound to play every 'Interval A' levels.
STE00001404	Interval A
STE00001405	Play 'Sound A' every N levels.
STE00001406	Sound B
STE00001407	Editor ID of sound to play every 'Interval B' levels.
STE00001408	Interval B
STE00001409	Play 'Sound B' every N levels.
STE00001410	Agility Affects Reload Jam Speed
STE00001411	Make reload jams affected by reload speed multipliers.
STE00001412	Run Slower In Water
STE00001413	Scale movement speed when walking/running through water depending on much you are immersed.
STE00001414	Wading Movement Multiplier
STE00001415	Max movement speed penalty when wading through water.
STE00001416	Pip-Boy Light And Holstering Ignore Timescale
STE00001417	Make using Pip-Boy light or holster hotkeys not take longer when time is slowed down.
STE00001418	Hostiles Use Neutral Color On Compass
STE00001419	Make hostiles on the compass use the HUDMain color instead of HUDAlt (red).
STE00001420	Agility Scales Jump Height
STE00001421	Scale jump height based on agility. Formula: jumpHeight = 1 + (fAgilityMult * (agility - 1))
STE00001422	Agility Multiplier
STE00001423	Multiplier added per agility point above 1.
STE00001424	Using Keys Rewards XP
STE00001425	Gain XP when using keys on locks. Formula: RewardXP = (Base XP) + (Vanilla Lock XP) * (Vanilla Reward Scale).
STE00001426	Base XP
STE00001427	XP rewarded for using a key on a container/door.
STE00001428	Vanilla Reward Scale
STE00001429	Scale applied to the vanilla XP gained based on the lock level. Impossible locks do not grant XP.
STE00001430	Require skill
STE00001431	Only reward XP if you meet the lock skill requirement.
STE00001432	Terminal Password Note Rewards XP
STE00001433	Gain XP when using notes to unlock terminals. Formula: RewardXP = (Base XP) + (Vanilla Hack XP) * (Vanilla Reward Scale).
STE00001434	XP rewarded for using a password note to unlock a terminal.
STE00001435	Anim Debugging
STE00001436	Prints which anims are currently active into the top left of the console {you can type ToggleDebugText (TDT) to see console output with the console closed}.
STE00001437	Partial Reload Anim Support
STE00001438	Add support for 'partial' reload anims when reloading with a non-empty clip. Makes the game select animations ending in '_partial' for the player if their clip is empty.
STE00001439	NPCs Earn Ammo Casings
STE00001440	Make NPCs earn ammo casings when firing their weapons.
STE00001441	Drowning Drains AP
STE00001442	Drain action points before taking damage when drowning.
STE00001443	Faster Enter Lockpick Menu
STE00001444	Speed up the animation for entering the lockpick menu.
STE00001445	Prevent Inactive Window Scrolling
STE00001446	Prevent scroll-wheel affecting windows outside NV.
STE00001447	AddItem Uses Item Icon
STE00001448	Use the item icon (if it exists) in 'added to inventory' messages (you will need an icon replacer or they will be off-centered), instead of always using the gift icon.
STE00001449	Allow Weapon Hotkeys While Equipping
STE00001450	Allow use of weapon hotkeys while switching weapons.
STE00001451	Show Nearest Undiscovered Location
STE00001452	Always show the nearest undiscovered location on the compass or map.
STE00001453	Show On Map
STE00001454	Show the closest undiscovered location on the map.
STE00001455	Show On Compass
STE00001456	Show the closest undiscovered location on the compass.
STE00001457	Weapon Cycle Up Down Hotkeys
STE00001458	Use left/right controller d-pad to cycle through hotkeyed weapons.
STE00001459	Repair Requires Weapon Skill
STE00001460	Disallow repairing if repair skill is less than the weapon's skill requirement. i.e. you need 75 repair skill to fix a weapon that requires 75 energy weapons skill.
STE00001461	Max VATS Distance Uses Weapon Range
STE00001462	Use the player's weapon max range to determine the max VATS targeting distance - e.g. you can target enemies further with a sniper rifle than a 9mm pistol.
STE00001463	Minimum range to check for targets.
STE00001464	Max Distance
STE00001465	Maximum range to check for targets.
STE00001466	Weapon Range Multiplier
STE00001467	Multiplier applied to the weapon's max range.
STE00001468	Less Frequent Player Pain Sounds
STE00001469	Add a minimum interval between player pain sounds.
STE00001470	Interval (MS)
STE00001471	Minimum time between player pain sounds in milliseconds.
STE00001472	More Frequent NPC Light Updates
STE00001473	Calculate actor light levels (used for sneaking) more frequently - may incur a minor performance penalty if the interval is too low.
STE00001474	Detection Timer Interval
STE00001475	Time between updates (in seconds), vanilla is 3 seconds.
STE00001476	Map Zooms On Cursor
STE00001477	Makes zooming in the local and world map center on where the cursor is instead of the middle of the screen.
STE00001478	Lock Pick Menu Keyboard Movement
STE00001479	Use left/right movement to control the bobby pin, and jump and forward/back to spin the screwdriver.
STE00001480	Base Speed
STE00001481	Base speed for left/right bobby pin movement.
STE00001482	Shift Speed Multiplier
STE00001483	Scale applied to movement speed while shift is held.
STE00001484	CTRL Speed Multiplier
STE00001485	Scale applied while ctrl is held.
STE00001486	Saving Doesn't Close Pause Menu
STE00001487	Keep the pause menu open after saving the game.
STE00001488	Container Menu Store All Hotkey
STE00001489	Hold shift to store all visible (i.e. not filtered out via category/menu search etc.) items from the left hand side into the current container.
STE00001490	Store All Label
STE00001491	Replacement label for 'Take All' when shift is held.
STE00001492	Container Take All Doesn't Close Menu
STE00001493	Prevent the 'take all' button closing the container.
STE00001494	Take All Confirmation
STE00001495	Show a confirmation message when taking all items from a container.
STE00001496	Min Items For Message
STE00001497	Minimum number of items for the message to appear.
STE00001498	Confirmation Prompt Text
STE00001499	Confirmation message for taking all items.
STE00001500	Bloody Mess Gibs Targeted Limb Only
STE00001501	Prevents bloody mess dismembering/exploding limbs that weren't hit. In vanilla there's a random chance an npc's limb is removed when shooting their torso.
STE00001502	Deselect Hotkeys
STE00001503	Makes it possible to remove a hotkey for an item by attempting to assign it the slot it has already.
STE00001504	Sort Recipe Menu
STE00001505	Sort the crafting menu.
STE00001506	Sorting Mode
STE00001507	Craftable first
STE00001508	Craftable first, alphabetically
STE00001509	Skill Requirements Met
STE00001510	Timescale Affects Reload Sounds
STE00001511	Scale reload sound pitch and length based on the game time multiplier (e.g. while using turbo).
STE00001512	No Poison Confirm
STE00001513	Remove the confirmation prompt when poisoning a weapon, and replace the warning popups with a corner message instead.
STE00001514	Taking NPC Weapons Gives No Ammo
STE00001515	Don't earn extra ammo when taking an NPCs weapon. In the base game, you can earn a random amount of ammo (based on clip size) when taking the equipped weapon of an NPC who died (before reloading the game). e.g. taking a .357 revolver will give anywhere between 0-6 ammo.
STE00001516	No Exit Game Confirmation
STE00001517	Skip the exit confirmation when clicking Quit Game in the main menu.
STE00001518	Living Anatomy Shows DR
STE00001519	Show damage resistance when using the living anatomy perk, and remove decimal places. Additionally hides the DR/DT if they are zero.
STE00001520	Show Even At Max Health
STE00001521	Show the targeted NPC's health-bar even if they have max health.
STE00001522	Preview Perks On Level-Up
STE00001523	Always show the perk screen when leveling up even if you have no points to assign.
STE00001524	Place Markers At Locations
STE00001525	Makes right clicking in the map menu to place a marker place it directly on the hovered location.
STE00001526	Affect Local Map
STE00001527	Center markers on doors in the local map.
STE00001528	Allow Pickpocket If Already Caught
STE00001529	Allow pickpocketing even if the NPC has caught you previously.
STE00001530	Hide Crosshair While Reloading
STE00001531	Hide the crosshair while reloading.
STE00001532	Hide Crosshair In Killcams
STE00001533	Hide the crosshair during killcams.
STE00001534	Hide Healthbar In Killcams
STE00001535	Hide the health-bar during killcams.
STE00001536	HUD Rotates With Vanity Cam
STE00001537	Move the compass when rotating while holding the POV button for the vanity camera.
STE00001538	HUD Weapon Name Label
STE00001539	Show the current weapon name above AP when it's equipped. Customizable by editing 'menus/prefabs/lStewieAl/WeaponNameLabel.xml'.
STE00001540	Show On Ready Weapon
STE00001541	Show the weapon name when it is unholstered.
STE00001542	Instant Change When Changing Weapons
STE00001543	Instantly change the displayed label text if visible when changing weapons.
STE00001544	Fade In Duration
STE00001545	Time to fade in the label (in milliseconds).
STE00001546	Display Duration
STE00001547	Time to display the fully shown label (in milliseconds).
STE00001548	Fade Out Duration
STE00001549	Time to fade out the label (in milliseconds).
STE00001550	Compress Duplicate Console Messages
STE00001551	Append -#count to consecutive duplicate single line console messages.
STE00001552	No Pip-Boy Idle Anims
STE00001553	Prevent the Pip-Boy idle anims (used for swaying left/right in vanilla) from playing. In vanilla these are: Characters/male/IdleAnims/1stPPip-BoyWaver.kf etc.
STE00001554	Save Character Selector
STE00001555	Add a character selector for filtering the save/load menu, to make it easy to find saves from different created with different character names. Uses: menus/prefabs/lStewieAl/SaveCharacterSelector.xml.
STE00001556	No Filter Active Text
STE00001557	Text to display in the Save/Load menu while character filter isn't applied.
STE00001558	No Fast Travel If Legs Crippled
STE00001559	Prevent fast travel if a leg is crippled.
STE00001560	Message shown when attempting to fast travel with broken legs.
STE00001561	Weapon Hotkeys Holster Weapon If Equipped
STE00001562	Pressing the hotkey for the current equipped weapon will holster or draw instead of unequipping.
STE00001563	Don't Holster Weapon
STE00001564	Pressing the weapon key for an already equipped weapon will do nothing (instead of unequipping).
STE00001565	Prevent Repair If Not At Workbench
STE00001566	Prevent repairing items if you aren't looking at a workbench.
STE00001567	Improved Race Menu
STE00001568	Allow panning the camera with right click or Y on controller, and increase min zoom.
STE00001569	Prevent Player Movement
STE00001570	Prevent anims (swaying etc.) playing in the menu.
STE00001571	Pan X Movement Speed
STE00001572	Scale the right click pan X direction movement speed.
STE00001573	Pan Y Movement Speed
STE00001574	Scale the right click pan Y direction movement speed.
STE00001575	Map Markers Show Faction Name
STE00001576	Show the faction name underneath the map marker name, e.g. (Goodsprings - Neutral).
STE00001577	Hide If No Reputation
STE00001578	Only show location reputations if you have reputation with that faction.
STE00001579	Container Right Click Changes To Previous Category
STE00001580	Make right clicking the category cycle to the previous category in container/barter/recipe menus.
STE00001581	Invalid BSFadeNode Prints
STE00001582	Disables the '[Tweaks] Invalid BSFadeNode Detected - Linked Obj ID: %08X' warning. If you're an author I recommend you leave it on so you know which of your meshes are broken. Setting is hidden (add bInvalidBSFadeNodePrints=0 under [Tweaks] to disable).
STE00001583	Hide Reputation Tab If Empty
STE00001584	Hides the Stats menu reputation tab and button if you don't have any faction reputations (mainly for use with TTW).
STE00001585	Show Active Quest Notes Shows All Started Quests
STE00001586	Make the 'Show Active Quest Notes' button show notes for all started, non-completed quests.
STE00001587	Hide Hotkeyed Items In Barter
STE00001588	Hides hotkeyed items in the barter menu.
STE00001589	Hide Hotkeyed Items In Containers
STE00001590	Hides hotkeyed items in the container menu.
STE00001591	Numbered Computer Hotkeys
STE00001592	Adds hotkeys 0-9 to select options in the computers menu.
STE00001593	Show List Number
STE00001594	Prepend the list number to each menu option.
STE00001595	Show Book Effects
STE00001596	Show book effects when viewing them in the Pip-Boy. e.g. 'Permanent Speech +1'.
STE00001597	Effect Prefix
STE00001598	Prefix shown before the {SKILL} + 1.
STE00001599	Auto Continue Game
STE00001600	Automatically continue game at the start menu.
STE00001601	Sort Misc Stats
STE00001602	Sort the misc stats page of the Stats menu.
STE00001603	Alphabetical Vanilla + Unsorted Modded
STE00001604	By Value
STE00001605	Alphabetical/Zeros Last
STE00001606	Show Take All In Companion Containers
STE00001607	Show the 'Take All' button when viewing companion inventories.
STE00001608	Prevent Bush Passthrough Sounds
STE00001609	Prevent sounds playing when walking through bushes.
STE00001610	Synchronize Container Categories
STE00001611	Synchronize the left/right item categories like in Fallout 4.
STE00001612	Prevent Auto-Switching When Taking Last Item
STE00001613	Prevent the category automatically changing when transferring the last item in a category.
STE00001614	Randomize Killcam Mode
STE00001615	Randomly alternate between cinematic/player view kill-cams.
STE00001616	No Damage Melee Weapon If Target Dead
STE00001617	Don't decrease the health of a melee weapon when hitting dead NPCs.
STE00001618	Lockpick Hacking Message Shows Current Skill
STE00001619	Show the current lockpick/hacking skill levels in the 'You need X skill to hack this terminal' messages.
STE00001620	Lockpick Message
STE00001621	Hacking Message
STE00001622	No Drop Weapon Sound On Player Death
STE00001623	Prevent the unequip sound when the player dies.
STE00001624	Toggle Controller If Attack Pressed
STE00001625	Swap to controller when A is pressed, or keyboard/mouse when left clicking.
STE00001626	Prevent Controller Connected Popup
STE00001627	Prevent the 'Turn off 360 Controller in the Controls...' popup.
STE00001628	Climb Steeper Slopes
STE00001629	Allow adjusting the max walking/jumping/autowalk angles. Vanilla is 47 degrees.
STE00001630	Max Walk Angle
STE00001631	Max angle while walking (in degrees).
STE00001632	Max Jump Angle
STE00001633	Max angle while jump is held (in degrees).
STE00001634	Max AutoWalk Angle
STE00001635	Max angle while autowalk is active (in degrees).
STE00001636	Screenshot Key
STE00001637	Allows changing the default screenshot hotkey (from Print Scrn)
STE00001638	Key
STE00001639	Pip-Boy Stats Key
STE00001640	Allows changing the default Pip-Boy Stats hotkey (from F1)
STE00001641	Pip-Boy Items Key
STE00001642	Allows changing the default Pip-Boy Items hotkey (from F2)
STE00001643	Pip-Boy Data Key
STE00001644	Allows changing the default Pip-Boy Data hotkey (from F3)
STE00001645	VATS Accept Key
STE00001646	Allows changing the default VATS Accept key (from E)
STE00001647	Console Key
STE00001648	Allows changing the default console hotkey (from ~)
STE00001649	Exit To Main Menu Key
STE00001650	Add a key to exit to the main menu.
STE00001651	Exit Game Key
STE00001652	Adds a key to exit the game.
STE00001653	Disable Collision Key
STE00001654	Disables player collision while held.
STE00001655	Toggle Pip-Boy Light Key
STE00001656	Toggles the Pip-Boy light, and the night vision scope effect if bAddNightVisionToggle is enabled.
STE00001657	Holster Weapon Key
STE00001658	Holster the current weapon, disables holding reload to holster weapon.
STE00001659	Open Quests Key
STE00001660	GameMode key to open the Pip-Boy quests tab, J key switches to the tab while in the Pip-Boy Menu.
STE00001661	Open Radios Key
STE00001662	GameMode key to open the Pip-Boy radios tab, P key switches to the tab while in the Pip-Boy menu.
STE00001663	Radio Volume Down Key
STE00001664	GameMode key to decrease the radio volume.
STE00001665	Radio Volume Up Key
STE00001666	GameMode key to increase the radio volume.
STE00001667	Toggle Menus Key
STE00001668	Toggles the visibility of all menus (as the ToggleMenus command).
STE00001669	Toggle True Ironsights Key
STE00001670	Toggles true ironsights mode.
STE00001671	Toggle Crosshair Key
STE00001672	Toggles visibility of the crosshair.
STE00001673	Open Local Map Key
STE00001674	GameMode key to open the Pip-Boy local map, N key switches to the map while in the Pip-Boy Menu.
STE00001675	Toggle Sighting Node Key
STE00001676	Switch ironsights node to using '##SightingNode2' if the weapon has one. Resets when changing weapons.
STE00001677	While Aiming Only
STE00001678	Ignore the swap hotkey unless aiming
STE00001679	Toggle Sneak Indicator Key
STE00001680	Toggles whether the sneak indicator is hidden.
STE00001681	Drop Equipped Weapon Key
STE00001682	Drops the equipped weapon.
STE00001683	Toggle Smooth Camera Key
STE00001684	Toggles a cinematic camera, smoothing mouse/controller movements.
STE00001685	Disable While Aiming
STE00001686	Radio Station Next Key
STE00001687	Select the next radio station.
STE00001688	Radio Station Previous Key
STE00001689	Select the previous radio station.
STE00001690	Radio Skip Song Key
STE00001691	Skip the current radio song or topic.
STE00001692	Open Map Key
STE00001693	GameMode key to open the Pip-Boy world map, M key switches to the map while in the Pip-Boy Menu.
STE00001694	Show Local Map In Interiors
STE00001695	Open the local map instead of the world map when in interiors.
STE00001696	Repeated Activate Key
STE00001697	Continually presses the use key while held
STE00001698	Only Take Items
STE00001699	Only take items while the key is held (i.e. don't open doors, speak to NPCs etc.).
STE00001700	Hide HUD Key
STE00001701	Hides various elements on the main HUD.
STE00001702	Hide Compass/HP
STE00001703	Hide Ammo/AP
STE00001704	Hide Hardcore Needs
STE00001705	Hide Sneak Indicator
STE00001706	Hide By Default
STE00001707	Hide the HUD when loading a save.
STE00001708	Equip Last Weapon Key
STE00001709	Equips the last equipped weapon.
STE00001710	Don't set the last equipped weapon to be a thrown weapon.
STE00001711	Mousewheel Support
STE00001712	Make scrolling up/down change weapons.
STE00001713	Ignore non-damage weapons
STE00001714	Ignore non-melee weapons with no projectiles.
STE00001715	Max Character Level
STE00001716	Sets the max player level and disables the hard-coded +5 per DLC.
STE00001717	Level
STE00001718	Max player level (1-65535).
STE00001719	Perk Point Modifier
STE00001720	Earn more perks at the perk allocation screen (not to be confused with the iLevelsPerPerk gamesetting, which affects the level gap between level-ups that let you choose a Perk.)
STE00001721	Perks Per Level
STE00001722	Perk-points at the perk allocation screen.
STE00001723	Item Repair List Preview
STE00001724	Show which items can be used to repair the current weapon/armor when holding ALT and opening the repair menu.
STE00001725	Button Label
STE00001726	Button label shown while key is held.
STE00001727	Strength-based Explosion Knockdown Chance
STE00001728	Make explosion knockdown avoidance chance use strength instead of agility (affects NPCs and the player).
STE00001729	Mousewheel Scrolls Weapon Hotkeys
STE00001730	Add mousewheel to scroll through hotkeyed weapons.
STE00001731	Invert Scroll
STE00001732	Invert the weapon swap direction.
STE00001733	Cap Skills By SPECIAL
STE00001734	Cap the levelup menu max skill values based on SPECIAL skills.[CRLF]skillCap = min(iSkillCap, fSkillBase + (specialVal * fSPECIALMult) + luckVal * fLuckMult)[CRLF]Strength - Melee Weapons[CRLF]Perception - Energy Weapons, Explosives, Lockpick[CRLF]Endurance - Big Guns, Survival, Unarmed[CRLF]Charisma - Barter, Speech[CRLF]Intelligence - Medicine, Repair, Science[CRLF]Agility - Guns, Sneak
STE00001735	Skill Cap
STE00001736	Max points in any skill.
STE00001737	Skill Base
STE00001738	Base value before SPECIALs are added.
STE00001739	Points per SPECIAL
STE00001740	Points added per SPECIAL skill.
STE00001741	Points added per Luck
STE00001742	Points added per Luck.
